ticker,raw_pos_collected,raw_neg_collected,final_pos,final_neg
A,662,230,269,88
AAPL,11778,4800,1500,1008
ABBV,12000,3683,772,229
ABNB,8304,9569,374,163
ABT,12000,6109,420,246
ACGL,2929,1822,155,50
ACN,12000,3347,768,155
ADBE,12000,7304,403,196
ADI,12000,6756,375,359
ADM,1276,1029,351,204
ADP,1125,757,304,118
ADSK,972,905,273,143
AEE,680,316,207,89
AEP,6426,1583,349,114
AES,2100,992,205,122
AFL,610,307,165,86
AIG,9249,3942,328,120
AIZ,2237,818,238,83
AJG,996,311,292,63
AKAM,1051,402,208,70
ALB,7521,2166,373,139
ALGN,900,325,216,67
ALL,12000,12000,405,218
ALLE,812,228,222,60
AMAT,4267,2010,316,124
AMCR,9290,2528,238,55
AMD,12000,6963,586,200
AME,1027,243,250,93
AMGN,12000,3984,644,155
AMP,3170,1004,345,131
AMT,4251,1439,215,96
AMZN,10893,4308,1500,1117
ANET,5380,4393,193,64
AON,6128,2066,212,67
AOS,2334,305,432,93
APA,2747,982,318,140
APD,1167,318,263,80
APH,3849,544,246,80
APO,12000,5851,433,166
APP,4322,6628,362,227
APTV,9004,4002,158,78
ARE,5182,2167,217,119
ATO,12000,6212,571,201
AVB,366,202,106,73
AVGO,12000,4079,445,113
AVY,1017,489,157,66
AWK,9201,864,434,48
AXON,11637,5140,209,100
AXP,12000,4284,606,169
AZO,2770,877,212,78
BA,12000,7931,1500,847
BAC,2639,1384,808,302
BALL,529,267,259,99
BAX,1016,663,256,179
BBY,10380,1094,425,248
BDX,6645,1763,371,94
BEN,6066,2161,401,140
BG,4590,674,355,56
BIIB,3483,2143,646,259
BK,7183,2259,330,80
BKNG,12000,9552,182,107
BKR,10563,2424,379,105
BLDR,2163,800,176,73
BLK,2032,588,510,154
BMY,4713,743,946,154
BR,2986,2083,333,95
BRO,619,95,203,29
BSX,4774,1854,438,105
BX,9691,1845,724,125
BXP,4682,3344,188,115
C,2060,772,650,290
CAG,971,339,234,116
CAH,4279,2053,458,164
CARR,2701,591,367,115
CAT,12000,9541,165,212
CB,7057,1628,283,65
CBOE,1041,253,248,71
CBRE,2639,846,202,48
CCI,1555,871,214,124
CCL,11391,4018,608,254
CDNS,857,341,318,50
CDW,1462,384,123,50
CEG,5193,2436,182,61
CF,2129,653,296,99
CFG,12000,3648,347,93
CHD,856,315,144,97
CHRW,3913,1898,133,80
CHTR,5542,3615,385,266
CI,12000,2256,345,153
CINF,417,152,87,47
CL,3286,1004,367,142
CLX,4350,1357,322,170
CMCSA,4909,1106,1253,362
CME,2271,1206,324,146
CMG,5358,3632,555,227
CMI,1631,819,514,191
CMS,1746,726,191,65
CNC,5064,2768,734,289
CNP,8192,2552,242,78
COF,12000,5656,374,181
COIN,12000,12000,449,489
COO,2151,1055,135,50
COP,7114,1186,429,162
COR,5453,1982,425,161
COST,10527,1961,718,191
CPAY,2994,645,160,62
CPB,1522,795,365,191
CPRT,331,86,65,30
CPT,1627,687,118,65
CRL,780,532,216,161
CRM,12000,8633,897,385
CRWD,12000,12000,430,214
CSCO,12000,9696,456,178
CSGP,1762,320,229,65
CSX,3139,616,300,106
CTAS,699,86,181,39
CTRA,783,498,200,117
CTSH,1615,185,374,63
CTVA,1380,418,285,101
CVS,9731,7561,678,280
CVX,12000,4923,666,265
D,6033,4418,279,123
DAL,12000,7150,582,270
DASH,2669,1614,553,202
DAY,790,339,216,103
DD,6049,1866,425,112
DDOG,1651,1541,280,106
DE,7256,2217,382,155
DECK,2076,1207,123,79
DELL,12000,5629,638,186
DG,7683,5010,657,302
DGX,5217,1516,423,81
DHI,940,420,220,129
DHR,9080,4671,386,135
DIS,12000,5600,1466,547
DLR,567,178,212,74
DLTR,4246,1585,404,200
DOC,12000,3439,243,104
DOV,6915,1737,192,54
DOW,4602,6351,392,283
DPZ,2441,1676,367,216
DRI,970,544,285,107
DTE,12000,2980,327,77
DUK,12000,3030,425,103
DVA,535,231,121,52
DVN,512,202,183,68
DXCM,1554,2479,174,211
EA,4205,1618,373,147
EBAY,2518,911,423,171
ECL,11020,10876,332,171
ED,2297,1025,194,65
EFX,4983,2111,414,143
EG,468,196,162,53
EIX,1325,1732,123,115
EL,7919,6115,644,374
ELV,12000,7079,324,202
EME,2278,1061,150,64
EMR,1914,320,444,104
EOG,813,547,183,95
EPAM,1764,560,169,75
EQIX,12000,12000,172,93
EQR,1351,855,97,72
EQT,6563,2307,752,159
ERIE,187,51,26,10
ES,1253,701,140,88
ESS,753,480,77,57
ETN,4177,1080,338,85
ETR,1102,342,289,129
EVRG,348,105,125,62
