ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
A,2021-07-15,08:41:37,CCC42B,Labeyrie Fine Foods PLC,99,0.65,revenues,up,Labeyrie's digital sales increased,PRESS-RELEASE,Dow Jones Newswires,Press Release: S&PGR Rates Financiere Labeyrie 'B'; Outlook Stable
A,2021-07-15,08:41:37,CCC42B,Labeyrie Fine Foods PLC,99,0.44,products-services,,Labeyrie is improving the traceability of its products,PRESS-RELEASE,Dow Jones Newswires,Press Release: S&PGR Rates Financiere Labeyrie 'B'; Outlook Stable
A,2021-07-15,08:41:37,CCC42B,Labeyrie Fine Foods PLC,99,0.0,earnings,,"Labeyrie Fine Foods PLC: our view, profitability",PRESS-RELEASE,Dow Jones Newswires,Press Release: S&PGR Rates Financiere Labeyrie 'B'; Outlook Stable
A,2022-04-06,13:00:02,CCC42B,Labeyrie Fine Foods PLC,100,0.49,partnerships,,Labeyrie Fine Foods Partners with Rimini Street to,PRESS-RELEASE,Business Wire,Labeyrie Fine Foods Partners with Rimini Street to Enable the Company's Digital Evolution
A,2022-04-06,13:00:02,CCC42B,Labeyrie Fine Foods PLC,100,0.49,partnerships,,Labeyrie Fine Foods Partners with Rimini Street,PRESS-RELEASE,Business Wire,Labeyrie Fine Foods Partners with Rimini Street -2-
A,2022-04-06,13:26:24,CCC42B,Labeyrie Fine Foods PLC,100,0.49,partnerships,,Labeyrie Fine Foods Partners with Rimini Street to,PRESS-RELEASE,Dow Jones Newswires,Press Release: Labeyrie Fine Foods Partners with Rimini Street to Enable the Company's Digital Evolution
A,2022-12-02,11:19:27,CCC42B,Labeyrie Fine Foods PLC,100,-0.84,credit-ratings,downgrade,Moody's Downgrades Labeyrie's Ratings To B3,NEWS-FLASH,Dow Jones Newswires,Moody's Downgrades Labeyrie's Ratings To B3; Outlook Remains Stable
A,2022-12-09,17:31:14,CCC42B,Labeyrie Fine Foods PLC,100,-0.88,credit-ratings,downgrade,S&PGR Lowers Labeyrie Fine Foods To 'CCC+,NEWS-FLASH,Dow Jones Newswires,S&PGR Lowers Labeyrie Fine Foods To 'CCC+'; Outlook Stable
A,2022-12-09,17:31:14,CCC42B,Labeyrie Fine Foods PLC,100,-0.88,credit-ratings,downgrade,S&PGR Lowers Labeyrie Fine Foods To 'CCC+,PRESS-RELEASE,Dow Jones Newswires,Press Release: S&PGR Lowers Labeyrie Fine Foods To 'CCC+'; Outlook Stable
A,2022-12-09,17:31:24,CCC42B,Labeyrie Fine Foods PLC,100,-0.61,credit-ratings,downgrade,S&PGR Lowers Labeyrie Fine Foods -,PRESS-RELEASE,Dow Jones Newswires,Press Release: S&PGR Lowers Labeyrie Fine Foods -2-
A,2021-01-15,18:37:31,ED79D9,Agilent Technologies Inc.,100,0.53,labor-issues,,Agilent Names Allison Ballmer Senior Vice President,PRESS-RELEASE,Business Wire,Agilent Names Allison Ballmer Senior Vice President of Strategy and Corporate Development
A,2021-01-15,18:37:31,ED79D9,Agilent Technologies Inc.,100,0.49,partnerships,,Agilent Technologies Inc.: She also will lead enterprise strategy while collaborating with Agilent,PRESS-RELEASE,Business Wire,Agilent Names Allison Ballmer Senior Vice President of Strategy and Corporate Development
A,2021-01-15,18:37:31,ED79D9,Agilent Technologies Inc.,100,0.53,labor-issues,,Agilent Names Allison Ballmer Senior Vice President,PRESS-RELEASE,Dow Jones Newswires,Press Release: Agilent Names Allison Ballmer Senior Vice President of Strategy and Corporate Development
A,2021-01-15,18:37:31,ED79D9,Agilent Technologies Inc.,100,0.49,partnerships,,Agilent Technologies Inc.: She also will lead enterprise strategy while collaborating with Agilent,PRESS-RELEASE,Dow Jones Newswires,Press Release: Agilent Names Allison Ballmer Senior Vice President of Strategy and Corporate Development
A,2021-01-15,18:38:00,ED79D9,Agilent Technologies Inc.,100,0.53,labor-issues,,Agilent Names Allison Ballmer Senior Vice Pres of Strategy and Corporate Development >A,NEWS-FLASH,Dow Jones Newswires,Agilent Names Allison Ballmer Senior Vice Pres of Strategy and Corporate Development >A
A,2021-01-15,18:50:49,ED79D9,Agilent Technologies Inc.,100,0.53,labor-issues,,Agilent Technologies Names Allison Ballmer Senior VP,FULL-ARTICLE,Dow Jones Newswires,"Agilent Technologies Names Allison Ballmer Senior VP of Strategy, Corporate Development"
A,2021-01-19,22:03:59,ED79D9,Agilent Technologies Inc.,100,-0.49,insider-trading,,Vp Tang Sells 500 Of Agilent Technologies Inc,TABULAR-MATERIAL,Dow Jones Newswires,VP Tang Sells 500 Of Agilent Technologies Inc >A
A,2021-01-19,22:05:54,ED79D9,Agilent Technologies Inc.,100,0.0,insider-trading,,"Vp Tang Surrenders 6,943 Of Agilent Technologies Inc >A",TABULAR-MATERIAL,Dow Jones Newswires,"VP Tang Surrenders 6,943 Of Agilent Technologies Inc >A-Amended"
A,2021-01-19,22:06:37,ED79D9,Agilent Technologies Inc.,100,0.0,insider-trading,,"Vp Tang Surrenders 9,639 Of Agilent Technologies Inc >A",TABULAR-MATERIAL,Dow Jones Newswires,"VP Tang Surrenders 9,639 Of Agilent Technologies Inc >A-Amended"
A,2021-01-21,18:41:35,ED79D9,Agilent Technologies Inc.,100,0.0,insider-trading,,"Vp Ancher-Jensen Surrenders 6,218 Of Agilent Technologies Inc >A",TABULAR-MATERIAL,Dow Jones Newswires,"VP Ancher-Jensen Surrenders 6,218 Of Agilent Technologies Inc >A-Amended"
A,2021-01-21,18:42:32,ED79D9,Agilent Technologies Inc.,100,0.0,insider-trading,,"Vp Ancher-Jensen Surrenders 1,212 Of Agilent Technologies Inc >A",TABULAR-MATERIAL,Dow Jones Newswires,"VP Ancher-Jensen Surrenders 1,212 Of Agilent Technologies Inc >A-Amended"
A,2021-01-21,18:44:43,ED79D9,Agilent Technologies Inc.,100,0.0,insider-trading,,Vp Gonsalves Surrenders 493 Of Agilent Technologies Inc >A,TABULAR-MATERIAL,Dow Jones Newswires,VP Gonsalves Surrenders 493 Of Agilent Technologies Inc >A-Amended
A,2021-01-21,18:46:49,ED79D9,Agilent Technologies Inc.,100,0.0,insider-trading,,"Vp Grau Surrenders 13,413 Of Agilent Technologies Inc >A",TABULAR-MATERIAL,Dow Jones Newswires,"VP Grau Surrenders 13,413 Of Agilent Technologies Inc >A-Amended"
A,2021-01-21,18:48:52,ED79D9,Agilent Technologies Inc.,100,0.0,insider-trading,,"Vp McDonnell Surrenders 1,590 Of Agilent Technologies Inc >A",TABULAR-MATERIAL,Dow Jones Newswires,"VP McDonnell Surrenders 1,590 Of Agilent Technologies Inc >A-Amended"
A,2021-01-21,18:50:41,ED79D9,Agilent Technologies Inc.,100,0.0,insider-trading,,"Ceo McMullen Surrenders 82,635 Of Agilent Technologies Inc >A",TABULAR-MATERIAL,Dow Jones Newswires,"CEO McMullen Surrenders 82,635 Of Agilent Technologies Inc >A-Amended"
A,2021-01-21,18:53:22,ED79D9,Agilent Technologies Inc.,100,0.0,insider-trading,,"Vp Raha Surrenders 11,342 Of Agilent Technologies Inc >A",TABULAR-MATERIAL,Dow Jones Newswires,"VP Raha Surrenders 11,342 Of Agilent Technologies Inc >A-Amended"
A,2021-01-21,18:54:49,ED79D9,Agilent Technologies Inc.,100,0.0,insider-trading,,"Vp Thaysen Surrenders 15,374 Of Agilent Technologies Inc >A",TABULAR-MATERIAL,Dow Jones Newswires,"VP Thaysen Surrenders 15,374 Of Agilent Technologies Inc >A-Amended"
A,2021-01-21,18:56:05,ED79D9,Agilent Technologies Inc.,100,0.0,insider-trading,,Vp Gonsalves Surrenders 18 Of Agilent Technologies Inc >A,TABULAR-MATERIAL,Dow Jones Newswires,VP Gonsalves Surrenders 18 Of Agilent Technologies Inc >A
A,2021-01-21,19:02:28,ED79D9,Agilent Technologies Inc.,100,0.0,insider-trading,,Vp Tang Surrenders 367 Of Agilent Technologies Inc >A,TABULAR-MATERIAL,Dow Jones Newswires,VP Tang Surrenders 367 Of Agilent Technologies Inc >A
A,2021-01-22,08:14:54,ED79D9,Agilent Technologies Inc.,100,0.0,investor-relations,,"Agilent Technologies Inc, Inst Holders, 4Q 2020 (A)",RNS-SEC13F,Dow Jones Newswires,"Agilent Technologies Inc, Inst Holders, 4Q 2020 (A)"
A,2021-01-25,13:00:03,ED79D9,Agilent Technologies Inc.,99,0.0,revenues,,Agilent Technologies Inc.: The company generated revenue of $5.34 billion in fiscal 2020,PRESS-RELEASE,Business Wire,Agilent Announces Enhanced Mass Spectrometry and Automation Software Solutions to Support Regulatory Compliance Guidelines
A,2021-01-25,13:00:04,ED79D9,Agilent Technologies Inc.,99,0.0,revenues,,Agilent Technologies Inc.: The company generated revenue of $5.34 billion in fiscal 2020,PRESS-RELEASE,Dow Jones Newswires,Press Release: Agilent Announces Enhanced Mass Spectrometry and Automation Software Solutions to Support Regulatory Compliance Guidelines
A,2021-01-26,16:00:01,ED79D9,Agilent Technologies Inc.,99,0.0,earnings,,"Agilent Technologies Inc. (NYSE: A) will release first-quarter fiscal year 2021 financial results after the stock market closes on Tuesday, Feb. 16.",PRESS-RELEASE,Business Wire,Agilent to Webcast First-Quarter Fiscal Year 2021 Financial Results Presentation
