ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
ADM,2021-02-26,07:15:02,182546,Admiral Group PLC,96,0.47,labor-issues,,"Non-executive director of Admiral, has been appointed as an independent non-executive director",PRESS-RELEASE,LSE Regulatory News Service (RNS),Admiral Group PLC Directorate Change
ADM,2021-02-26,07:15:02,182546,Admiral Group PLC,96,0.47,labor-issues,,"Non-executive director of Admiral, has been appointed as an independent non-executive director",FULL-ARTICLE,Dow Jones Newswires,Admiral Group PLC Directorate Change
ADM,2021-03-04,07:00:02,182546,Admiral Group PLC,100,0.0,revenues,,Admiral Group FY Turnover GBP3.55B,NEWS-FLASH,Dow Jones Newswires,Admiral Group FY Turnover GBP3.55B
ADM,2021-03-04,07:00:03,182546,Admiral Group PLC,100,0.61,earnings,positive,Admiral Group FY Net Pft GBP528.8M,NEWS-FLASH,Dow Jones Newswires,Admiral Group FY Net Pft GBP528.8M
ADM,2021-03-04,07:00:04,182546,Admiral Group PLC,100,0.6,earnings,positive,Admiral Group FY Oper Pft GBP620.5M,NEWS-FLASH,Dow Jones Newswires,Admiral Group FY Oper Pft GBP620.5M
ADM,2021-03-04,07:00:04,182546,Admiral Group PLC,100,0.0,revenues,,Admiral Group FY Rev GBP1.31B,NEWS-FLASH,Dow Jones Newswires,Admiral Group FY Rev GBP1.31B
ADM,2021-03-04,07:00:06,182546,Admiral Group PLC,100,0.0,earnings,,Admiral Group Plc Announces Full Year Results,PRESS-RELEASE,LSE Regulatory News Service (RNS),Admiral Group PLC Admiral Group Plc Announces Full Year Results With Growth In Group Profit And Customers For The Year Ended 31 December 2020
ADM,2021-03-04,07:00:06,182546,Admiral Group PLC,100,0.61,earnings,positive,Admiral Group PLC: Earnings per share 179.5 pence 148.3 pence,PRESS-RELEASE,LSE Regulatory News Service (RNS),Admiral Group PLC Admiral Group Plc Announces Full Year Results With Growth In Group Profit And Customers For The Year Ended 31 December 2020
ADM,2021-03-04,07:00:06,182546,Admiral Group PLC,100,0.0,dividends,,Admiral Group PLC: Full year dividend,PRESS-RELEASE,LSE Regulatory News Service (RNS),Admiral Group PLC Admiral Group Plc Announces Full Year Results With Growth In Group Profit And Customers For The Year Ended 31 December 2020
ADM,2021-03-04,07:00:06,182546,Admiral Group PLC,100,0.0,dividends,,Admiral Group PLC: The dividend will be paid on 4 June 2021,PRESS-RELEASE,LSE Regulatory News Service (RNS),Admiral Group PLC Admiral Group Plc Announces Full Year Results With Growth In Group Profit And Customers For The Year Ended 31 December 2020
ADM,2021-03-04,07:00:06,182546,Admiral Group PLC,100,0.4,earnings,up,Admiral Group PLC: Earnings per share rose by 21%,PRESS-RELEASE,LSE Regulatory News Service (RNS),Admiral Group PLC Admiral Group Plc Announces Full Year Results With Growth In Group Profit And Customers For The Year Ended 31 December 2020
ADM,2021-03-04,07:00:06,182546,Admiral Group PLC,100,0.0,dividends,,Admiral Group PLC: our half-year dividend,PRESS-RELEASE,LSE Regulatory News Service (RNS),Admiral Group PLC Admiral Group Plc Announces Full Year Results With Growth In Group Profit And Customers For The Year Ended 31 December 2020
ADM,2021-03-04,07:00:06,182546,Admiral Group PLC,100,0.0,earnings,,Admiral Group PLC: our second half earnings,PRESS-RELEASE,LSE Regulatory News Service (RNS),Admiral Group PLC Admiral Group Plc Announces Full Year Results With Growth In Group Profit And Customers For The Year Ended 31 December 2020
ADM,2021-03-04,07:00:06,182546,Admiral Group PLC,99,0.61,earnings,positive,Admiral Group PLC: Profit after,PRESS-RELEASE,LSE Regulatory News Service (RNS),Admiral Group PLC Admiral Group Plc Announces -6-
ADM,2021-03-04,07:00:06,182546,Admiral Group PLC,100,0.0,earnings,,Admiral Group Plc Announces Full Year Results,FULL-ARTICLE,Dow Jones Newswires,Admiral Group PLC Admiral Group Plc Announces Full Year Results With Growth In Group Profit And Customers For The Year Ended 31 December 2020
ADM,2021-03-04,07:00:06,182546,Admiral Group PLC,99,0.52,products-services,,"Admiral Group PLC: In 2020, we launched Pet Insurance in Italy",PRESS-RELEASE,LSE Regulatory News Service (RNS),Admiral Group PLC Admiral Group Plc Announces -3-
ADM,2021-03-04,07:00:06,182546,Admiral Group PLC,99,0.56,revenues,up,Admiral Group PLC: Confused's revenue increased,PRESS-RELEASE,LSE Regulatory News Service (RNS),Admiral Group PLC Admiral Group Plc Announces -4-
ADM,2021-03-04,07:00:06,182546,Admiral Group PLC,99,0.0,dividends,,Admiral Group PLC: we have proposed a final dividend,PRESS-RELEASE,LSE Regulatory News Service (RNS),Admiral Group PLC Admiral Group Plc Announces -4-
ADM,2021-03-04,07:00:06,182546,Admiral Group PLC,99,0.61,earnings,positive,Admiral Group PLC: Earnings per share 179.5p 148.3p,PRESS-RELEASE,LSE Regulatory News Service (RNS),Admiral Group PLC Admiral Group Plc Announces -4-
ADM,2021-03-04,07:00:06,182546,Admiral Group PLC,99,0.0,revenues,,Admiral Group PLC: UK Insurance turnover,PRESS-RELEASE,LSE Regulatory News Service (RNS),Admiral Group PLC Admiral Group Plc Announces -4-
