ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
ADP,2024-01-02,15:06:31,66ECFD,Automatic Data Processing Inc.,100,-0.48,insider-trading,,"Vp Albinson Registers 2,332 Of Automatic Data Processing >ADP",RNS-SEC144,Dow Jones Newswires,"VP Albinson Registers 2,332 Of Automatic Data Processing >ADP"
ADP,2024-01-02,17:27:25,66ECFD,Automatic Data Processing Inc.,100,-0.48,insider-trading,,"Vp Kwon Registers 2,633 Of Automatic Data Processing >ADP",RNS-SEC144,Dow Jones Newswires,"VP Kwon Registers 2,633 Of Automatic Data Processing >ADP"
ADP,2024-01-03,15:00:28,66ECFD,Automatic Data Processing Inc.,100,-0.48,insider-trading,,Ceo Black Registers 359 Of Automatic Data Processing >ADP,RNS-SEC144,Dow Jones Newswires,CEO Black Registers 359 Of Automatic Data Processing >ADP
ADP,2024-01-03,21:21:53,66ECFD,Automatic Data Processing Inc.,100,-0.49,insider-trading,,"Vp Albinson Sells 2,332 Of Automatic Data Processing",TABULAR-MATERIAL,Dow Jones Newswires,"VP Albinson Sells 2,332 Of Automatic Data Processing >ADP"
ADP,2024-01-03,21:51:50,66ECFD,Automatic Data Processing Inc.,100,0.0,insider-trading,,Vp Boland Surrenders 202 Of Automatic Data Processing >ADP,TABULAR-MATERIAL,Dow Jones Newswires,VP Boland Surrenders 202 Of Automatic Data Processing >ADP
ADP,2024-01-04,12:19:20,66ECFD,Automatic Data Processing Inc.,100,0.62,analyst-ratings,positive,Automatic Data Raised to Peer Perform From Underperform by Wolfe Research,NEWS-FLASH,Dow Jones Newswires,Automatic Data Raised to Peer Perform From Underperform by Wolfe Research
ADP,2024-01-04,13:15:01,66ECFD,Automatic Data Processing Inc.,90,0.0,employment,up,"Adp Dec US Private Sector Jobs +164,000",NEWS-FLASH,Dow Jones Newswires,"ADP Dec US Private Sector Jobs +164,000"
ADP,2024-01-04,13:15:01,66ECFD,Automatic Data Processing Inc.,90,0.0,employment,up,"Adp Dec US Private Sector Jobs Expected +130,000",NEWS-FLASH,Dow Jones Newswires,"ADP Dec US Private Sector Jobs Expected +130,000"
ADP,2024-01-04,21:13:02,66ECFD,Automatic Data Processing Inc.,100,-0.49,insider-trading,,"Vp Kwon Sells 2,633 Of Automatic Data Processing",TABULAR-MATERIAL,Dow Jones Newswires,"VP Kwon Sells 2,633 Of Automatic Data Processing >ADP"
ADP,2024-01-04,21:28:29,66ECFD,Automatic Data Processing Inc.,100,-0.49,insider-trading,,Ceo Black Sells 359 Of Automatic Data Processing,TABULAR-MATERIAL,Dow Jones Newswires,CEO Black Sells 359 Of Automatic Data Processing >ADP
