ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
ADSK,2024-01-05,21:10:01,64E346,Autodesk Inc.,100,0.0,insider-trading,,Vp Pearce Surrenders 763 Of Autodesk Inc >ADSK,TABULAR-MATERIAL,Dow Jones Newswires,VP Pearce Surrenders 763 Of Autodesk Inc >ADSK
ADSK,2024-01-09,13:53:06,64E346,Autodesk Inc.,100,0.0,analyst-ratings,neutral,Autodesk Is Maintained at Neutral by Piper Sandler,NEWS-FLASH,Dow Jones Newswires,Autodesk Is Maintained at Neutral by Piper Sandler
ADSK,2024-01-09,13:53:06,64E346,Autodesk Inc.,100,0.74,price-targets,upgrade,Autodesk Price Target Raised to $234.00/Share From $215.00 by Piper Sandler,NEWS-FLASH,Dow Jones Newswires,Autodesk Price Target Raised to $234.00/Share From $215.00 by Piper Sandler
ADSK,2024-01-12,09:42:22,64E346,Autodesk Inc.,100,0.34,analyst-ratings,neutral,Autodesk Is Maintained at Overweight by Keybanc,NEWS-FLASH,Dow Jones Newswires,Autodesk Is Maintained at Overweight by Keybanc
ADSK,2024-01-12,09:42:23,64E346,Autodesk Inc.,100,0.62,price-targets,upgrade,Autodesk Price Target Raised to $260.00/Share From $245.00 by Keybanc,NEWS-FLASH,Dow Jones Newswires,Autodesk Price Target Raised to $260.00/Share From $245.00 by Keybanc
ADSK,2024-01-16,21:36:32,64E346,Autodesk Inc.,100,-0.48,insider-trading,,Dir McDowell Registers 550 Of Autodesk Inc >ADSK,RNS-SEC144,Dow Jones Newswires,Dir McDowell Registers 550 Of Autodesk Inc >ADSK
ADSK,2024-01-17,18:03:00,64E346,Autodesk Inc.,100,-0.49,insider-trading,,Dir McDowell Sells 550 Of Autodesk Inc,TABULAR-MATERIAL,Dow Jones Newswires,Dir McDowell Sells 550 Of Autodesk Inc >ADSK
ADSK,2024-01-19,22:12:34,64E346,Autodesk Inc.,100,-0.48,insider-trading,,"Dir Smith Registers 7,554 Of Autodesk Inc >ADSK",RNS-SEC144,Dow Jones Newswires,"Dir Smith Registers 7,554 Of Autodesk Inc >ADSK"
ADSK,2024-01-20,00:23:24,64E346,Autodesk Inc.,100,-0.49,insider-trading,,"Dir Smith Sells 7,554 Of Autodesk Inc",TABULAR-MATERIAL,Dow Jones Newswires,"Dir Smith Sells 7,554 Of Autodesk Inc >ADSK"
ADSK,2024-01-22,09:44:45,64E346,Autodesk Inc.,100,0.34,analyst-ratings,neutral,Autodesk Is Maintained at Overweight by Keybanc,NEWS-FLASH,Dow Jones Newswires,Autodesk Is Maintained at Overweight by Keybanc
ADSK,2024-01-22,09:44:45,64E346,Autodesk Inc.,100,0.36,price-targets,upgrade,Autodesk Price Target Raised to $265.00/Share From $260.00 by Keybanc,NEWS-FLASH,Dow Jones Newswires,Autodesk Price Target Raised to $265.00/Share From $260.00 by Keybanc
ADSK,2024-01-22,21:33:37,64E346,Autodesk Inc.,100,-0.48,insider-trading,,"Dir McDowell Registers 2,500 Of Autodesk Inc >ADSK",RNS-SEC144,Dow Jones Newswires,"Dir McDowell Registers 2,500 Of Autodesk Inc >ADSK"
ADSK,2024-01-23,01:10:36,64E346,Autodesk Inc.,100,-0.49,insider-trading,,"Dir McDowell Sells 2,500 Of Autodesk Inc",TABULAR-MATERIAL,Dow Jones Newswires,"Dir McDowell Sells 2,500 Of Autodesk Inc >ADSK"
ADSK,2024-02-02,22:10:24,64E346,Autodesk Inc.,100,0.0,insider-trading,,Coo Blum Surrenders 575 Of Autodesk Inc >ADSK,TABULAR-MATERIAL,Dow Jones Newswires,COO Blum Surrenders 575 Of Autodesk Inc >ADSK
ADSK,2024-02-05,13:00:07,64E346,Autodesk Inc.,99,0.0,investor-relations,,Autodesk Inc.: Fourth quarter fiscal 2024 financial results conference call to,PRESS-RELEASE,PR Newswire,Autodesk extends invitation to join financial results conference call
ADSK,2024-02-05,13:00:08,64E346,Autodesk Inc.,99,0.0,investor-relations,,Autodesk Inc.: Fourth quarter fiscal 2024 financial results conference call to,PRESS-RELEASE,Dow Jones Newswires,Press Release: Autodesk extends invitation to join financial results conference call
ADSK,2024-02-05,14:00:11,64E346,Autodesk Inc.,100,0.62,acquisitions-mergers,,Autodesk Enters Agreement To Acquire PIX Of X2X >ADSK,NEWS-FLASH,Dow Jones Newswires,Autodesk Enters Agreement To Acquire PIX Of X2X >ADSK
ADSK,2024-02-05,14:00:11,64E346,Autodesk Inc.,100,0.57,acquisitions-mergers,completed,Autodesk Inc.: the completion of the proposed acquisition,PRESS-RELEASE,PR Newswire,Autodesk enters agreement to acquire PIX of X2X
ADSK,2024-02-05,14:00:11,64E346,Autodesk Inc.,100,0.57,acquisitions-mergers,completed,Autodesk Inc.: the completion of the proposed acquisition,PRESS-RELEASE,Dow Jones Newswires,Press Release: Autodesk enters agreement to acquire PIX of X2X
ADSK,2024-02-05,14:01:11,64E346,Autodesk Inc.,100,0.55,acquisitions-mergers,,Autodesk to Acquire the PIX Business of,NEWS-FLASH,Dow Jones Newswires,Autodesk to Acquire the PIX Business of X2X for Undisclosed Terms >ADSK
ADSK,2024-02-07,14:01:03,64E346,Autodesk Inc.,99,0.49,partnerships,,In collaboration with Autodesk on,PRESS-RELEASE,PR Newswire,Autodesk Informed Design Unlocks Industrialized Construction to Connect Design and Make Workflows
ADSK,2024-02-07,14:10:42,64E346,Autodesk Inc.,99,0.49,partnerships,,In collaboration with Autodesk on,PRESS-RELEASE,Dow Jones Newswires,Press Release: Autodesk Informed Design Unlocks Industrialized Construction to Connect Design and Make Workflows
ADSK,2024-02-15,21:49:05,64E346,Autodesk Inc.,100,-0.48,insider-trading,,Dir McDowell Registers 550 Of Autodesk Inc >ADSK,RNS-SEC144,Dow Jones Newswires,Dir McDowell Registers 550 Of Autodesk Inc >ADSK
ADSK,2024-02-16,02:09:55,64E346,Autodesk Inc.,100,-0.49,insider-trading,,Dir McDowell Sells 550 Of Autodesk Inc,TABULAR-MATERIAL,Dow Jones Newswires,Dir McDowell Sells 550 Of Autodesk Inc >ADSK
