ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
AFL,2024-01-04,17:45:31,AD3C93,AFLAC Inc.,100,-0.98,analyst-ratings,negative,Aflac Cut to Underperform From In-Line by Evercore ISI Group,NEWS-FLASH,Dow Jones Newswires,Aflac Cut to Underperform From In-Line by Evercore ISI Group
AFL,2024-01-04,17:45:31,AD3C93,AFLAC Inc.,100,0.42,price-targets,upgrade,Aflac Price Target Raised to $78.00/Share From $76.00 by Evercore ISI Group,NEWS-FLASH,Dow Jones Newswires,Aflac Price Target Raised to $78.00/Share From $76.00 by Evercore ISI Group
AFL,2024-01-04,21:05:03,AD3C93,AFLAC Inc.,99,0.0,earnings,,Aflac Incorporated (NYSE: AFL) announced today that it will host a conference call addressing earnings for the fourth quarter,PRESS-RELEASE,PR Newswire,"Aflac Incorporated to Webcast Fourth Quarter Earnings and 2024 Outlook Call on February 1, 2024"
AFL,2024-01-04,21:05:03,AD3C93,AFLAC Inc.,99,0.0,investor-relations,,AFLAC Inc.: To listen to the conference call,PRESS-RELEASE,PR Newswire,"Aflac Incorporated to Webcast Fourth Quarter Earnings and 2024 Outlook Call on February 1, 2024"
AFL,2024-01-04,21:05:03,AD3C93,AFLAC Inc.,99,0.0,earnings,,AFLAC Inc.: The company will release financial results for the fourth quarter and full year,PRESS-RELEASE,PR Newswire,"Aflac Incorporated to Webcast Fourth Quarter Earnings and 2024 Outlook Call on February 1, 2024"
AFL,2024-01-04,21:05:03,AD3C93,AFLAC Inc.,99,0.0,earnings,,AFLAC Inc.: The company will release financial results for the fourth quarter and full year,PRESS-RELEASE,PR Newswire,"Aflac Incorporated to Webcast Fourth Quarter Earnings and 2024 Outlook Call on February 1, 2024"
AFL,2024-01-04,21:05:04,AD3C93,AFLAC Inc.,99,0.0,earnings,,Aflac Incorporated (NYSE: AFL) announced today that it will host a conference call addressing earnings for the fourth quarter,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Aflac Incorporated to Webcast Fourth Quarter Earnings and 2024 Outlook Call on February 1, 2024"
AFL,2024-01-04,21:05:04,AD3C93,AFLAC Inc.,99,0.0,investor-relations,,AFLAC Inc.: To listen to the conference call,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Aflac Incorporated to Webcast Fourth Quarter Earnings and 2024 Outlook Call on February 1, 2024"
AFL,2024-01-04,21:05:04,AD3C93,AFLAC Inc.,99,0.0,earnings,,AFLAC Inc.: The company will release financial results for the fourth quarter and full year,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Aflac Incorporated to Webcast Fourth Quarter Earnings and 2024 Outlook Call on February 1, 2024"
AFL,2024-01-04,21:05:04,AD3C93,AFLAC Inc.,99,0.0,earnings,,AFLAC Inc.: The company will release financial results for the fourth quarter and full year,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Aflac Incorporated to Webcast Fourth Quarter Earnings and 2024 Outlook Call on February 1, 2024"
