ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
AIZ,2021-02-03,22:15:17,34528C,Air New Zealand Ltd.,100,0.76,price-targets,upgrade,Air New Zealand Target Price Raised 9.5% to NZ$1.15,NEWS-FLASH,Dow Jones Newswires,Air New Zealand Target Price Raised 9.5% to NZ$1.15/Share by Macquarie>AIR.NZ
AIZ,2021-02-17,22:48:56,34528C,Air New Zealand Ltd.,100,0.0,earnings,,Air NZ Expected to Report Deep Loss for 1H,FULL-ARTICLE,Dow Jones Newswires,Air NZ Expected to Report Deep Loss for 1H -- Market Talk
AIZ,2021-02-17,22:48:56,34528C,Air New Zealand Ltd.,100,0.44,credit,reduction,Air New Zealand to repay the loan,FULL-ARTICLE,Dow Jones Newswires,Air NZ Expected to Report Deep Loss for 1H -- Market Talk
AIZ,2021-02-24,19:48:02,34528C,Air New Zealand Ltd.,100,-0.65,earnings,negative,Air New Zealand 1H Net Loss NZ$72M,NEWS-FLASH,Dow Jones Newswires,Air New Zealand 1H Net Loss NZ$72M
AIZ,2021-02-24,19:52:32,34528C,Air New Zealand Ltd.,100,0.0,earnings,,Air New Zealand Expects Significant Loss for FY21,NEWS-FLASH,Dow Jones Newswires,Air New Zealand Expects Significant Loss for FY21
AIZ,2021-02-24,20:35:03,34528C,Air New Zealand Ltd.,100,-0.67,earnings,down,Air New Zealand Ltd. sank to a half-year loss,FULL-ARTICLE,Dow Jones Newswires,Air New Zealand Sinks to Loss as Pandemic Curbs International Travel
AIZ,2021-02-24,20:35:03,34528C,Air New Zealand Ltd.,100,0.0,earnings,,Air New Zealand Ltd.: The company forecast monthly cash losses to,FULL-ARTICLE,Dow Jones Newswires,Air New Zealand Sinks to Loss as Pandemic Curbs International Travel
AIZ,2021-02-25,23:12:15,34528C,Air New Zealand Ltd.,94,0.0,investor-relations,,Air New Zealand Limited CEO Greg Foran on 2021 Interim Results -- Earnings Call Transcript,NEWS-FLASH,Dow Jones Newswires,Air New Zealand Limited CEO Greg Foran on 2021 Interim Results -- Earnings Call Transcript >ANZFF
AIZ,2021-02-25,23:15:37,34528C,Air New Zealand Ltd.,100,0.52,price-targets,upgrade,Air New Zealand Target Price Raised 4.3% to NZ$1.20,NEWS-FLASH,Dow Jones Newswires,Air New Zealand Target Price Raised 4.3% to NZ$1.20/Share by Macquarie>AIR.NZ
AIZ,2021-02-28,22:08:10,34528C,Air New Zealand Ltd.,100,-0.8,price-targets,downgrade,Air New Zealand Price Target Cut 14% to NZ$1.55/Share by Goldman Sachs,NEWS-FLASH,Dow Jones Newswires,Air New Zealand Price Target Cut 14% to NZ$1.55/Share by Goldman Sachs
