ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
ALGN,2021-01-04,12:32:12,221AD7,Align Technology Inc.,100,0.94,analyst-ratings,positive,Align Technology Raised to Outperform From In-Line by Evercore ISI,NEWS-FLASH,Dow Jones Newswires,Align Technology Raised to Outperform From In-Line by Evercore ISI Group
ALGN,2021-01-04,12:32:12,221AD7,Align Technology Inc.,100,0.0,price-targets,set,Align Technology Price Target Announced at $625.00/Share by Evercore ISI,NEWS-FLASH,Dow Jones Newswires,Align Technology Price Target Announced at $625.00/Share by Evercore ISI Group
ALGN,2021-01-04,13:30:01,221AD7,Align Technology Inc.,100,0.0,earnings,,"Align Technology to Announce Fourth Quarter and 2020 Results on February 3, 2021",PRESS-RELEASE,GlobeNewswire,"Align Technology to Announce Fourth Quarter and 2020 Results on February 3, 2021"
ALGN,2021-01-04,13:30:01,221AD7,Align Technology Inc.,100,0.0,earnings,,"Align Technology to Announce Fourth Quarter and 2020 Results on February 3, 2021",PRESS-RELEASE,GlobeNewswire,"Align Technology to Announce Fourth Quarter and 2020 Results on February 3, 2021"
ALGN,2021-01-04,13:30:56,221AD7,Align Technology Inc.,100,0.0,earnings,,"Align Technology to Announce Fourth Quarter and 2020 Results on February 3, 2021",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Align Technology to Announce Fourth Quarter and 2020 Results on February 3, 2021"
ALGN,2021-01-04,13:30:56,221AD7,Align Technology Inc.,100,0.0,earnings,,"Align Technology to Announce Fourth Quarter and 2020 Results on February 3, 2021",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Align Technology to Announce Fourth Quarter and 2020 Results on February 3, 2021"
ALGN,2021-01-07,16:06:14,221AD7,Align Technology Inc.,100,-0.8,price-targets,downgrade,Align Technology price target lowered to $515 from $600 at Stifel,NEWS-FLASH,MarketWatch,"MW Align Technology price target lowered to $515 from $600 at Stifel, stock rated buy"
ALGN,2021-01-12,02:53:15,221AD7,Align Technology Inc.,100,0.0,insider-trading,,"Dir Prescott Gifts 4,040 Of Align Technology Inc >ALGN",TABULAR-MATERIAL,Dow Jones Newswires,"Dir Prescott Gifts 4,040 Of Align Technology Inc >ALGN"
ALGN,2021-01-20,13:30:01,221AD7,Align Technology Inc.,99,0.46,equity-actions,,Align Technology Inc.: we must continue to invest in new products,PRESS-RELEASE,GlobeNewswire,"Align Technology Establishes New Global Corporate Headquarters in Tempe, Arizona"
ALGN,2021-01-20,13:30:01,221AD7,Align Technology Inc.,99,0.38,labor-issues,,Align Technology Inc.: hundred new jobs for our,PRESS-RELEASE,GlobeNewswire,"Align Technology Establishes New Global Corporate Headquarters in Tempe, Arizona"
ALGN,2021-01-20,13:30:02,221AD7,Align Technology Inc.,99,0.46,equity-actions,,Align Technology Inc.: we must continue to invest in new products,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Align Technology Establishes New Global Corporate Headquarters in Tempe, Arizona"
ALGN,2021-01-20,13:30:02,221AD7,Align Technology Inc.,99,0.38,labor-issues,,Align Technology Inc.: hundred new jobs for our,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Align Technology Establishes New Global Corporate Headquarters in Tempe, Arizona"
ALGN,2021-01-21,08:11:44,221AD7,Align Technology Inc.,100,0.0,investor-relations,,"Align Technology Inc, Inst Holders, 4Q 2020 (ALGN)",RNS-SEC13F,Dow Jones Newswires,"Align Technology Inc, Inst Holders, 4Q 2020 (ALGN)"
