ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
ALLE,2024-01-30,22:00:01,9A3FF4,Allegion PLC,100,0.0,investor-relations,,Allegion Schedules Conference Call,PRESS-RELEASE,Business Wire,"Allegion Schedules Conference Call, Webcast to Announce 2023 Fourth-Quarter, Full-Year Results"
ALLE,2024-01-30,22:10:47,9A3FF4,Allegion PLC,100,0.0,investor-relations,,Allegion Schedules Conference Call,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Allegion Schedules Conference Call, Webcast to Announce 2023 Fourth-Quarter, Full-Year Results"
ALLE,2024-02-01,12:00:01,9A3FF4,Allegion PLC,100,0.55,acquisitions-mergers,,"Allegion Acquires Boss Door Controls, Bolstering UK Business with",PRESS-RELEASE,Business Wire,"Allegion Acquires Boss Door Controls, Bolstering UK Business with Complementary Portfolio and Broader Channel Access"
ALLE,2024-02-01,12:00:11,9A3FF4,Allegion PLC,99,0.55,acquisitions-mergers,,"Allegion Acquires Boss Door Controls, Bolstering UK Business with",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Allegion Acquires Boss Door Controls, Bolstering UK Business with Complementary Portfolio and Broader Channel Access"
ALLE,2024-02-01,12:00:16,9A3FF4,Allegion PLC,100,0.55,acquisitions-mergers,,"Allegion Acquires Boss Door Controls, Bolstering UK Business With",NEWS-FLASH,Dow Jones Newswires,"Allegion Acquires Boss Door Controls, Bolstering UK Business With Complementary Portfolio and Broader Channel Access"
ALLE,2024-02-07,22:00:01,9A3FF4,Allegion PLC,100,0.62,dividends,up,Allegion's Board Increases Quarterly Dividend,PRESS-RELEASE,Business Wire,Allegion's Board Increases Quarterly Dividend by 7%
ALLE,2024-02-07,22:00:01,9A3FF4,Allegion PLC,100,0.62,dividends,up,Allegion PLC: This is Allegion's 10(th) consecutive annual dividend increase,PRESS-RELEASE,Business Wire,Allegion's Board Increases Quarterly Dividend by 7%
ALLE,2024-02-07,22:00:01,9A3FF4,Allegion PLC,100,0.0,dividends,,"Allegion PLC: The dividend is payable on March 29, 2024, to shareholders",PRESS-RELEASE,Business Wire,Allegion's Board Increases Quarterly Dividend by 7%
ALLE,2024-02-07,22:00:20,9A3FF4,Allegion PLC,100,0.62,dividends,up,Allegion's Board Increases Quarterly Dividend,PRESS-RELEASE,Dow Jones Newswires,Press Release: Allegion's Board Increases Quarterly Dividend by 7%
ALLE,2024-02-07,22:00:20,9A3FF4,Allegion PLC,100,0.62,dividends,up,Allegion PLC: This is Allegion's 10(th) consecutive annual dividend increase,PRESS-RELEASE,Dow Jones Newswires,Press Release: Allegion's Board Increases Quarterly Dividend by 7%
ALLE,2024-02-07,22:00:20,9A3FF4,Allegion PLC,100,0.0,dividends,,"Allegion PLC: The dividend is payable on March 29, 2024, to shareholders",PRESS-RELEASE,Dow Jones Newswires,Press Release: Allegion's Board Increases Quarterly Dividend by 7%
ALLE,2024-02-07,22:00:34,9A3FF4,Allegion PLC,100,0.38,dividends,up,Allegion Raises Dividend to 48c Vs. 45c,NEWS-FLASH,Dow Jones Newswires,Allegion Raises Dividend to 48c Vs. 45c >ALLE
ALLE,2024-02-07,22:37:52,9A3FF4,Allegion PLC,100,0.38,dividends,up,Allegion PLC: Allegion said its board approved a 7% increase to the company's quarterly dividend,FULL-ARTICLE,Dow Jones Newswires,Allegion Increases Dividend to 48c per Share
ALLE,2024-02-08,22:00:01,9A3FF4,Allegion PLC,100,0.0,marketing,,Allegion to Attend 2024 Barclays Industrial Select Conference,PRESS-RELEASE,Business Wire,Allegion to Attend 2024 Barclays Industrial Select Conference
ALLE,2024-02-08,22:00:20,9A3FF4,Allegion PLC,100,0.0,marketing,,Allegion to Attend 2024 Barclays Industrial Select Conference,PRESS-RELEASE,Dow Jones Newswires,Press Release: Allegion to Attend 2024 Barclays Industrial Select Conference
ALLE,2024-02-09,22:55:51,9A3FF4,Allegion PLC,100,0.52,insider-trading,,"Vp Braun Acquires 1,618 Of Allegion plc >ALLE",FULL-ARTICLE,Dow Jones Newswires,"VP Braun Acquires 1,618 Of Allegion plc >ALLE"
ALLE,2024-02-09,23:01:51,9A3FF4,Allegion PLC,100,0.52,insider-trading,,"Vp Eckersley Acquires 6,788 Of Allegion plc >ALLE",FULL-ARTICLE,Dow Jones Newswires,"VP Eckersley Acquires 6,788 Of Allegion plc >ALLE"
ALLE,2024-02-09,23:05:17,9A3FF4,Allegion PLC,100,0.52,insider-trading,,Vp Hawes Acquires 106 Of Allegion plc >ALLE,FULL-ARTICLE,Dow Jones Newswires,VP Hawes Acquires 106 Of Allegion plc >ALLE
