ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
AON,2024-01-02,19:16:19,C5EF8D,Aon PLC,99,0.7,assets,up,Aon PLC: Pension assets gained 12.4 percent over the year 2023,PRESS-RELEASE,Canadian News Wire,Canadian defined benefit pension plans managed to come in with funded positions slightly better than the previous year but lost ground in Q4: Aon
AON,2024-01-02,19:16:19,C5EF8D,Aon PLC,99,0.7,assets,up,Aon PLC: Pension assets gained 12.4 percent over the year 2023,PRESS-RELEASE,PR Newswire,(PR) Canadian defined benefit pension plans managed to come in with funded positions slightly better than the previous year but lost ground in Q4: Aon
AON,2024-01-02,19:16:19,C5EF8D,Aon PLC,99,0.7,assets,up,Aon PLC: Pension assets gained 12.4 percent over the year 2023,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian defined benefit pension plans managed to come in with funded positions slightly better than the previous year but lost ground in Q4: Aon
AON,2024-01-02,19:27:37,C5EF8D,Aon PLC,99,0.7,assets,up,Aon PLC: Pension assets gained 12.4 percent over the year 2023,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian defined benefit pension plans managed to come in with funded positions slightly better than the previous year but lost ground in Q4: Aon
AON,2024-01-08,12:05:34,C5EF8D,Aon PLC,100,0.94,analyst-ratings,positive,Aon PLC Raised to Overweight From Neutral by JP Morgan,NEWS-FLASH,Dow Jones Newswires,Aon PLC Raised to Overweight From Neutral by JP Morgan
AON,2024-01-08,12:05:34,C5EF8D,Aon PLC,100,-0.74,price-targets,downgrade,Aon PLC Price Target Cut to $321.00/Share From $351.00 by JP Morgan,NEWS-FLASH,Dow Jones Newswires,Aon PLC Price Target Cut to $321.00/Share From $351.00 by JP Morgan
AON,2024-01-08,12:55:51,C5EF8D,Aon PLC,100,0.94,analyst-ratings,positive,Aon upgraded to overweight from neutral at J.P. Morgan,FULL-ARTICLE,MarketWatch,MW Aon upgraded to overweight from neutral at J.P. Morgan
AON,2024-01-09,13:10:56,C5EF8D,Aon PLC,100,0.0,analyst-ratings,neutral,Aon PLC Is Maintained at Neutral by Goldman Sachs,NEWS-FLASH,Dow Jones Newswires,Aon PLC Is Maintained at Neutral by Goldman Sachs
AON,2024-01-09,13:10:56,C5EF8D,Aon PLC,100,-0.8,price-targets,downgrade,Aon PLC Price Target Cut to $310.00/Share From $350.00 by Goldman Sachs,NEWS-FLASH,Dow Jones Newswires,Aon PLC Price Target Cut to $310.00/Share From $350.00 by Goldman Sachs
AON,2024-01-10,21:30:03,C5EF8D,Aon PLC,100,0.0,dividends,,Aon Announces Quarterly Cash Dividend,PRESS-RELEASE,PR Newswire,Aon Announces Quarterly Cash Dividend
AON,2024-01-10,21:30:12,C5EF8D,Aon PLC,100,0.0,dividends,,Aon Announces Quarterly Cash Dividend,PRESS-RELEASE,Dow Jones Newswires,Press Release: Aon Announces Quarterly Cash Dividend
AON,2024-01-12,21:30:03,C5EF8D,Aon PLC,100,0.0,investor-relations,,Aon Announces Fourth Quarter and Full Year 2023 Earnings Release and Conference Call,PRESS-RELEASE,PR Newswire,Aon Announces Fourth Quarter and Full Year 2023 Earnings Release and Conference Call
AON,2024-01-12,21:30:03,C5EF8D,Aon PLC,100,0.0,investor-relations,,Aon Announces Fourth Quarter and Full Year 2023 Earnings Release and Conference Call,PRESS-RELEASE,PR Newswire,Aon Announces Fourth Quarter and Full Year 2023 Earnings Release and Conference Call
AON,2024-01-12,21:30:03,C5EF8D,Aon PLC,100,0.0,investor-relations,,Aon Announces Fourth Quarter and Full Year 2023 Earnings Release and Conference Call,PRESS-RELEASE,Dow Jones Newswires,Press Release: Aon Announces Fourth Quarter and Full Year 2023 Earnings Release and Conference Call
AON,2024-01-12,21:30:03,C5EF8D,Aon PLC,100,0.0,investor-relations,,Aon Announces Fourth Quarter and Full Year 2023 Earnings Release and Conference Call,PRESS-RELEASE,Dow Jones Newswires,Press Release: Aon Announces Fourth Quarter and Full Year 2023 Earnings Release and Conference Call
AON,2024-01-23,15:00:15,C5EF8D,Aon PLC,99,-0.65,earnings,negative,Aon PLC: Global insurance losses during the year,PRESS-RELEASE,PR Newswire,Number of Billion-Dollar Disasters in 2023 Highest on Record: Aon Report
AON,2024-01-23,15:01:08,C5EF8D,Aon PLC,99,-0.65,earnings,negative,Aon PLC: Global insurance losses during the year,PRESS-RELEASE,PR Newswire,Number of Billion-Dollar Disasters in 2023 Highest on Record: Aon Report
AON,2024-01-25,00:00:06,C5EF8D,Aon PLC,99,0.53,labor-issues,,Aon named Tony Goland as its chief innovation officer,PRESS-RELEASE,PR Newswire,"Aon Digital Transformation Strategy Analysis Report 2023: Innovation Programs, Technology Initiatives, Estimated ICT Budgets, and Major ICT Contracts"
AON,2024-01-25,14:37:47,C5EF8D,Aon PLC,100,-0.47,regulatory,,Sec Charges Aon,NEWS-FLASH,Dow Jones Newswires,"SEC Charges Aon Investments, Former Partner with Misleading Pennsylvania Public Employees' Pension Fund"
AON,2024-01-25,14:37:49,C5EF8D,Aon PLC,100,0.46,legal,,Aon Consents to $1 Million Civil Penalty,NEWS-FLASH,Dow Jones Newswires,"SEC: Aon Consents to $1 Million Civil Penalty, $542,187 Disgorgement/Prejudgment Interest"
AON,2024-01-25,14:56:44,C5EF8D,Aon PLC,100,0.46,legal,,Aon to Pay $1.5M to Settle Charges,FULL-ARTICLE,Dow Jones Newswires,Aon to Pay $1.5M to Settle Charges of Misleading Pennsylvania Pension Fund
AON,2024-01-25,15:11:43,C5EF8D,Aon PLC,100,0.46,legal,,Aon to Pay $1.5 Million to Settle Charges,FULL-ARTICLE,Dow Jones Newswires,Aon to Pay $1.5 Million to Settle Charges of Misleading Pennsylvania Pension Fund
AON,2024-01-25,21:05:01,C5EF8D,Aon PLC,99,0.49,partnerships,,Aon and Porch Group will work together to,PRESS-RELEASE,Dow Jones Newswires,Press Release: Porch Group Receives $25M with Signing of Strategic Agreement with Aon
AON,2024-01-25,21:05:01,C5EF8D,Aon PLC,99,0.49,partnerships,,Aon and Porch Group will work together to,PRESS-RELEASE,Business Wire,Porch Group Receives $25M with Signing of Strategic Agreement with Aon
AON,2024-01-25,21:33:28,C5EF8D,Aon PLC,100,0.47,labor-issues,,Aon Appoints Jose Antonio Álvarez to Board of Directors,PRESS-RELEASE,PR Newswire,Aon Appoints Jose Antonio Álvarez to Board of Directors
AON,2024-01-25,22:01:30,C5EF8D,Aon PLC,100,0.47,labor-issues,,Aon Appoints Jose Antonio Álvarez to Board of Directors,PRESS-RELEASE,PR Newswire,Aon Appoints Jose Antonio Álvarez to Board of Directors
AON,2024-01-26,11:15:28,C5EF8D,Aon PLC,95,0.49,partnerships,,Aon and Porch Group will work together to,FULL-ARTICLE,Dow Jones Newswires,"Porch Group Shares Rise 12% After Collaboration With Aon, Aon Re"
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,100,0.61,earnings,positive,Aon PLC 4Q EPS $2.47,NEWS-FLASH,Dow Jones Newswires,Aon PLC 4Q EPS $2.47 >AON
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,100,0.0,earnings,,Aon Reports Fourth Quarter and Full Year 2023 Results,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 Results
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,100,0.0,earnings,,Aon Reports Fourth Quarter and Full Year 2023 Results,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 Results
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,100,0.49,revenues,up,Aon PLC: Total revenue in the fourth quarter increased 8% to $3.4 billion,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 Results
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,100,-0.21,revenues,down,Aon PLC: Operating margin decreased 920 basis points to 23.1%,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 Results
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,100,0.04,earnings,,Aon PLC: EPS increased 3% to $12.51,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 Results
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,100,0.59,equity-actions,,Aon PLC: Repurchased 2.3 million class A ordinary shares,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 Results
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,100,0.0,equity-actions,,Aon PLC: Total operating expenses in the fourth quarter,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 Results
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,100,0.65,revenues,up,Aon PLC: Reinsurance Solutions organic revenue growth,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 Results
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,100,0.0,revenues,,Aon PLC 4Q Rev $3.4B >AON,NEWS-FLASH,Dow Jones Newswires,Aon PLC 4Q Rev $3.4B >AON
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,100,0.61,earnings,positive,Aon PLC 4Q Adj EPS $3.89,NEWS-FLASH,Dow Jones Newswires,Aon PLC 4Q Adj EPS $3.89 >AON
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,99,0.65,revenues,up,Aon PLC: Health Solutions organic revenue growth,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 -2-
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,99,0.0,equity-actions,,Aon PLC: Accelerating Aon United Restructuring Program expenses were $129 million,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 -2-
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,99,-0.66,earnings,down,Aon PLC: Operating income decreased,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 -2-
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,99,0.0,revenues,,Aon PLC: Operating margin 23.1 %,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 -2-
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,99,0.48,earnings,up,Aon PLC: Interest income increased,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 -2-
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,99,0.41,revenues,up,Aon PLC: Total revenue in 2023 increased 7% to $13.4 billion,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 -2-
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,99,-0.67,earnings,down,"Net income attributable to Aon shareholders decreased to $2,564 million",PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 -2-
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,99,0.0,earnings,,Aon PLC: Net income per share,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 -2-
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,99,0.59,equity-actions,,Aon PLC: the Company repurchased approximately 8.4 million class A ordinary shares,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 -2-
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,99,0.0,investor-relations,,"Aon PLC: The Company will host a conference call on Friday, February 2, 2024 at 7:30 a.m.",PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 -2-
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,100,0.61,earnings,positive,Aon PLC 4Q Net $498M,NEWS-FLASH,Dow Jones Newswires,Aon PLC 4Q Net $498M >AON
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,99,0.0,earnings,,"Aon shareholders, adjusted diluted net income per share",PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 -3-
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,99,0.65,revenues,up,"Aon PLC: Revenue Total revenue $ 3,375 $ 3,130",PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 -3-
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,99,0.0,earnings,,Aon PLC: Operating income,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 -4-
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,99,0.0,earnings,,Aon PLC: Basic net income per share,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 -4-
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,99,0.0,earnings,,Aon PLC: Diluted net income per share,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 -4-
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,99,0.0,revenues,,"Aon PLC: Total revenue $ 3,375 $ 3,130",PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 -4-
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,99,0.0,revenues,,Aon PLC: Operating margin 23.1 %,PRESS-RELEASE,PR Newswire,Aon Reports Fourth Quarter and Full Year 2023 -4-
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,100,0.0,earnings,,Aon Reports Fourth Quarter and Full Year 2023 Results,PRESS-RELEASE,Dow Jones Newswires,Press Release: Aon Reports Fourth Quarter and Full Year 2023 Results
AON,2024-02-02,11:03:05,C5EF8D,Aon PLC,100,0.0,earnings,,Aon Reports Fourth Quarter and Full Year 2023 Results,PRESS-RELEASE,Dow Jones Newswires,Press Release: Aon Reports Fourth Quarter and Full Year 2023 Results
