ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
APA,2021-01-04,22:39:53,16B183,Apache Corp.,96,0.58,acquisitions-mergers,,Apa will acquire the Suriname and Dominican Republic subsidiaries from Apache,FULL-ARTICLE,Dow Jones Newswires,Apache Restructuring as Holding Company Called APA Corp. -- Market Talk
APA,2021-01-06,00:05:06,16B183,Apache Corp.,100,0.52,insider-trading,,"Vp Pursell Acquires 7,561 Of Apache Corp >APA",FULL-ARTICLE,Dow Jones Newswires,"VP Pursell Acquires 7,561 Of Apache Corp >APA"
APA,2021-01-06,00:06:35,16B183,Apache Corp.,100,0.52,insider-trading,,"Cfo Riney Acquires 18,606 Of Apache Corp >APA",FULL-ARTICLE,Dow Jones Newswires,"CFO Riney Acquires 18,606 Of Apache Corp >APA"
APA,2021-01-06,00:10:29,16B183,Apache Corp.,100,0.52,insider-trading,,"Vp Lannie Acquires 12,062 Of Apache Corp >APA",FULL-ARTICLE,Dow Jones Newswires,"VP Lannie Acquires 12,062 Of Apache Corp >APA"
APA,2021-01-06,00:12:19,16B183,Apache Corp.,100,0.52,insider-trading,,"Vp Hoyt Acquires 6,604 Of Apache Corp >APA",FULL-ARTICLE,Dow Jones Newswires,"VP Hoyt Acquires 6,604 Of Apache Corp >APA"
APA,2021-01-06,00:14:09,16B183,Apache Corp.,100,0.52,insider-trading,,"Ceo Christmann Acquires 48,455 Of Apache Corp >APA",FULL-ARTICLE,Dow Jones Newswires,"CEO Christmann Acquires 48,455 Of Apache Corp >APA"
APA,2021-01-14,11:00:04,16B183,Apache Corp.,100,0.94,analyst-ratings,positive,Apache upgraded to buy from hold,NEWS-FLASH,MarketWatch,MW Apache upgraded to buy from hold at Truist
APA,2021-01-14,11:00:15,16B183,Apache Corp.,100,0.84,price-targets,upgrade,Apache stock price target raised to $22 from $15,NEWS-FLASH,MarketWatch,MW Apache stock price target raised to $22 from $15 at Truist
APA,2021-01-14,12:00:02,16B183,Apache Corp.,99,0.0,earnings,,Apache's Annual Report on Form 10-K for the fiscal year ended Dec.,PRESS-RELEASE,GlobeNewswire,Apache Corporation Announces Fourth Consecutive Oil Discovery in Block 58 Offshore Suriname at Keskesi East-1 Well
APA,2021-01-14,12:00:03,16B183,Apache Corp.,99,0.0,earnings,,Apache's Annual Report on Form 10-K for the fiscal year ended Dec.,PRESS-RELEASE,Dow Jones Newswires,Press Release: Apache Corporation Announces Fourth Consecutive Oil Discovery in Block 58 Offshore Suriname at Keskesi East-1 Well
APA,2021-01-14,12:28:59,16B183,Apache Corp.,100,0.94,analyst-ratings,positive,Apache Corp Raised to Buy From Hold by Truist Securities,NEWS-FLASH,Dow Jones Newswires,Apache Corp Raised to Buy From Hold by Truist Securities
APA,2021-01-14,15:54:00,16B183,Apache Corp.,100,0.94,analyst-ratings,positive,Apache Corp Raised to Overweight From Equal-Weight by Barclays,NEWS-FLASH,Dow Jones Newswires,Apache Corp Raised to Overweight From Equal-Weight by Barclays
APA,2021-01-19,21:03:11,16B183,Apache Corp.,100,0.52,insider-trading,,"Vp Bretches Acquires 7,613 Of Apache Corp >APA",FULL-ARTICLE,Dow Jones Newswires,"VP Bretches Acquires 7,613 Of Apache Corp >APA"
APA,2021-01-19,21:04:28,16B183,Apache Corp.,100,0.52,insider-trading,,"Ceo Christmann Acquires 20,407 Of Apache Corp >APA",FULL-ARTICLE,Dow Jones Newswires,"CEO Christmann Acquires 20,407 Of Apache Corp >APA"
APA,2021-01-19,21:05:23,16B183,Apache Corp.,100,0.52,insider-trading,,"Vp Hoyt Acquires 3,450 Of Apache Corp >APA",FULL-ARTICLE,Dow Jones Newswires,"VP Hoyt Acquires 3,450 Of Apache Corp >APA"
APA,2021-01-19,21:05:52,16B183,Apache Corp.,100,0.52,insider-trading,,"Vp Lannie Acquires 5,200 Of Apache Corp >APA",FULL-ARTICLE,Dow Jones Newswires,"VP Lannie Acquires 5,200 Of Apache Corp >APA"
