ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
AZO,2021-06-11,09:23:51,A68E88,Calima Energy Ltd.,92,0.46,products-services,increase,Calima Energy Ltd's (ASX:CE1) increased production for May,PRESS-RELEASE,GlobeNewswire,"Proactive news headlines including Aeris Resources, Calima Energy, Archer Materials and Tietto Minerals"
AZO,2021-12-02,10:07:57,A68E88,Calima Energy Ltd.,93,0.51,exploration,,Calima Energy Ltd (ASX:CE1) has started a two-well horizontal Glauconitic (GLCC) drilling,PRESS-RELEASE,GlobeNewswire,"Proactive news headlines including Amplia Therapeutics, Calima Energy, Red River Resources and European Lithium"
AZO,2021-06-11,09:23:51,A68E88,Calima Energy Ltd.,92,0.46,products-services,increase,Calima Energy Ltd's (ASX:CE1) increased production for May,PRESS-RELEASE,GlobeNewswire,"Proactive news headlines including Aeris Resources, Calima Energy, Archer Materials and Tietto Minerals"
AZO,2021-12-02,10:07:57,A68E88,Calima Energy Ltd.,93,0.51,exploration,,Calima Energy Ltd (ASX:CE1) has started a two-well horizontal Glauconitic (GLCC) drilling,PRESS-RELEASE,GlobeNewswire,"Proactive news headlines including Amplia Therapeutics, Calima Energy, Red River Resources and European Lithium"
AZO,2021-06-11,09:23:51,A68E88,Calima Energy Ltd.,92,0.46,products-services,increase,Calima Energy Ltd's (ASX:CE1) increased production for May,PRESS-RELEASE,GlobeNewswire,"Proactive news headlines including Aeris Resources, Calima Energy, Archer Materials and Tietto Minerals"
AZO,2021-12-02,10:07:57,A68E88,Calima Energy Ltd.,93,0.51,exploration,,Calima Energy Ltd (ASX:CE1) has started a two-well horizontal Glauconitic (GLCC) drilling,PRESS-RELEASE,GlobeNewswire,"Proactive news headlines including Amplia Therapeutics, Calima Energy, Red River Resources and European Lithium"
AZO,2021-06-11,09:23:51,A68E88,Calima Energy Ltd.,92,0.46,products-services,increase,Calima Energy Ltd's (ASX:CE1) increased production for May,PRESS-RELEASE,GlobeNewswire,"Proactive news headlines including Aeris Resources, Calima Energy, Archer Materials and Tietto Minerals"
AZO,2021-12-02,10:07:57,A68E88,Calima Energy Ltd.,93,0.51,exploration,,Calima Energy Ltd (ASX:CE1) has started a two-well horizontal Glauconitic (GLCC) drilling,PRESS-RELEASE,GlobeNewswire,"Proactive news headlines including Amplia Therapeutics, Calima Energy, Red River Resources and European Lithium"
AZO,2021-01-04,21:46:02,ECF709,AutoZone Inc.,100,0.0,insider-trading,,Chmn Rhodes III Gifts 375 Of AutoZone Inc >AZO,TABULAR-MATERIAL,Dow Jones Newswires,Chmn Rhodes III Gifts 375 Of AutoZone Inc >AZO
AZO,2021-01-06,21:05:52,ECF709,AutoZone Inc.,100,-0.48,insider-trading,,Vp Hurtado Registers 125 Of AutoZone Inc >AZO,RNS-SEC144,Dow Jones Newswires,VP Hurtado Registers 125 Of AutoZone Inc >AZO
AZO,2021-01-07,21:22:42,ECF709,AutoZone Inc.,100,-0.49,insider-trading,,Vp Hurtado Sells 125 Of AutoZone Inc,TABULAR-MATERIAL,Dow Jones Newswires,VP Hurtado Sells 125 Of AutoZone Inc >AZO
AZO,2021-01-07,21:23:21,ECF709,AutoZone Inc.,100,-0.49,insider-trading,,"Vp Finestone Sells 8,700 Of AutoZone Inc",TABULAR-MATERIAL,Dow Jones Newswires,"VP Finestone Sells 8,700 Of AutoZone Inc >AZO"
AZO,2021-01-11,21:05:27,ECF709,AutoZone Inc.,100,-0.49,insider-trading,,"Vp Major Sells 2,130 Of AutoZone Inc",TABULAR-MATERIAL,Dow Jones Newswires,"VP Major Sells 2,130 Of AutoZone Inc >AZO"
AZO,2021-01-11,21:05:37,ECF709,AutoZone Inc.,100,-0.49,insider-trading,,Vp Smith Sells 700 Of AutoZone Inc,TABULAR-MATERIAL,Dow Jones Newswires,VP Smith Sells 700 Of AutoZone Inc >AZO
AZO,2021-01-11,21:42:12,ECF709,AutoZone Inc.,100,-0.48,insider-trading,,"Vp Major Registers 2,130 Of AutoZone Inc >AZO",RNS-SEC144,Dow Jones Newswires,"VP Major Registers 2,130 Of AutoZone Inc >AZO"
AZO,2021-01-11,22:14:33,ECF709,AutoZone Inc.,100,-0.48,insider-trading,,Vp Smith Registers 700 Of AutoZone Inc >AZO,RNS-SEC144,Dow Jones Newswires,VP Smith Registers 700 Of AutoZone Inc >AZO
AZO,2021-01-21,08:15:47,ECF709,AutoZone Inc.,100,0.0,investor-relations,,"Autozone Inc, Inst Holders, 4Q 2020 (AZO)",RNS-SEC13F,Dow Jones Newswires,"AutoZone Inc, Inst Holders, 4Q 2020 (AZO)"
AZO,2021-01-22,21:36:27,ECF709,AutoZone Inc.,100,-0.49,insider-trading,,Vp Griffin Sells 674 Of AutoZone Inc,TABULAR-MATERIAL,Dow Jones Newswires,VP Griffin Sells 674 Of AutoZone Inc >AZO
AZO,2021-01-22,23:35:48,ECF709,AutoZone Inc.,100,-0.48,insider-trading,,"Vp Griffin Registers 15,600 Of AutoZone Inc >AZO",RNS-SEC144,Dow Jones Newswires,"VP Griffin Registers 15,600 Of AutoZone Inc >AZO"
AZO,2021-02-08,21:30:01,ECF709,AutoZone Inc.,100,0.53,labor-issues,,Autozone Announces Change to Executive,PRESS-RELEASE,GlobeNewswire,AutoZone Announces Change to Executive Committee
AZO,2021-02-08,21:30:01,ECF709,AutoZone Inc.,100,0.53,labor-issues,,Autozone Announces Change to Executive,PRESS-RELEASE,Dow Jones Newswires,Press Release: AutoZone Announces Change to Executive Committee
AZO,2021-02-15,22:10:21,ECF709,AutoZone Inc.,100,0.0,earnings,,"Autozone to Release Second Quarter Earnings March 2, 2021",PRESS-RELEASE,GlobeNewswire,"AutoZone to Release Second Quarter Earnings March 2, 2021"
AZO,2021-02-15,22:10:21,ECF709,AutoZone Inc.,100,0.0,investor-relations,,AutoZone Inc.: the Company will host a one-hour conference call on Tuesday,PRESS-RELEASE,GlobeNewswire,"AutoZone to Release Second Quarter Earnings March 2, 2021"
AZO,2021-02-16,10:40:39,ECF709,AutoZone Inc.,100,0.0,earnings,,"Autozone to Release Second Quarter Earnings March 2, 2021",PRESS-RELEASE,Dow Jones Newswires,"Press Release: AutoZone to Release Second Quarter Earnings March 2, 2021"
AZO,2021-02-16,10:40:39,ECF709,AutoZone Inc.,100,0.0,investor-relations,,AutoZone Inc.: the Company will host a one-hour conference call on Tuesday,PRESS-RELEASE,Dow Jones Newswires,"Press Release: AutoZone to Release Second Quarter Earnings March 2, 2021"
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.38,revenues,up,Autozone 2nd Quarter Same Store Sales Increase 15.2%,PRESS-RELEASE,GlobeNewswire,AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.0,earnings,,AutoZone Inc.: EPS Increases to $14.93,PRESS-RELEASE,GlobeNewswire,AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.0,revenues,,"Autozone, Inc. (NYSE: AZO) today reported net sales of $2.9 billion for its second quarter",PRESS-RELEASE,GlobeNewswire,AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.0,equity-actions,,AutoZone Inc.: Operating expenses,PRESS-RELEASE,GlobeNewswire,AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.38,earnings,up,AutoZone Inc.: Operating profit increased 18.1% to $481.8 million,PRESS-RELEASE,GlobeNewswire,AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.4,earnings,up,AutoZone Inc.: Net income for the quarter increased 15.6%,PRESS-RELEASE,GlobeNewswire,AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.59,equity-actions,,"Autozone repurchased 752,004 shares of its common stock",PRESS-RELEASE,GlobeNewswire,AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.41,assets,open,"During the quarter ended February 13, 2021, AutoZone opened 27 new stores in the U.S.",PRESS-RELEASE,GlobeNewswire,AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.0,investor-relations,,"Autozone will host a conference call this morning, Tuesday, March 2, 2021, beginning at 10:00 a.m. (EST)",PRESS-RELEASE,GlobeNewswire,AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.61,earnings,positive,"AutoZone Inc.: Gross profit 1,559,383",PRESS-RELEASE,GlobeNewswire,AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.6,earnings,positive,AutoZone Inc.: Operating profit,PRESS-RELEASE,GlobeNewswire,AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.62,revenues,up,Autozone 2nd Quarter Same Store Sales Increase,PRESS-RELEASE,GlobeNewswire,AutoZone 2nd Quarter Same Store Sales Increase -2-
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.61,earnings,positive,"AutoZone Inc.: Net income $ 345,946 $ 299,282",PRESS-RELEASE,GlobeNewswire,AutoZone 2nd Quarter Same Store Sales Increase -2-
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.61,earnings,positive,AutoZone Inc.: Net income per share: Basic $ 15.27 $ 12.70,PRESS-RELEASE,GlobeNewswire,AutoZone 2nd Quarter Same Store Sales Increase -2-
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.0,revenues,,"AutoZone Inc.: Net sales $ 6,065,078 $ 5,306,700",PRESS-RELEASE,GlobeNewswire,AutoZone 2nd Quarter Same Store Sales Increase -2-
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.6,earnings,positive,AutoZone Inc.: Operating profit,PRESS-RELEASE,GlobeNewswire,AutoZone 2nd Quarter Same Store Sales Increase -2-
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.0,equity-actions,,"AutoZone Inc.: Rent expense for the trailing four quarters ended February 13, 2021 $",PRESS-RELEASE,GlobeNewswire,AutoZone 2nd Quarter Same Store Sales Increase -2-
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.59,equity-actions,,AutoZone Inc.: Cumulative share repurchases,PRESS-RELEASE,GlobeNewswire,AutoZone 2nd Quarter Same Store Sales Increase -2-
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.62,revenues,up,Autozone 2nd Quarter Same Store Sales Increase,PRESS-RELEASE,GlobeNewswire,AutoZone 2nd Quarter Same Store Sales Increase -3-
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.38,revenues,up,Autozone 2Q Same-Store Sales Up 15.2% >AZO,NEWS-FLASH,Dow Jones Newswires,AutoZone 2Q Same-Store Sales Up 15.2% >AZO
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.61,earnings,positive,2Q EPS $14.93 >AZO,NEWS-FLASH,Dow Jones Newswires,AutoZone 2Q EPS $14.93 >AZO
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.61,earnings,positive,Autozone 2Q Net $345.9M,NEWS-FLASH,Dow Jones Newswires,AutoZone 2Q Net $345.9M >AZO
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.0,revenues,,Autozone 2Q Sales $2.91B >AZO,NEWS-FLASH,Dow Jones Newswires,AutoZone 2Q Sales $2.91B >AZO
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.38,revenues,up,Autozone 2nd Quarter Same Store Sales Increase 15.2%,PRESS-RELEASE,Dow Jones Newswires,Press Release: AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.0,earnings,,AutoZone Inc.: EPS Increases to $14.93,PRESS-RELEASE,Dow Jones Newswires,Press Release: AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.0,revenues,,"Autozone, Inc. (NYSE: AZO) today reported net sales of $2.9 billion for its second quarter",PRESS-RELEASE,Dow Jones Newswires,Press Release: AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.0,equity-actions,,AutoZone Inc.: Operating expenses,PRESS-RELEASE,Dow Jones Newswires,Press Release: AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.38,earnings,up,AutoZone Inc.: Operating profit increased 18.1% to $481.8 million,PRESS-RELEASE,Dow Jones Newswires,Press Release: AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.4,earnings,up,AutoZone Inc.: Net income for the quarter increased 15.6%,PRESS-RELEASE,Dow Jones Newswires,Press Release: AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.59,equity-actions,,"Autozone repurchased 752,004 shares of its common stock",PRESS-RELEASE,Dow Jones Newswires,Press Release: AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.41,assets,open,"During the quarter ended February 13, 2021, AutoZone opened 27 new stores in the U.S.",PRESS-RELEASE,Dow Jones Newswires,Press Release: AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.0,investor-relations,,"Autozone will host a conference call this morning, Tuesday, March 2, 2021, beginning at 10:00 a.m. (EST)",PRESS-RELEASE,Dow Jones Newswires,Press Release: AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.61,earnings,positive,"AutoZone Inc.: Gross profit 1,559,383",PRESS-RELEASE,Dow Jones Newswires,Press Release: AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,100,0.6,earnings,positive,AutoZone Inc.: Operating profit,PRESS-RELEASE,Dow Jones Newswires,Press Release: AutoZone 2nd Quarter Same Store Sales Increase 15.2%; EPS Increases to $14.93
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,92,0.61,earnings,positive,"AutoZone Inc.: Net income $ 345,946 $ 299,282",PRESS-RELEASE,Dow Jones Newswires,Press Release: AutoZone 2nd Quarter Same Store -2-
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,92,0.61,earnings,positive,AutoZone Inc.: Net income per share: Basic $ 15.27 $ 12.70,PRESS-RELEASE,Dow Jones Newswires,Press Release: AutoZone 2nd Quarter Same Store -2-
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,92,0.0,revenues,,"AutoZone Inc.: Net sales $ 6,065,078 $ 5,306,700",PRESS-RELEASE,Dow Jones Newswires,Press Release: AutoZone 2nd Quarter Same Store -2-
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,92,0.6,earnings,positive,AutoZone Inc.: Operating profit,PRESS-RELEASE,Dow Jones Newswires,Press Release: AutoZone 2nd Quarter Same Store -2-
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,92,0.0,equity-actions,,"AutoZone Inc.: Rent expense for the trailing four quarters ended February 13, 2021 $",PRESS-RELEASE,Dow Jones Newswires,Press Release: AutoZone 2nd Quarter Same Store -2-
AZO,2021-03-02,11:55:01,ECF709,AutoZone Inc.,92,0.59,equity-actions,,AutoZone Inc.: Cumulative share repurchases,PRESS-RELEASE,Dow Jones Newswires,Press Release: AutoZone 2nd Quarter Same Store -2-
AZO,2021-03-02,11:56:29,ECF709,AutoZone Inc.,100,0.59,equity-actions,,"Autozone Bought Back 752,004 Shares for $900 Million During 2Q",NEWS-FLASH,Dow Jones Newswires,"AutoZone Bought Back 752,004 Shares for $900 Million During 2Q >AZO"
AZO,2021-03-02,11:57:48,ECF709,AutoZone Inc.,100,0.41,assets,open,Autozone Opened 27 New Stores in U.S.,NEWS-FLASH,Dow Jones Newswires,"AutoZone Opened 27 New Stores in U.S., Seven in Mexico, One in Brazil in 2Q >AZO"
