ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
BAX,2021-01-05,21:15:14,1FAF22,Baxter International Inc.,100,0.0,investor-relations,,Baxter to Host Fourth-Quarter 2020 Financial Results Conference Call,PRESS-RELEASE,Business Wire,Baxter to Host Fourth-Quarter 2020 Financial Results Conference Call for Investors
BAX,2021-01-05,21:17:33,1FAF22,Baxter International Inc.,100,0.0,investor-relations,,Baxter to Host Fourth-Quarter 2020 Financial Results Conference Call,PRESS-RELEASE,Dow Jones Newswires,Press Release: Baxter to Host Fourth-Quarter 2020 Financial Results Conference Call for Investors
BAX,2021-01-11,13:30:25,1FAF22,Baxter International Inc.,99,0.0,products-services,,Baxter's manufacturing services for,PRESS-RELEASE,Business Wire,Baxter Biopharma Solutions Announces Sterile Manufacturing Agreement for Novavax COVID-19 Vaccine
BAX,2021-01-11,13:30:26,1FAF22,Baxter International Inc.,99,0.0,products-services,,Baxter's manufacturing services for,PRESS-RELEASE,Dow Jones Newswires,Press Release: Baxter Biopharma Solutions Announces Sterile Manufacturing Agreement for Novavax COVID-19 Vaccine
BAX,2021-01-11,13:32:09,1FAF22,Baxter International Inc.,100,0.51,products-services,,Baxter to Provide Manufacturing Services for Novavax,NEWS-FLASH,Dow Jones Newswires,Baxter to Provide Manufacturing Services for Novavax NVX-CoV2373 Covid-19 Vaccine Candidate
BAX,2021-01-21,09:03:07,1FAF22,Baxter International Inc.,100,0.0,investor-relations,,"Baxter International Inc, Inst Holders, 4Q 2020 (BAX)",RNS-SEC13F,Dow Jones Newswires,"Baxter International Inc, Inst Holders, 4Q 2020 (BAX)"
BAX,2021-01-21,21:15:02,1FAF22,Baxter International Inc.,100,0.0,marketing,,Baxter to Present at SVB Leerink 10(th) Annual Global Healthcare Conference,PRESS-RELEASE,Business Wire,Baxter to Present at SVB Leerink 10(th) Annual Global Healthcare Conference
BAX,2021-01-29,11:20:09,1FAF22,Baxter International Inc.,100,-0.58,analyst-ratings,negative,Baxter International Cut to Neutral From Overweight by Piper Sandler,NEWS-FLASH,Dow Jones Newswires,Baxter International Cut to Neutral From Overweight by Piper Sandler
BAX,2021-01-29,11:20:09,1FAF22,Baxter International Inc.,100,-0.82,price-targets,downgrade,Baxter International Price Target Cut to $80.00/Share From $100.00 by Piper Sandler,NEWS-FLASH,Dow Jones Newswires,Baxter International Price Target Cut to $80.00/Share From $100.00 by Piper Sandler
BAX,2021-02-04,12:15:00,1FAF22,Baxter International Inc.,100,0.0,earnings,,Baxter International Sees FY Adj EPS $3.35,NEWS-FLASH,Dow Jones Newswires,Baxter International Sees FY Adj EPS $3.35-Adj EPS $3.43 >BAX
BAX,2021-02-04,12:15:01,1FAF22,Baxter International Inc.,100,0.61,earnings,positive,Baxter International 4Q EPS 33c,NEWS-FLASH,Dow Jones Newswires,Baxter International 4Q EPS 33c >BAX
BAX,2021-02-04,12:15:01,1FAF22,Baxter International Inc.,100,0.0,earnings,,Baxter International Sees 1Q Adj EPS 63c,NEWS-FLASH,Dow Jones Newswires,Baxter International Sees 1Q Adj EPS 63c-Adj EPS 65c >BAX
BAX,2021-02-04,12:15:01,1FAF22,Baxter International Inc.,100,0.61,earnings,positive,Baxter International 4Q Adj EPS 80c,NEWS-FLASH,Dow Jones Newswires,Baxter International 4Q Adj EPS 80c >BAX
BAX,2021-02-04,12:15:01,1FAF22,Baxter International Inc.,100,0.0,revenues,,Baxter International 4Q Sales $3.18B >BAX,NEWS-FLASH,Dow Jones Newswires,Baxter International 4Q Sales $3.18B >BAX
BAX,2021-02-04,12:15:01,1FAF22,Baxter International Inc.,100,0.61,earnings,positive,Baxter International 4Q Net $168M,NEWS-FLASH,Dow Jones Newswires,Baxter International 4Q Net $168M >BAX
BAX,2021-02-04,12:15:01,1FAF22,Baxter International Inc.,100,0.61,earnings,positive,"Baxter International Inc.: For the fourth quarter, net income attributable to Baxter was $168 million",PRESS-RELEASE,Business Wire,Baxter Reports Fourth-Quarter and Full-Year 2020 Results
BAX,2021-02-04,12:15:01,1FAF22,Baxter International Inc.,100,0.0,earnings,,Baxter Reports Fourth-Quarter and Full-Year 2020 Results,PRESS-RELEASE,Business Wire,Baxter Reports Fourth-Quarter and Full-Year 2020 Results
BAX,2021-02-04,12:15:01,1FAF22,Baxter International Inc.,100,0.41,revenues,up,Baxter International Inc.: Fourth-quarter sales of $3.2 billion increased 5%,PRESS-RELEASE,Business Wire,Baxter Reports Fourth-Quarter and Full-Year 2020 Results
BAX,2021-02-04,12:15:01,1FAF22,Baxter International Inc.,100,0.41,revenues,up,Baxter International Inc.: Full-year revenue of $11.7 billion increased 3%,PRESS-RELEASE,Business Wire,Baxter Reports Fourth-Quarter and Full-Year 2020 Results
BAX,2021-02-04,12:15:01,1FAF22,Baxter International Inc.,100,0.59,equity-actions,,Baxter International Inc.: the company repurchased $500 million worth of common stock,PRESS-RELEASE,Business Wire,Baxter Reports Fourth-Quarter and Full-Year 2020 Results
BAX,2021-02-04,12:15:01,1FAF22,Baxter International Inc.,100,0.5,acquisitions-mergers,completed,Baxter International Inc.: Acquired toSense,PRESS-RELEASE,Business Wire,Baxter Reports Fourth-Quarter and Full-Year 2020 Results
