ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
BLDR,2024-01-04,14:18:11,B2256A,Builders FirstSource Inc.,100,-0.58,analyst-ratings,negative,Builders FirstSource downgraded to hold from buy at Truist,FULL-ARTICLE,MarketWatch,MW Builders FirstSource downgraded to hold from buy at Truist
BLDR,2024-01-04,17:34:01,B2256A,Builders FirstSource Inc.,100,-0.58,analyst-ratings,negative,Builders FirstSource Cut to Hold From Buy by Truist Securities,NEWS-FLASH,Dow Jones Newswires,Builders FirstSource Cut to Hold From Buy by Truist Securities
BLDR,2024-01-18,12:00:00,B2256A,Builders FirstSource Inc.,100,0.0,investor-relations,,Builders FirstSource to Host Fourth Quarter and Full Year 2023 Financial Results Conference Call and Webcast,PRESS-RELEASE,Business Wire,Builders FirstSource to Host Fourth Quarter and Full Year 2023 Financial Results Conference Call and Webcast
BLDR,2024-01-18,12:00:00,B2256A,Builders FirstSource Inc.,100,0.0,investor-relations,,Builders FirstSource to Host Fourth Quarter and Full Year 2023 Financial Results Conference Call and Webcast,PRESS-RELEASE,Business Wire,Builders FirstSource to Host Fourth Quarter and Full Year 2023 Financial Results Conference Call and Webcast
BLDR,2024-01-18,12:02:00,B2256A,Builders FirstSource Inc.,100,0.0,investor-relations,,Builders FirstSource to Host Fourth Quarter and Full Year 2023 Financial Results Conference Call and Webcast,PRESS-RELEASE,Dow Jones Newswires,Press Release: Builders FirstSource to Host Fourth Quarter and Full Year 2023 Financial Results Conference Call and Webcast
BLDR,2024-01-18,12:02:00,B2256A,Builders FirstSource Inc.,100,0.0,investor-relations,,Builders FirstSource to Host Fourth Quarter and Full Year 2023 Financial Results Conference Call and Webcast,PRESS-RELEASE,Dow Jones Newswires,Press Release: Builders FirstSource to Host Fourth Quarter and Full Year 2023 Financial Results Conference Call and Webcast
BLDR,2024-01-19,10:29:08,B2256A,Builders FirstSource Inc.,100,0.95,analyst-ratings,positive,Builders FirstSource Initiated at Outperform by Oppenheimer,NEWS-FLASH,Dow Jones Newswires,Builders FirstSource Initiated at Outperform by Oppenheimer
BLDR,2024-01-19,10:29:08,B2256A,Builders FirstSource Inc.,100,0.0,price-targets,set,Builders FirstSource Price Target Announced at $220.00/Share by Oppenheimer,NEWS-FLASH,Dow Jones Newswires,Builders FirstSource Price Target Announced at $220.00/Share by Oppenheimer
BLDR,2024-01-29,12:14:21,B2256A,Builders FirstSource Inc.,100,0.94,analyst-ratings,positive,Builders FirstSource Raised to Buy From Neutral by B of A Securities,NEWS-FLASH,Dow Jones Newswires,Builders FirstSource Raised to Buy From Neutral by B of A Securities
BLDR,2024-02-12,13:37:56,B2256A,Builders FirstSource Inc.,100,0.34,analyst-ratings,neutral,Builders FirstSource Is Maintained at Outperform by Wedbush,NEWS-FLASH,Dow Jones Newswires,Builders FirstSource Is Maintained at Outperform by Wedbush
