ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
CDNS,2024-01-02,21:06:40,CC6FF5,Cadence Design Systems Inc.,100,-0.48,insider-trading,,"Vp Cunningham Registers 1,000 Of Cadence Design Sys Inc >CDNS",RNS-SEC144,Dow Jones Newswires,"VP Cunningham Registers 1,000 Of Cadence Design Sys Inc >CDNS"
CDNS,2024-01-02,21:46:42,CC6FF5,Cadence Design Systems Inc.,100,-0.48,insider-trading,,Vp Nisewaner Registers 600 Of Cadence Design Sys Inc >CDNS,RNS-SEC144,Dow Jones Newswires,VP Nisewaner Registers 600 Of Cadence Design Sys Inc >CDNS
CDNS,2024-01-02,22:00:33,CC6FF5,Cadence Design Systems Inc.,100,-0.48,insider-trading,,"Vp Zaman Registers 6,708 Of Cadence Design Sys Inc >CDNS",RNS-SEC144,Dow Jones Newswires,"VP Zaman Registers 6,708 Of Cadence Design Sys Inc >CDNS"
CDNS,2024-01-02,22:45:38,CC6FF5,Cadence Design Systems Inc.,100,-0.48,insider-trading,,"Ceo Devgan Registers 99,886 Of Cadence Design Sys Inc >CDNS",RNS-SEC144,Dow Jones Newswires,"CEO Devgan Registers 99,886 Of Cadence Design Sys Inc >CDNS"
CDNS,2024-01-04,21:09:19,CC6FF5,Cadence Design Systems Inc.,100,-0.49,insider-trading,,"Vp Zaman Sells 6,708 Of Cadence Design Sys Inc",TABULAR-MATERIAL,Dow Jones Newswires,"VP Zaman Sells 6,708 Of Cadence Design Sys Inc >CDNS"
CDNS,2024-01-04,21:10:18,CC6FF5,Cadence Design Systems Inc.,100,-0.49,insider-trading,,Vp Nisewaner Sells 600 Of Cadence Design Sys Inc,TABULAR-MATERIAL,Dow Jones Newswires,VP Nisewaner Sells 600 Of Cadence Design Sys Inc >CDNS
CDNS,2024-01-04,21:11:08,CC6FF5,Cadence Design Systems Inc.,100,-0.49,insider-trading,,"Ceo Devgan Sells 99,886 Of Cadence Design Sys Inc",TABULAR-MATERIAL,Dow Jones Newswires,"CEO Devgan Sells 99,886 Of Cadence Design Sys Inc >CDNS"
CDNS,2024-01-04,21:13:20,CC6FF5,Cadence Design Systems Inc.,100,-0.49,insider-trading,,"Vp Cunningham Sells 1,000 Of Cadence Design Sys Inc",TABULAR-MATERIAL,Dow Jones Newswires,"VP Cunningham Sells 1,000 Of Cadence Design Sys Inc >CDNS"
CDNS,2024-01-05,21:15:01,CC6FF5,Cadence Design Systems Inc.,100,0.0,earnings,,Cadence Announces Fourth Quarter and Fiscal Year 2023 Financial Results,PRESS-RELEASE,Business Wire,Cadence Announces Fourth Quarter and Fiscal Year 2023 Financial Results Webcast
CDNS,2024-01-05,21:15:01,CC6FF5,Cadence Design Systems Inc.,100,0.0,earnings,,Cadence Announces Fourth Quarter and Fiscal Year 2023 Financial Results,PRESS-RELEASE,Business Wire,Cadence Announces Fourth Quarter and Fiscal Year 2023 Financial Results Webcast
CDNS,2024-01-05,21:15:01,CC6FF5,Cadence Design Systems Inc.,100,0.0,investor-relations,,"Cadence Design Systems, Inc. (Nasdaq: CDNS) will hold its fourth quarter and fiscal year 2023 financial results webcast on Monday, February 12, 2024",PRESS-RELEASE,Business Wire,Cadence Announces Fourth Quarter and Fiscal Year 2023 Financial Results Webcast
CDNS,2024-01-05,21:15:01,CC6FF5,Cadence Design Systems Inc.,100,0.0,investor-relations,,"Cadence Design Systems, Inc. (Nasdaq: CDNS) will hold its fourth quarter and fiscal year 2023 financial results webcast on Monday, February 12, 2024",PRESS-RELEASE,Business Wire,Cadence Announces Fourth Quarter and Fiscal Year 2023 Financial Results Webcast
CDNS,2024-01-05,22:34:51,CC6FF5,Cadence Design Systems Inc.,100,0.0,earnings,,Cadence Announces Fourth Quarter and Fiscal Year 2023 Financial Results,PRESS-RELEASE,Dow Jones Newswires,Press Release: Cadence Announces Fourth Quarter and Fiscal Year 2023 Financial Results Webcast
CDNS,2024-01-05,22:34:51,CC6FF5,Cadence Design Systems Inc.,100,0.0,earnings,,Cadence Announces Fourth Quarter and Fiscal Year 2023 Financial Results,PRESS-RELEASE,Dow Jones Newswires,Press Release: Cadence Announces Fourth Quarter and Fiscal Year 2023 Financial Results Webcast
CDNS,2024-01-05,22:34:51,CC6FF5,Cadence Design Systems Inc.,100,0.0,investor-relations,,"Cadence Design Systems, Inc. (Nasdaq: CDNS) will hold its fourth quarter and fiscal year 2023 financial results webcast on Monday, February 12, 2024",PRESS-RELEASE,Dow Jones Newswires,Press Release: Cadence Announces Fourth Quarter and Fiscal Year 2023 Financial Results Webcast
CDNS,2024-01-05,22:34:51,CC6FF5,Cadence Design Systems Inc.,100,0.0,investor-relations,,"Cadence Design Systems, Inc. (Nasdaq: CDNS) will hold its fourth quarter and fiscal year 2023 financial results webcast on Monday, February 12, 2024",PRESS-RELEASE,Dow Jones Newswires,Press Release: Cadence Announces Fourth Quarter and Fiscal Year 2023 Financial Results Webcast
CDNS,2024-01-08,14:15:00,CC6FF5,Cadence Design Systems Inc.,100,0.62,acquisitions-mergers,,Cadence Acquires Invecas to Accelerate,PRESS-RELEASE,Business Wire,Cadence Acquires Invecas to Accelerate System Realization
