ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
CDW,2024-01-24,12:00:01,87B81A,CDW Corp.,100,0.0,earnings,,Cdw to Announce Fourth Quarter and Full Year 2023 Results on February 7,PRESS-RELEASE,Business Wire,CDW to Announce Fourth Quarter and Full Year 2023 Results on February 7
CDW,2024-01-24,12:00:01,87B81A,CDW Corp.,100,0.0,earnings,,Cdw to Announce Fourth Quarter and Full Year 2023 Results on February 7,PRESS-RELEASE,Business Wire,CDW to Announce Fourth Quarter and Full Year 2023 Results on February 7
CDW,2024-01-24,12:00:59,87B81A,CDW Corp.,100,0.0,earnings,,Cdw to Announce Fourth Quarter and Full Year 2023 Results on February 7,PRESS-RELEASE,Dow Jones Newswires,Press Release: CDW to Announce Fourth Quarter and Full Year 2023 Results on February 7
CDW,2024-01-24,12:00:59,87B81A,CDW Corp.,100,0.0,earnings,,Cdw to Announce Fourth Quarter and Full Year 2023 Results on February 7,PRESS-RELEASE,Dow Jones Newswires,Press Release: CDW to Announce Fourth Quarter and Full Year 2023 Results on February 7
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,100,0.61,earnings,positive,4Q EPS $2.18 >CDW,NEWS-FLASH,Dow Jones Newswires,CDW 4Q EPS $2.18 >CDW
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,100,0.61,earnings,positive,Cdw 4Q Adj EPS $2.57,NEWS-FLASH,Dow Jones Newswires,CDW 4Q Adj EPS $2.57 >CDW
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,100,0.61,earnings,positive,Cdw 4Q Net $296.1M,NEWS-FLASH,Dow Jones Newswires,CDW 4Q Net $296.1M >CDW
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,100,0.0,revenues,,Cdw 4Q Sales $5.02B >CDW,NEWS-FLASH,Dow Jones Newswires,CDW 4Q Sales $5.02B >CDW
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,100,0.0,earnings,,Cdw Reports Fourth Quarter and Full Year 2023 Earnings,PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 Earnings
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,100,0.0,revenues,,"CDW Corp.: Net Sales $5,018.5 $5,438.3",PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 Earnings
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,100,0.61,earnings,positive,CDW Corp.: Non-GAAP net income was $349 million,PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 Earnings
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,100,0.0,earnings,,CDW Corp.: Non-GAAP Operating Income,PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 Earnings
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,100,0.0,earnings,,CDW Corp.: Net Income per Diluted Share,PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 Earnings
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,100,0.0,earnings,,CDW Corp.: Non-GAAP Net Income per Diluted Share,PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 Earnings
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,100,-0.24,revenues,down,"CDW Corp.: Net sales in the fourth quarter of 2023 were $5,019 million, compared to $5,438 million in the fourth quarter of 2022",PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 Earnings
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,100,0.0,equity-actions,,CDW Corp.: Selling and administrative expenses were $719 million in the fourth quarter of 2023,PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 Earnings
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,100,-0.22,earnings,down,"CDW Corp.: Operating income was $435 million in the fourth quarter of 2023, compared to $447 million in the fourth quarter of 2022",PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 Earnings
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,100,0.4,earnings,up,"CDW Corp.: Net income was $296 million in the fourth quarter of 2023, compared to $287 million in the fourth quarter of 2022",PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 Earnings
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,100,0.4,earnings,up,"CDW Corp.: Net income per diluted share was $2.18 in the fourth quarter of 2023, compared to $2.09 in the fourth quarter of 2022",PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 Earnings
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,100,0.4,earnings,up,"CDW Corp.: Non-GAAP net income per diluted share was $2.57 in the fourth quarter of 2023, compared to $2.50 in the fourth quarter of 2022",PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 Earnings
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,100,-0.24,revenues,down,"CDW Corp.: Net sales in 2023 were $21,376 million, compared to $23,749 million in 2022",PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 Earnings
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,100,0.0,revenues,,CDW Corp.: Full year Net sales,PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 Earnings
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,99,0.61,earnings,positive,"CDW Corp.: Non-GAAP net income was $1,346 million",PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 -2-
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,99,-0.13,equity-actions,up,"CDW Corp.: Selling and administrative expenses were $2,972 million in 2023, compared to $2,951 million in 2022",PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 -2-
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,99,-0.22,earnings,down,"CDW Corp.: Operating income was $1,681 million in 2023, compared to $1,735 million in 2022",PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 -2-
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,99,0.0,earnings,,CDW Corp.: Non-GAAP operating income,PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 -2-
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,99,0.61,earnings,positive,CDW Corp.: Net income per diluted share was $8.10,PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 -2-
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,99,0.4,earnings,up,"CDW Corp.: Non-GAAP net income per diluted share was $9.88 in 2023, compared to $9.79 in 2022",PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 -2-
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,99,0.0,earnings,,CDW Corp.: Non-GAAP net income,PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 -2-
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,99,0.0,investor-relations,,"Cdw Corporation will hold a conference call today, February 7, 2024 at 7:30 a.m.",PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 -3-
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,99,0.61,earnings,positive,"CDW Corp.: Gross profit 1,153.8",PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 -3-
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,99,0.0,earnings,,CDW Corp.: Non-GAAP operating income,PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 -3-
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,99,0.61,earnings,positive,CDW Corp.: Net income per common share: Basic $ 2.20 $ 2.12,PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 -3-
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,97,-0.65,earnings,negative,CDW Corp.: Net loss on,PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 -4-
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,97,0.0,assets,,"CDW Corp.: Total assets $ 13,284.6 $ 13,131.5",PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 -4-
CDW,2024-02-07,12:00:02,87B81A,CDW Corp.,99,0.0,revenues,,"CDW Corp.: Total Net sales $ 5,018.5 $ 5,438.3",PRESS-RELEASE,Business Wire,CDW Reports Fourth Quarter and Full Year 2023 -5-
CDW,2024-02-07,12:01:10,87B81A,CDW Corp.,100,-0.24,revenues,down,Cdw 4Q Average Daily Sales Fell 7.7%,NEWS-FLASH,Dow Jones Newswires,CDW 4Q Average Daily Sales Fell 7.7% >CDW
CDW,2024-02-07,12:01:20,87B81A,CDW Corp.,100,0.0,earnings,,Cdw Reports Fourth Quarter and Full Year 2023 Earnings,PRESS-RELEASE,Dow Jones Newswires,Press Release: CDW Reports Fourth Quarter and Full Year 2023 Earnings
CDW,2024-02-07,12:01:20,87B81A,CDW Corp.,100,0.0,revenues,,"CDW Corp.: Net Sales $5,018.5 $5,438.3",PRESS-RELEASE,Dow Jones Newswires,Press Release: CDW Reports Fourth Quarter and Full Year 2023 Earnings
