ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
CEG,2024-11-05,22:05:00,0792EA,Cerro Grande Mining Corp.,100,-0.51,labor-issues,,Cerro Grande Mining Corporation Announces Board Resignation,PRESS-RELEASE,GlobeNewswire,Cerro Grande Mining Corporation Announces Board Resignation
CEG,2024-11-05,22:05:01,0792EA,Cerro Grande Mining Corp.,100,-0.51,labor-issues,,Cerro Grande Mining Corporation Announces Board Resignation,PRESS-RELEASE,Dow Jones Newswires,Press Release: Cerro Grande Mining Corporation Announces Board Resignation
CEG,2024-11-05,22:08:32,0792EA,Cerro Grande Mining Corp.,100,-0.51,labor-issues,,Cerro Grande Mining: Mario Hernandez Decided to Resign From the Bd of Directors,NEWS-FLASH,Dow Jones Newswires,Cerro Grande Mining: Mario Hernandez Decided to Resign From the Bd of Directors and in All Other Capacities With CEG >CEG.CN.L
CEG,2024-11-05,22:05:00,0792EA,Cerro Grande Mining Corp.,100,-0.51,labor-issues,,Cerro Grande Mining Corporation Announces Board Resignation,PRESS-RELEASE,GlobeNewswire,Cerro Grande Mining Corporation Announces Board Resignation
CEG,2024-11-05,22:05:01,0792EA,Cerro Grande Mining Corp.,100,-0.51,labor-issues,,Cerro Grande Mining Corporation Announces Board Resignation,PRESS-RELEASE,Dow Jones Newswires,Press Release: Cerro Grande Mining Corporation Announces Board Resignation
CEG,2024-11-05,22:08:32,0792EA,Cerro Grande Mining Corp.,100,-0.51,labor-issues,,Cerro Grande Mining: Mario Hernandez Decided to Resign From the Bd of Directors,NEWS-FLASH,Dow Jones Newswires,Cerro Grande Mining: Mario Hernandez Decided to Resign From the Bd of Directors and in All Other Capacities With CEG >CEG.CN.L
CEG,2024-11-05,22:05:00,0792EA,Cerro Grande Mining Corp.,100,-0.51,labor-issues,,Cerro Grande Mining Corporation Announces Board Resignation,PRESS-RELEASE,GlobeNewswire,Cerro Grande Mining Corporation Announces Board Resignation
CEG,2024-11-05,22:05:01,0792EA,Cerro Grande Mining Corp.,100,-0.51,labor-issues,,Cerro Grande Mining Corporation Announces Board Resignation,PRESS-RELEASE,Dow Jones Newswires,Press Release: Cerro Grande Mining Corporation Announces Board Resignation
CEG,2024-11-05,22:08:32,0792EA,Cerro Grande Mining Corp.,100,-0.51,labor-issues,,Cerro Grande Mining: Mario Hernandez Decided to Resign From the Bd of Directors,NEWS-FLASH,Dow Jones Newswires,Cerro Grande Mining: Mario Hernandez Decided to Resign From the Bd of Directors and in All Other Capacities With CEG >CEG.CN.L
CEG,2024-11-05,22:05:00,0792EA,Cerro Grande Mining Corp.,100,-0.51,labor-issues,,Cerro Grande Mining Corporation Announces Board Resignation,PRESS-RELEASE,GlobeNewswire,Cerro Grande Mining Corporation Announces Board Resignation
CEG,2024-11-05,22:05:01,0792EA,Cerro Grande Mining Corp.,100,-0.51,labor-issues,,Cerro Grande Mining Corporation Announces Board Resignation,PRESS-RELEASE,Dow Jones Newswires,Press Release: Cerro Grande Mining Corporation Announces Board Resignation
CEG,2024-11-05,22:08:32,0792EA,Cerro Grande Mining Corp.,100,-0.51,labor-issues,,Cerro Grande Mining: Mario Hernandez Decided to Resign From the Bd of Directors,NEWS-FLASH,Dow Jones Newswires,Cerro Grande Mining: Mario Hernandez Decided to Resign From the Bd of Directors and in All Other Capacities With CEG >CEG.CN.L
CEG,2023-02-21,22:01:00,0792EA,Cerro Grande Mining Corp.,99,-0.51,assets,close,Cerro Grande Mining Corp.: mine closure,PRESS-RELEASE,GlobeNewswire,Cerro Grande Mining Corporation: Tamidak Receives Necessary Permits for Tailings Pond Reprocessing to Start at Pimentón Project
CEG,2023-02-21,22:01:00,0792EA,Cerro Grande Mining Corp.,99,-0.51,assets,close,Cerro Grande Mining Corp.: mine closure,PRESS-RELEASE,GlobeNewswire,Cerro Grande Mining Corporation: Tamidak Receives Necessary Permits for Tailings Pond Reprocessing to Start at Pimentón Project
CEG,2023-02-21,22:01:00,0792EA,Cerro Grande Mining Corp.,99,-0.51,assets,close,Cerro Grande Mining Corp.: mine closure,PRESS-RELEASE,GlobeNewswire,Cerro Grande Mining Corporation: Tamidak Receives Necessary Permits for Tailings Pond Reprocessing to Start at Pimentón Project
CEG,2023-02-21,22:01:00,0792EA,Cerro Grande Mining Corp.,99,-0.51,assets,close,Cerro Grande Mining Corp.: mine closure,PRESS-RELEASE,GlobeNewswire,Cerro Grande Mining Corporation: Tamidak Receives Necessary Permits for Tailings Pond Reprocessing to Start at Pimentón Project
CEG,2021-02-02,13:51:26,0792EA,Cerro Grande Mining Corp.,100,-0.43,products-services,terminated,Cerro Grande Mining Corporation Announces Termination of FQM Agreement,PRESS-RELEASE,GlobeNewswire,Cerro Grande Mining Corporation Announces Termination of FQM Agreement
CEG,2021-02-02,13:51:27,0792EA,Cerro Grande Mining Corp.,100,-0.43,products-services,terminated,Cerro Grande Mining Corporation Announces Termination of FQM Agreement,PRESS-RELEASE,Dow Jones Newswires,Press Release: Cerro Grande Mining Corporation Announces Termination of FQM Agreement
CEG,2021-02-02,13:53:15,0792EA,Cerro Grande Mining Corp.,100,-0.43,products-services,terminated,Cerro Grande Mining Corp Announces Termination of FQM Agreement,NEWS-FLASH,Dow Jones Newswires,Cerro Grande Mining Corp Announces Termination of FQM Agreement
CEG,2021-03-26,22:08:55,0792EA,Cerro Grande Mining Corp.,100,0.0,investor-relations,,Cerro Grande Mining Corporation Announces Annual Meeting of Shareholders to,PRESS-RELEASE,GlobeNewswire,Cerro Grande Mining Corporation Announces Annual Meeting of Shareholders to be Held by Telephonic Means
CEG,2021-03-26,22:08:56,0792EA,Cerro Grande Mining Corp.,100,0.0,investor-relations,,Cerro Grande Mining Corporation Announces Annual Meeting of Shareholders to,PRESS-RELEASE,Dow Jones Newswires,Press Release: Cerro Grande Mining Corporation Announces Annual Meeting of Shareholders to be Held by Telephonic Means
CEG,2021-03-31,23:10:51,0792EA,Cerro Grande Mining Corp.,100,0.0,investor-relations,,Cerro Grande Mining Corporation Announces Results of Annual Meeting of Shareholders,PRESS-RELEASE,GlobeNewswire,Cerro Grande Mining Corporation Announces Results of Annual Meeting of Shareholders
CEG,2021-03-31,23:10:52,0792EA,Cerro Grande Mining Corp.,100,0.0,investor-relations,,Cerro Grande Mining Corporation Announces Results of Annual Meeting of Shareholders,PRESS-RELEASE,Dow Jones Newswires,Press Release: Cerro Grande Mining Corporation Announces Results of Annual Meeting of Shareholders
CEG,2021-04-30,21:30:00,0792EA,Cerro Grande Mining Corp.,99,-0.57,labor-issues,,Cerro Grande Mining Corp.: and resignation as the Company's CEO,PRESS-RELEASE,GlobeNewswire,Cerro Grande Mining Corporation to Issue Shares to Former CEO in Debt Settlement
CEG,2021-04-30,21:30:01,0792EA,Cerro Grande Mining Corp.,99,-0.57,labor-issues,,Cerro Grande Mining Corp.: and resignation as the Company's CEO,PRESS-RELEASE,Dow Jones Newswires,Press Release: Cerro Grande Mining Corporation to Issue Shares to Former CEO in Debt Settlement
CEG,2021-08-03,21:20:16,0792EA,Cerro Grande Mining Corp.,99,0.47,labor-issues,,Cerro Grande Mining Corp.: The Board of Directors joins,PRESS-RELEASE,GlobeNewswire,Cerro Grande Mining Corporation Announces the Passing of Stephen W. Houghton
CEG,2021-08-03,21:20:17,0792EA,Cerro Grande Mining Corp.,99,0.47,labor-issues,,Cerro Grande Mining Corp.: The Board of Directors joins,PRESS-RELEASE,Dow Jones Newswires,Press Release: Cerro Grande Mining Corporation Announces the Passing of Stephen W. Houghton
CEG,2021-02-02,13:51:26,0792EA,Cerro Grande Mining Corp.,100,-0.43,products-services,terminated,Cerro Grande Mining Corporation Announces Termination of FQM Agreement,PRESS-RELEASE,GlobeNewswire,Cerro Grande Mining Corporation Announces Termination of FQM Agreement
CEG,2021-02-02,13:51:27,0792EA,Cerro Grande Mining Corp.,100,-0.43,products-services,terminated,Cerro Grande Mining Corporation Announces Termination of FQM Agreement,PRESS-RELEASE,Dow Jones Newswires,Press Release: Cerro Grande Mining Corporation Announces Termination of FQM Agreement
CEG,2021-02-02,13:53:15,0792EA,Cerro Grande Mining Corp.,100,-0.43,products-services,terminated,Cerro Grande Mining Corp Announces Termination of FQM Agreement,NEWS-FLASH,Dow Jones Newswires,Cerro Grande Mining Corp Announces Termination of FQM Agreement
CEG,2021-03-26,22:08:55,0792EA,Cerro Grande Mining Corp.,100,0.0,investor-relations,,Cerro Grande Mining Corporation Announces Annual Meeting of Shareholders to,PRESS-RELEASE,GlobeNewswire,Cerro Grande Mining Corporation Announces Annual Meeting of Shareholders to be Held by Telephonic Means
CEG,2021-03-26,22:08:56,0792EA,Cerro Grande Mining Corp.,100,0.0,investor-relations,,Cerro Grande Mining Corporation Announces Annual Meeting of Shareholders to,PRESS-RELEASE,Dow Jones Newswires,Press Release: Cerro Grande Mining Corporation Announces Annual Meeting of Shareholders to be Held by Telephonic Means
