ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
CINF,2024-01-09,13:50:04,51E682,Cincinnati Financial Corp.,99,0.0,investor-relations,,Cincinnati Financial Corp.: What: CINF fourth-quarter and full-year 2023 earnings conference call,PRESS-RELEASE,PR Newswire,Cincinnati Financial Schedules Webcast to Discuss Fourth-Quarter and Full-Year 2023 Results
CINF,2024-01-09,13:50:04,51E682,Cincinnati Financial Corp.,99,0.0,investor-relations,,Cincinnati Financial Corp.: What: CINF fourth-quarter and full-year 2023 earnings conference call,PRESS-RELEASE,PR Newswire,Cincinnati Financial Schedules Webcast to Discuss Fourth-Quarter and Full-Year 2023 Results
CINF,2024-01-09,13:50:04,51E682,Cincinnati Financial Corp.,99,0.0,investor-relations,,Cincinnati Financial Corp.: What: CINF fourth-quarter and full-year 2023 earnings conference call,PRESS-RELEASE,Dow Jones Newswires,Press Release: Cincinnati Financial Schedules Webcast to Discuss Fourth-Quarter and Full-Year 2023 Results
CINF,2024-01-09,13:50:04,51E682,Cincinnati Financial Corp.,99,0.0,investor-relations,,Cincinnati Financial Corp.: What: CINF fourth-quarter and full-year 2023 earnings conference call,PRESS-RELEASE,Dow Jones Newswires,Press Release: Cincinnati Financial Schedules Webcast to Discuss Fourth-Quarter and Full-Year 2023 Results
CINF,2024-01-26,19:10:02,51E682,Cincinnati Financial Corp.,100,0.62,dividends,up,Cincinnati Financial Corporation Increases Regular Quarterly Cash Dividend,NEWS-FLASH,Dow Jones Newswires,Cincinnati Financial Corporation Increases Regular Quarterly Cash Dividend >CINF
CINF,2024-01-26,19:10:02,51E682,Cincinnati Financial Corp.,100,0.62,dividends,up,Cincinnati Financial Corporation Increases Regular Quarterly Cash Dividend,PRESS-RELEASE,PR Newswire,Cincinnati Financial Corporation Increases Regular Quarterly Cash Dividend
CINF,2024-01-26,19:10:02,51E682,Cincinnati Financial Corp.,100,0.62,dividends,up,Cincinnati Financial Corp.: Today's dividend increase,PRESS-RELEASE,PR Newswire,Cincinnati Financial Corporation Increases Regular Quarterly Cash Dividend
CINF,2024-01-26,19:10:02,51E682,Cincinnati Financial Corp.,100,-0.68,revenues,down,Cincinnati Financial Corp.: Decreased premium revenue,PRESS-RELEASE,PR Newswire,Cincinnati Financial Corporation Increases Regular Quarterly Cash Dividend
CINF,2024-01-26,19:10:03,51E682,Cincinnati Financial Corp.,100,0.62,dividends,up,Cincinnati Financial Corporation Increases Regular Quarterly Cash Dividend,PRESS-RELEASE,Dow Jones Newswires,Press Release: Cincinnati Financial Corporation Increases Regular Quarterly Cash Dividend
CINF,2024-01-26,19:10:03,51E682,Cincinnati Financial Corp.,100,0.62,dividends,up,Cincinnati Financial Corp.: Today's dividend increase,PRESS-RELEASE,Dow Jones Newswires,Press Release: Cincinnati Financial Corporation Increases Regular Quarterly Cash Dividend
