ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
CMS,2021-06-21,12:47:03,2A9799,Communisis PLC,100,0.0,earnings,,Waddington Europe Earns,PRESS-RELEASE,PR Newswire,Waddington Europe Earns Coveted Zero Waste Award
CMS,2021-06-21,12:47:03,2A9799,Communisis PLC,100,0.0,earnings,,Waddington Europe Earns,PRESS-RELEASE,PR Newswire,Waddington Europe Earns Coveted Zero Waste Award
CMS,2024-01-02,14:59:43,7BAAE7,CMS Energy Corp.,100,0.36,credit-ratings,set,Fitch Rates Consumers Energy Company's FMBs 'A+,NEWS-FLASH,Dow Jones Newswires,Fitch Rates Consumers Energy Company's FMBs 'A+'
CMS,2024-01-02,14:59:43,7BAAE7,CMS Energy Corp.,100,0.36,credit-ratings,set,Fitch Rates Consumers Energy Company's FMBs 'A+,PRESS-RELEASE,Dow Jones Newswires,Press Release: Fitch Rates Consumers Energy Company's FMBs 'A+'
CMS,2024-01-04,11:02:10,7BAAE7,CMS Energy Corp.,100,0.34,analyst-ratings,neutral,Cms Energy Is Maintained at Overweight by Keybanc,NEWS-FLASH,Dow Jones Newswires,CMS Energy Is Maintained at Overweight by Keybanc
CMS,2024-01-04,11:02:10,7BAAE7,CMS Energy Corp.,100,0.72,price-targets,upgrade,Cms Energy Price Target Raised to $65.00/Share From $60.00 by Keybanc,NEWS-FLASH,Dow Jones Newswires,CMS Energy Price Target Raised to $65.00/Share From $60.00 by Keybanc
CMS,2024-01-08,11:49:24,7BAAE7,CMS Energy Corp.,100,-0.58,analyst-ratings,negative,Cms Energy Cut to Neutral From Buy by Seaport Global,NEWS-FLASH,Dow Jones Newswires,CMS Energy Cut to Neutral From Buy by Seaport Global
CMS,2024-01-11,21:30:04,7BAAE7,CMS Energy Corp.,100,0.0,earnings,,Cms Energy to Announce 2023 Year-End Results on February 1,PRESS-RELEASE,PR Newswire,CMS Energy to Announce 2023 Year-End Results on February 1
CMS,2024-01-11,21:30:04,7BAAE7,CMS Energy Corp.,100,0.0,earnings,,Cms Energy to Announce 2023 Year-End Results on February 1,PRESS-RELEASE,Dow Jones Newswires,Press Release: CMS Energy to Announce 2023 Year-End Results on February 1
CMS,2024-01-16,11:38:32,7BAAE7,CMS Energy Corp.,100,0.94,analyst-ratings,positive,Cms Energy Raised to Outperform From Peer Perform by Wolfe Research,NEWS-FLASH,Dow Jones Newswires,CMS Energy Raised to Outperform From Peer Perform by Wolfe Research
