ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: FY 2022 was marked by portfolio,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.58,acquisitions-mergers,delayed,"Nanostart AG: In particular, the delay of the acquisition",PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,earnings,,"Nanostart AG: On the other hand, proceeds from disposals fell to EUR2.89 million (previous year",PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.67,earnings,down,Nanostart AG: The decline in earnings,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: FY 2022 was marked by portfolio,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.58,acquisitions-mergers,delayed,"Nanostart AG: In particular, the delay of the acquisition",PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,earnings,,"Nanostart AG: On the other hand, proceeds from disposals fell to EUR2.89 million (previous year",PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.67,earnings,down,Nanostart AG: The decline in earnings,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: H1 2023: Large portfolio,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.49,equity-actions,up,Nanostart AG: Total operating costs of EUR 3.10 million,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.65,earnings,negative,Nanostart AG: The book loss of EUR 0.61 million,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: H1 2023: Large portfolio,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.49,equity-actions,up,Nanostart AG: Total operating costs of EUR 3.10 million,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.65,earnings,negative,Nanostart AG: The book loss of EUR 0.61 million,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: FY 2022 was marked by portfolio,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.58,acquisitions-mergers,delayed,"Nanostart AG: In particular, the delay of the acquisition",PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,earnings,,"Nanostart AG: On the other hand, proceeds from disposals fell to EUR2.89 million (previous year",PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.67,earnings,down,Nanostart AG: The decline in earnings,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: FY 2022 was marked by portfolio,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.58,acquisitions-mergers,delayed,"Nanostart AG: In particular, the delay of the acquisition",PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,earnings,,"Nanostart AG: On the other hand, proceeds from disposals fell to EUR2.89 million (previous year",PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.67,earnings,down,Nanostart AG: The decline in earnings,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: H1 2023: Large portfolio,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.49,equity-actions,up,Nanostart AG: Total operating costs of EUR 3.10 million,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.65,earnings,negative,Nanostart AG: The book loss of EUR 0.61 million,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: H1 2023: Large portfolio,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.49,equity-actions,up,Nanostart AG: Total operating costs of EUR 3.10 million,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.65,earnings,negative,Nanostart AG: The book loss of EUR 0.61 million,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: FY 2022 was marked by portfolio,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.58,acquisitions-mergers,delayed,"Nanostart AG: In particular, the delay of the acquisition",PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,earnings,,"Nanostart AG: On the other hand, proceeds from disposals fell to EUR2.89 million (previous year",PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.67,earnings,down,Nanostart AG: The decline in earnings,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: FY 2022 was marked by portfolio,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.58,acquisitions-mergers,delayed,"Nanostart AG: In particular, the delay of the acquisition",PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,earnings,,"Nanostart AG: On the other hand, proceeds from disposals fell to EUR2.89 million (previous year",PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.67,earnings,down,Nanostart AG: The decline in earnings,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: H1 2023: Large portfolio,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.49,equity-actions,up,Nanostart AG: Total operating costs of EUR 3.10 million,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.65,earnings,negative,Nanostart AG: The book loss of EUR 0.61 million,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: H1 2023: Large portfolio,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.49,equity-actions,up,Nanostart AG: Total operating costs of EUR 3.10 million,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.65,earnings,negative,Nanostart AG: The book loss of EUR 0.61 million,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: FY 2022 was marked by portfolio,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.58,acquisitions-mergers,delayed,"Nanostart AG: In particular, the delay of the acquisition",PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,earnings,,"Nanostart AG: On the other hand, proceeds from disposals fell to EUR2.89 million (previous year",PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.67,earnings,down,Nanostart AG: The decline in earnings,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: FY 2022 was marked by portfolio,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.58,acquisitions-mergers,delayed,"Nanostart AG: In particular, the delay of the acquisition",PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,earnings,,"Nanostart AG: On the other hand, proceeds from disposals fell to EUR2.89 million (previous year",PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.67,earnings,down,Nanostart AG: The decline in earnings,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: H1 2023: Large portfolio,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.49,equity-actions,up,Nanostart AG: Total operating costs of EUR 3.10 million,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.65,earnings,negative,Nanostart AG: The book loss of EUR 0.61 million,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: H1 2023: Large portfolio,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.49,equity-actions,up,Nanostart AG: Total operating costs of EUR 3.10 million,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.65,earnings,negative,Nanostart AG: The book loss of EUR 0.61 million,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: FY 2022 was marked by portfolio,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.58,acquisitions-mergers,delayed,"Nanostart AG: In particular, the delay of the acquisition",PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,earnings,,"Nanostart AG: On the other hand, proceeds from disposals fell to EUR2.89 million (previous year",PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.67,earnings,down,Nanostart AG: The decline in earnings,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: FY 2022 was marked by portfolio,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.58,acquisitions-mergers,delayed,"Nanostart AG: In particular, the delay of the acquisition",PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,earnings,,"Nanostart AG: On the other hand, proceeds from disposals fell to EUR2.89 million (previous year",PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.67,earnings,down,Nanostart AG: The decline in earnings,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: H1 2023: Large portfolio,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.49,equity-actions,up,Nanostart AG: Total operating costs of EUR 3.10 million,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.65,earnings,negative,Nanostart AG: The book loss of EUR 0.61 million,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: H1 2023: Large portfolio,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.49,equity-actions,up,Nanostart AG: Total operating costs of EUR 3.10 million,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.65,earnings,negative,Nanostart AG: The book loss of EUR 0.61 million,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: FY 2022 was marked by portfolio,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.58,acquisitions-mergers,delayed,"Nanostart AG: In particular, the delay of the acquisition",PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,earnings,,"Nanostart AG: On the other hand, proceeds from disposals fell to EUR2.89 million (previous year",PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.67,earnings,down,Nanostart AG: The decline in earnings,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: FY 2022 was marked by portfolio,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.58,acquisitions-mergers,delayed,"Nanostart AG: In particular, the delay of the acquisition",PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,earnings,,"Nanostart AG: On the other hand, proceeds from disposals fell to EUR2.89 million (previous year",PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.67,earnings,down,Nanostart AG: The decline in earnings,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: H1 2023: Large portfolio,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.49,equity-actions,up,Nanostart AG: Total operating costs of EUR 3.10 million,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.65,earnings,negative,Nanostart AG: The book loss of EUR 0.61 million,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: H1 2023: Large portfolio,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.49,equity-actions,up,Nanostart AG: Total operating costs of EUR 3.10 million,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,-0.65,earnings,negative,Nanostart AG: The book loss of EUR 0.61 million,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: FY 2022 was marked by portfolio,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.58,acquisitions-mergers,delayed,"Nanostart AG: In particular, the delay of the acquisition",PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,earnings,,"Nanostart AG: On the other hand, proceeds from disposals fell to EUR2.89 million (previous year",PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.67,earnings,down,Nanostart AG: The decline in earnings,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: FY 2022 was marked by portfolio,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.58,acquisitions-mergers,delayed,"Nanostart AG: In particular, the delay of the acquisition",PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,0.0,earnings,,"Nanostart AG: On the other hand, proceeds from disposals fell to EUR2.89 million (previous year",PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-07-14,09:32:23,038650,Nanostart AG,99,-0.67,earnings,down,Nanostart AG: The decline in earnings,PRESS-RELEASE,Dow Jones Newswires,Original-Research: Coreo AG (von GBC AG): BUY
COR,2023-11-20,09:01:22,038650,Nanostart AG,99,0.0,assets,,Nanostart AG: H1 2023: Large portfolio,PRESS-RELEASE,DGAP News,Original-Research: Coreo AG (von GBC AG): BUY
