ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
CPT,2024-01-11,07:00:09,6FBC26,MyHealthChecked PLC,99,0.61,earnings,positive,MyHealthChecked PLC: FY 2022: GBP2.3m profit,PRESS-RELEASE,LSE Regulatory News Service (RNS),MyHealthChecked PLC Trading Update
CPT,2024-01-11,07:00:09,6FBC26,MyHealthChecked PLC,99,0.0,revenues,,MyHealthChecked PLC: Revenue for the full year,PRESS-RELEASE,LSE Regulatory News Service (RNS),MyHealthChecked PLC Trading Update
CPT,2024-05-21,13:02:03,6FBC26,MyHealthChecked PLC,99,0.41,assets,open,MyHealthChecked PLC: The company plans to open pilot locations,PRESS-RELEASE,PR Newswire,Concepta Launches Cutting-Edge Initiative to Spearhead AI Advancement and Research
CPT,2024-06-04,06:00:10,6FBC26,MyHealthChecked PLC,99,0.0,earnings,,MyHealthChecked PLC: Final Results for the Year Ended 31 December 2023,PRESS-RELEASE,LSE Regulatory News Service (RNS),MyHealthChecked PLC Final Results & Notice of AGM
CPT,2024-06-04,06:00:10,6FBC26,MyHealthChecked PLC,99,0.0,investor-relations,,MyHealthChecked PLC: Notice of AGM,PRESS-RELEASE,LSE Regulatory News Service (RNS),MyHealthChecked PLC Final Results & Notice of AGM
CPT,2024-06-04,06:00:10,6FBC26,MyHealthChecked PLC,99,0.0,revenues,,MyHealthChecked PLC: Revenue of GBP11.0m,PRESS-RELEASE,LSE Regulatory News Service (RNS),MyHealthChecked PLC Final Results & Notice of AGM
CPT,2024-06-04,06:00:10,6FBC26,MyHealthChecked PLC,99,0.58,earnings,positive,MyHealthChecked PLC: Adjusted EBITDA of GBP0.015m,PRESS-RELEASE,LSE Regulatory News Service (RNS),MyHealthChecked PLC Final Results & Notice of AGM
CPT,2024-06-04,06:00:10,6FBC26,MyHealthChecked PLC,99,0.65,revenues,up,MyHealthChecked PLC: Sustained unit sales growth,PRESS-RELEASE,LSE Regulatory News Service (RNS),MyHealthChecked PLC Final Results & Notice of AGM
CPT,2024-06-04,06:00:10,6FBC26,MyHealthChecked PLC,99,0.72,revenues,up,MyHealthChecked PLC: we have seen sustained sales growth,PRESS-RELEASE,LSE Regulatory News Service (RNS),MyHealthChecked PLC Final Results & Notice of AGM -2-
CPT,2024-06-04,06:00:10,6FBC26,MyHealthChecked PLC,99,0.22,acquisitions-mergers,,MyHealthChecked PLC: We have invested in our,PRESS-RELEASE,LSE Regulatory News Service (RNS),MyHealthChecked PLC Final Results & Notice of AGM -2-
CPT,2024-06-04,06:00:10,6FBC26,MyHealthChecked PLC,99,-0.51,products-services,decrease,MyHealthChecked PLC: we anticipate a further reduction in the demand,PRESS-RELEASE,LSE Regulatory News Service (RNS),MyHealthChecked PLC Final Results & Notice of AGM -2-
