ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
CRL,2021-03-26,11:35:44,104F7A,Creightons PLC,99,0.53,labor-issues,,Creightons PLC: Change of Director,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Change of Director's Role
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.64,earnings,up,Creightons PLC: The profit after tax for the year has increased,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year ended 31 March 2021
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.3,revenues,,Creightons PLC: Revenue increased by 28.9% to GBP61.6m,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year ended 31 March 2021
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.56,earnings,up,Creightons PLC: Operating profit increased by 43.7% to GBP5.4m,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year ended 31 March 2021
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.0,revenues,,Creightons PLC: Operating profit margin of 8.8%,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year ended 31 March 2021
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.0,equity-actions,,Creightons PLC: The additional costs in the year,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year ended 31 March 2021
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,-0.44,equity-actions,up,"Creightons PLC: Distribution costs have increased by 37.0% to GBP3,353,000",PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year ended 31 March 2021
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.0,equity-actions,,"Creightons PLC: The Group's tax charge for the year was GBP837,000",PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year ended 31 March 2021
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.61,earnings,positive,Creightons PLC: Profit after,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year ended 31 March 2021
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.61,earnings,positive,Creightons PLC: The diluted earnings per share of 5.89p,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year ended 31 March 2021
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.0,earnings,,Creightons PLC Preliminary Results - for year,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year -2-
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.0,dividends,,Creightons PLC: Together with the interim dividend of 0.15,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year -2-
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.65,revenues,up,Creightons PLC: o Sales - increased,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year -2-
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.61,earnings,positive,"Creightons PLC: Gross profit 24,982",PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year -3-
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.46,products-services,increase,"Creightons PLC: Increased use of PPE, re-laid out production",PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year -3-
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.6,earnings,positive,Creightons PLC: Operating profit,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year -3-
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.59,earnings,positive,Creightons PLC: Profit before tax,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year -3-
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.0,earnings,,Creightons PLC: Earnings per share,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year -3-
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.61,earnings,positive,Creightons PLC: Profit for the year,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year -4-
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.0,earnings,,Creightons PLC Preliminary Results - for year,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year -5-
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.0,dividends,,Creightons PLC: Dividends,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year -5-
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.0,earnings,,Creightons PLC Preliminary Results - for year,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year -6-
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.0,earnings,,Creightons PLC: 5 Earnings per share,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year -6-
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.0,earnings,,Creightons PLC Preliminary Results - for year,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year -7-
CRL,2021-07-21,06:00:10,104F7A,Creightons PLC,100,0.0,investor-relations,,Creightons PLC: the Company's Annual General Meeting.,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Preliminary Results - for year -7-
CRL,2021-07-29,06:00:32,104F7A,Creightons PLC,99,0.62,acquisitions-mergers,,Creightons PLC: Acquisition of Emma Hardie Limited,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Acquisition of Emma Hardie Limited and TVR
CRL,2021-07-29,06:00:32,104F7A,Creightons PLC,99,0.59,earnings,positive,Creightons PLC: The profits before tax,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Acquisition of Emma Hardie Limited and TVR
CRL,2021-07-29,06:00:32,104F7A,Creightons PLC,99,0.0,revenues,,"Creightons PLC: The turnover was GBP3,834,771",PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Acquisition of Emma Hardie Limited and TVR
CRL,2021-08-04,12:47:13,104F7A,Creightons PLC,99,0.62,acquisitions-mergers,,Creightons PLC: Acquisition of Emma Hardie Limited,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Emma Hardie Ltd - Q&A video available
CRL,2021-08-25,12:34:11,104F7A,Creightons PLC,100,0.0,dividends,,"Creightons PLC Results of AGM, Final Dividend",PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Results of AGM, Final Dividend Declaration"
CRL,2021-08-25,12:34:11,104F7A,Creightons PLC,100,0.0,investor-relations,,Creightons PLC: Results of Annual General Meeting,PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Results of AGM, Final Dividend Declaration"
CRL,2021-08-26,10:19:19,104F7A,Creightons PLC,100,0.0,dividends,,Creightons PLC Final Dividend,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Final Dividend Declaration
CRL,2021-09-27,06:00:05,104F7A,Creightons PLC,99,0.62,acquisitions-mergers,,Creightons PLC: Acquisition of Brodie and Stone Holdings Limited and its subsidiary,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Acquisition of Brodie and Stone
CRL,2021-09-27,08:09:31,104F7A,Creightons PLC,100,0.62,acquisitions-mergers,,Creightons Buys Brodie and Stone Holdings for GBP4.8 Mln,FULL-ARTICLE,Dow Jones Newswires,Creightons Buys Brodie and Stone Holdings for GBP4.8 Mln -- Deal Digest
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,99,0.0,dividends,,Creightons PLC: The total payment in relation to the dividend paid in October 2021,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,99,0.0,revenues,,Creightons PLC: The total net sales for the six months were GBP30.00m,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,99,-0.02,equity-actions,,Creightons PLC: Distribution costs have decreased by 2.3% to GBP1.67m,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,99,0.6,earnings,positive,Creightons PLC: Operating profit,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,99,0.61,earnings,positive,Creightons PLC: Profit after,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,99,0.61,earnings,positive,Creightons PLC: Diluted EPS 2.61p,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,99,0.55,acquisitions-mergers,,Creightons PLC: Successfully completed acquisition of two businesses,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,99,0.65,revenues,up,Creightons PLC: Core sales have increased,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,99,0.0,revenues,,Creightons PLC: Overall Group sales were GBP30.00m for the six months ended 30 September 2021,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,99,0.65,revenues,up,Creightons PLC: Contract manufacturing sales have increased,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,95,0.61,earnings,positive,"Creightons PLC: Gross profit 12,804",PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report -2-
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,95,0.6,earnings,positive,Creightons PLC: Operating profit,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report -2-
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,95,0.59,earnings,positive,Creightons PLC: Profit before tax,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report -2-
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,95,0.0,earnings,,Creightons PLC: Earnings per share,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report -2-
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,90,0.61,earnings,positive,Creightons PLC: Profit for the year,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report -3-
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,90,0.61,earnings,positive,Creightons PLC: Profit for the six months ended 30 September 2020,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report -3-
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,90,0.61,earnings,positive,Creightons PLC: Profit for the six months ended 31 March 2021,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report -4-
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,90,0.61,earnings,positive,Creightons PLC: Profit for the six months ended 30 September 2021,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report -4-
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,90,-0.65,earnings,negative,Creightons PLC: Loss on,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report -4-
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,91,0.62,acquisitions-mergers,,"Creightons PLC: Acquisition of Brodie & Stone (2,807",PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report -5-
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,91,0.0,dividends,,Creightons PLC: Dividends,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report -5-
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,91,0.0,earnings,,Creightons PLC: Earnings per share,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report -5-
CRL,2021-12-30,06:59:52,104F7A,Creightons PLC,97,0.0,dividends,,Creightons PLC: Interim Dividend,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Half-year Report -7-
CRL,2021-12-30,07:19:30,104F7A,Creightons PLC,100,0.59,earnings,positive,Creightons 1H Pretax Profit,FULL-ARTICLE,Dow Jones Newswires,"Creightons 1H Pretax Profit, Revenue Fell"
CRL,2021-12-30,07:19:30,104F7A,Creightons PLC,100,0.59,earnings,positive,Creightons PLC said Thursday that pretax profit,FULL-ARTICLE,Dow Jones Newswires,"Creightons 1H Pretax Profit, Revenue Fell"
CRL,2024-03-07,07:00:18,104F7A,Creightons PLC,99,-0.57,labor-issues,,Creightons PLC: Mr William McIlroy is retiring from his executive,PRESS-RELEASE,LSE Regulatory News Service (RNS),Creightons PLC Directorate Change
CRL,2024-07-08,06:52:09,104F7A,Creightons PLC,100,-0.45,equity-actions,charge,Creightons to Take GBP4.45 Million Impairment,FULL-ARTICLE,Dow Jones Newswires,Creightons to Take GBP4.45 Million Impairment Hit
CRL,2024-07-18,06:00:12,104F7A,Creightons PLC,100,0.42,earnings,up,Creightons PLC: Gross profit margin increased by 1.3% to 42.9%,PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Preliminary Results, Notice of AGM"
CRL,2024-07-18,06:00:12,104F7A,Creightons PLC,100,0.0,revenues,,Creightons PLC: Full year operating profit margin,PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Preliminary Results, Notice of AGM"
CRL,2024-07-18,06:00:12,104F7A,Creightons PLC,100,0.58,earnings,positive,Creightons PLC: EBITDA for the year was GBP3.2m,PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Preliminary Results, Notice of AGM"
CRL,2024-07-18,06:00:12,104F7A,Creightons PLC,100,0.0,earnings,,Creightons PLC: Adjusted diluted earnings per share,PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Preliminary Results, Notice of AGM"
CRL,2024-07-18,06:00:12,104F7A,Creightons PLC,100,-0.68,revenues,down,Creightons PLC: decreased revenue,PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Preliminary Results, Notice of AGM"
CRL,2024-07-18,06:00:12,104F7A,Creightons PLC,100,0.47,equity-actions,,Creightons PLC: Restructuring,PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Preliminary Results, Notice of AGM"
CRL,2024-07-18,06:00:12,104F7A,Creightons PLC,100,-0.44,products-services,cut,Creightons PLC: We are now seeing an easing of supplier price,PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Preliminary Results, Notice of AGM"
CRL,2024-07-18,06:00:12,104F7A,Creightons PLC,100,0.0,earnings,,Creightons PLC: This year's results,PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Preliminary Results, Notice of AGM -2-"
CRL,2024-07-18,06:00:12,104F7A,Creightons PLC,100,-0.49,labor-issues,,Creightons PLC: William McIlroy retired from his Executive,PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Preliminary Results, Notice of AGM -2-"
CRL,2024-07-18,06:00:12,104F7A,Creightons PLC,100,0.1,revenues,,Creightons PLC: Private label sales have increased sales by 7.9% to GBP23.7m,PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Preliminary Results, Notice of AGM -2-"
CRL,2024-07-18,06:00:12,104F7A,Creightons PLC,100,0.48,equity-actions,down,Creightons PLC: Key cost reductions,PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Preliminary Results, Notice of AGM -2-"
CRL,2024-07-18,06:00:12,104F7A,Creightons PLC,100,0.61,earnings,positive,"Creightons PLC: Gross profit 11,632",PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Preliminary Results, Notice of AGM -2-"
CRL,2024-07-18,06:00:12,104F7A,Creightons PLC,100,0.6,earnings,positive,Creightons PLC: Operating profit,PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Preliminary Results, Notice of AGM -2-"
CRL,2024-07-18,06:00:12,104F7A,Creightons PLC,100,-0.65,earnings,negative,Creightons PLC: A GBP1.8m loss,PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Preliminary Results, Notice of AGM -3-"
CRL,2024-07-18,06:00:12,104F7A,Creightons PLC,100,-0.68,revenues,down,"Creightons PLC: Conversely, the contract sales",PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Preliminary Results, Notice of AGM -3-"
CRL,2024-07-18,06:00:12,104F7A,Creightons PLC,100,0.7,earnings,up,Creightons PLC: This year has seen an increase,PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Preliminary Results, Notice of AGM -3-"
CRL,2024-07-18,06:00:12,104F7A,Creightons PLC,100,0.61,earnings,positive,"Creightons PLC: Gross profit 22,830",PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Preliminary Results, Notice of AGM -4-"
CRL,2024-07-18,06:00:12,104F7A,Creightons PLC,100,-0.68,revenues,down,Creightons PLC: The decrease in sales,PRESS-RELEASE,LSE Regulatory News Service (RNS),"Creightons PLC Preliminary Results, Notice of AGM -4-"
