ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
CSGP,2021-01-04,21:15:45,ED0402,CoStar Group Inc.,100,0.0,insider-trading,,"Ceo Florance Gifts 20,000 Of CoStar Group Inc >CSGP",TABULAR-MATERIAL,Dow Jones Newswires,"CEO Florance Gifts 20,000 Of CoStar Group Inc >CSGP"
CSGP,2021-01-04,21:16:16,ED0402,CoStar Group Inc.,100,0.0,insider-trading,,Vp Ruggles Surrenders 250 Of CoStar Group Inc >CSGP,FULL-ARTICLE,Dow Jones Newswires,VP Ruggles Surrenders 250 Of CoStar Group Inc >CSGP
CSGP,2021-01-05,02:26:39,ED0402,CoStar Group Inc.,99,0.62,acquisitions-mergers,,Costar's acquisition of RentPath would,FULL-ARTICLE,Dow Jones Newswires,CoStar Accuses Apartment Search Firm RentPath of Undermining Acquisition
CSGP,2021-01-05,02:26:39,ED0402,CoStar Group Inc.,99,0.62,acquisitions-mergers,,"In November, CoStar acquired residential home search site HomeSnap Inc. for $250 million",FULL-ARTICLE,Dow Jones Newswires,CoStar Accuses Apartment Search Firm RentPath of Undermining Acquisition
CSGP,2021-01-06,07:02:02,ED0402,CoStar Group Inc.,99,0.62,acquisitions-mergers,,Costar Group Inc. said in February it would buy competitor RentPath,FULL-ARTICLE,Dow Jones Newswires,"The Property Report:  CoStar Accuses Rival of Sabotaging Deal  ---  Realty-data firm says  RentPath spread false  information on pact,  'poisoned' FTC process  ----  By Jonathan Randles"
CSGP,2021-01-06,07:32:09,ED0402,CoStar Group Inc.,99,0.62,acquisitions-mergers,,Costar's acquisition of RentPath would,FULL-ARTICLE,Wall Street Journal,CoStar Accuses Rival of Sabotaging Deal -- WSJ
CSGP,2021-01-06,07:32:09,ED0402,CoStar Group Inc.,99,0.62,acquisitions-mergers,,"In November, CoStar acquired residential home search site HomeSnap Inc. for $250 million",FULL-ARTICLE,Wall Street Journal,CoStar Accuses Rival of Sabotaging Deal -- WSJ
CSGP,2021-01-22,08:40:30,ED0402,CoStar Group Inc.,100,0.0,investor-relations,,"Costar Group Inc, Inst Holders, 4Q 2020 (CSGP)",RNS-SEC13F,Dow Jones Newswires,"CoStar Group Inc, Inst Holders, 4Q 2020 (CSGP)"
CSGP,2021-01-29,13:00:02,ED0402,CoStar Group Inc.,100,0.0,earnings,,"Costar Group to Report Financial Results for Fourth Quarter 2020 on February 23, 2020",PRESS-RELEASE,Business Wire,"CoStar Group to Report Financial Results for Fourth Quarter 2020 on February 23, 2020"
CSGP,2021-01-29,13:00:02,ED0402,CoStar Group Inc.,100,0.0,earnings,,"Costar Group, Inc. (NASDAQ: CSGP) will announce financial results for the fourth quarter and year end 2020",PRESS-RELEASE,Business Wire,"CoStar Group to Report Financial Results for Fourth Quarter 2020 on February 23, 2020"
CSGP,2021-01-29,13:00:02,ED0402,CoStar Group Inc.,100,0.0,investor-relations,,CoStar Group Inc.: Management will conduct a conference call to discuss the fourth quarter,PRESS-RELEASE,Business Wire,"CoStar Group to Report Financial Results for Fourth Quarter 2020 on February 23, 2020"
CSGP,2021-02-04,19:12:22,ED0402,CoStar Group Inc.,100,0.55,acquisitions-mergers,interest,Costar Considers New Bid for CoreLogic,NEWS-FLASH,Wall Street Journal,"CoStar Considers New Bid for CoreLogic, Sources Say"
CSGP,2021-02-16,12:07:00,ED0402,CoStar Group Inc.,100,0.55,acquisitions-mergers,interest,Costar Group Makes Superior Proposal To Acquire CoreLogic For $95.76,NEWS-FLASH,Dow Jones Newswires,CoStar Group Makes Superior Proposal To Acquire CoreLogic For $95.76 Per Share >CSGP
CSGP,2021-02-16,12:07:00,ED0402,CoStar Group Inc.,100,0.62,acquisitions-mergers,,Costar Group Makes Superior Proposal to Acquire CoreLogic for $95.76,PRESS-RELEASE,Business Wire,CoStar Group Makes Superior Proposal to Acquire CoreLogic for $95.76 Per Share
CSGP,2021-02-16,12:07:00,ED0402,CoStar Group Inc.,100,0.41,revenues,up,CoStar Group Inc.: our compound annual revenue growth,PRESS-RELEASE,Business Wire,CoStar Group Makes Superior Proposal to Acquire CoreLogic for $95.76 Per Share
CSGP,2021-02-16,12:07:00,ED0402,CoStar Group Inc.,99,0.0,revenues,,CoStar Group Inc.: Reoccurring revenue is,PRESS-RELEASE,Business Wire,CoStar Group Makes Superior Proposal to Acquire -2-
CSGP,2021-02-16,12:07:00,ED0402,CoStar Group Inc.,99,0.55,acquisitions-mergers,interest,Costar Group's proposed acquisition of CoreLogic,PRESS-RELEASE,Business Wire,CoStar Group Makes Superior Proposal to Acquire -2-
CSGP,2021-02-16,12:07:01,ED0402,CoStar Group Inc.,100,0.62,acquisitions-mergers,,Costar Group Makes Superior Proposal to Acquire CoreLogic for $95.76,PRESS-RELEASE,Dow Jones Newswires,Press Release: CoStar Group Makes Superior Proposal to Acquire CoreLogic for $95.76 Per Share
CSGP,2021-02-16,12:07:01,ED0402,CoStar Group Inc.,100,0.41,revenues,up,CoStar Group Inc.: our compound annual revenue growth,PRESS-RELEASE,Dow Jones Newswires,Press Release: CoStar Group Makes Superior Proposal to Acquire CoreLogic for $95.76 Per Share
CSGP,2021-02-16,12:07:01,ED0402,CoStar Group Inc.,99,0.0,revenues,,CoStar Group Inc.: Reoccurring revenue is,PRESS-RELEASE,Dow Jones Newswires,Press Release: CoStar Group Makes Superior -2-
CSGP,2021-02-16,12:07:01,ED0402,CoStar Group Inc.,99,0.55,acquisitions-mergers,interest,Costar Group's proposed acquisition of CoreLogic,PRESS-RELEASE,Dow Jones Newswires,Press Release: CoStar Group Makes Superior -2-
CSGP,2021-02-16,12:20:19,ED0402,CoStar Group Inc.,100,0.55,acquisitions-mergers,interest,Costar buyout bid for CoreLogic,NEWS-FLASH,MarketWatch,MW CoStar buyout bid for CoreLogic is above the $80/share merger deal CoreLogic previously entered
CSGP,2021-02-16,15:00:02,ED0402,CoStar Group Inc.,93,0.62,acquisitions-mergers,,Agreed to acquire all outstanding shares of CoreLogic,PRESS-RELEASE,Dow Jones Newswires,Press Release: CoreLogic Confirms Receipt of Unsolicited Acquisition Proposal from CoStar Group
CSGP,2021-02-17,07:13:33,ED0402,CoStar Group Inc.,100,0.62,acquisitions-mergers,,Uppercut Brands Inc.: agreed to buy the company for $80,FULL-ARTICLE,Dow Jones Newswires,CoStar Offers $6.9 Billion for CoreLogic  ----  By Dave Sebastian
CSGP,2021-02-17,07:32:09,ED0402,CoStar Group Inc.,100,0.62,acquisitions-mergers,,Uppercut Brands Inc.: agreed to buy the company for $80,FULL-ARTICLE,Wall Street Journal,CoStar Offers $6.9 Billion for CoreLogic -- WSJ
CSGP,2021-02-17,16:51:01,ED0402,CoStar Group Inc.,99,0.0,products-services,,CoStar Group Inc.: Using new building search,PRESS-RELEASE,Business Wire,CoStar Group Announces Commercial Mortgage-Backed Securities (CMBS) Data Integration
CSGP,2021-02-17,16:51:01,ED0402,CoStar Group Inc.,99,0.0,products-services,,CoStar Group Inc.: Using new building search,PRESS-RELEASE,Dow Jones Newswires,Press Release: CoStar Group Announces Commercial Mortgage-Backed Securities (CMBS) Data Integration
CSGP,2021-02-17,21:32:28,ED0402,CoStar Group Inc.,100,0.0,insider-trading,,"Ceo Florance Surrenders 3,305 Of CoStar Group Inc >CSGP",FULL-ARTICLE,Dow Jones Newswires,"CEO Florance Surrenders 3,305 Of CoStar Group Inc >CSGP"
CSGP,2021-02-17,21:35:18,ED0402,CoStar Group Inc.,100,0.0,insider-trading,,"Cfo Wheeler Surrenders 1,115 Of CoStar Group Inc >CSGP",FULL-ARTICLE,Dow Jones Newswires,"CFO Wheeler Surrenders 1,115 Of CoStar Group Inc >CSGP"
CSGP,2021-02-17,21:38:08,ED0402,CoStar Group Inc.,100,0.0,insider-trading,,Officer Saint Surrenders 641 Of CoStar Group Inc >CSGP,FULL-ARTICLE,Dow Jones Newswires,Officer Saint Surrenders 641 Of CoStar Group Inc >CSGP
CSGP,2021-02-17,21:40:28,ED0402,CoStar Group Inc.,100,0.0,insider-trading,,Vp Ruggles Surrenders 581 Of CoStar Group Inc >CSGP,FULL-ARTICLE,Dow Jones Newswires,VP Ruggles Surrenders 581 Of CoStar Group Inc >CSGP
CSGP,2021-02-19,12:00:41,ED0402,CoStar Group Inc.,95,0.62,acquisitions-mergers,,Costar's acquisition of RentPath would,FULL-ARTICLE,Dow Jones Newswires,Redfin Agrees to Buy RentPath for $608M After CoStar Deal Collapsed
CSGP,2021-02-22,20:22:59,ED0402,CoStar Group Inc.,93,0.62,acquisitions-mergers,,Costar's acquisition of RentPath in December,FULL-ARTICLE,Dow Jones Newswires,RentPath Recovers Breakup Fee Over Failed CoStar Tie-Up -- Market Talk
CSGP,2021-02-22,20:22:59,ED0402,CoStar Group Inc.,93,0.62,acquisitions-mergers,,Costar's acquisition of RentPath in December,FULL-ARTICLE,Dow Jones Newswires,RentPath Recovers Breakup Fee Over Failed CoStar Tie-Up -- Market Talk
CSGP,2021-02-23,21:10:00,ED0402,CoStar Group Inc.,100,0.61,earnings,positive,Costar Group 4Q EPS 91c,NEWS-FLASH,Dow Jones Newswires,CoStar Group 4Q EPS 91c >CSGP
CSGP,2021-02-23,21:10:00,ED0402,CoStar Group Inc.,100,0.61,earnings,positive,Costar Group 4Q Adj EPS $2.85,NEWS-FLASH,Dow Jones Newswires,CoStar Group 4Q Adj EPS $2.85 >CSGP
CSGP,2021-02-23,21:10:00,ED0402,CoStar Group Inc.,100,0.0,revenues,,Costar Group 4Q Rev $444.4M >CSGP,NEWS-FLASH,Dow Jones Newswires,CoStar Group 4Q Rev $444.4M >CSGP
CSGP,2021-02-23,21:10:01,ED0402,CoStar Group Inc.,100,0.41,revenues,up,CoStar Group Inc.: our sales rebounded strongly in the second half,PRESS-RELEASE,Business Wire,CoStar Group Full Year and Fourth Quarter 2020 Revenues Increased 19% Year-over-Year
