ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
DASH,2024-01-29,12:01:45,B199E5,Neptune Digital Assets Corp.,99,-0.65,earnings,negative,Neptune Digital Assets Corp.: Comprehensive income (loss,PRESS-RELEASE,DJ Global Press Release Wire,Neptune Digital Assets Announces $6.4 Million Comprehensive Net Income for Q1 2024
DASH,2024-04-23,12:35:00,B199E5,Neptune Digital Assets Corp.,100,0.0,marketing,,Neptune Digital Assets to Present at the Blockchain & Digital Asset Virtual Investor Conference,PRESS-RELEASE,GlobeNewswire,Neptune Digital Assets to Present at the Blockchain & Digital Asset Virtual Investor Conference April 25th
DASH,2024-04-23,12:35:01,B199E5,Neptune Digital Assets Corp.,100,0.0,marketing,,Neptune Digital Assets to Present at the Blockchain & Digital Asset Virtual Investor Conference,PRESS-RELEASE,Hugin GlobeNewswire,Press Release: Neptune Digital Assets to Present at the Blockchain & Digital Asset Virtual Investor Conference April 25th
DASH,2024-04-23,12:35:01,B199E5,Neptune Digital Assets Corp.,100,0.0,marketing,,Neptune Digital Assets to Present at the Blockchain & Digital Asset Virtual Investor Conference,PRESS-RELEASE,Dow Jones Newswires,Press Release: Neptune Digital Assets to Present at the Blockchain & Digital Asset Virtual Investor Conference April 25th
DASH,2024-12-23,16:47:29,B199E5,Neptune Digital Assets Corp.,100,0.94,price-targets,upgrade,Neptune Digital Assets Corp. Price Target Raised to C$2.00/Share From C$1.00 by H C Wainwright,NEWS-FLASH,Dow Jones Newswires,Neptune Digital Assets Corp. Price Target Raised to C$2.00/Share From C$1.00 by H C Wainwright
DASH,2024-12-23,16:47:29,B199E5,Neptune Digital Assets Corp.,100,0.34,analyst-ratings,neutral,Neptune Digital Assets Corp. Is Maintained at Buy by H C Wainwright,NEWS-FLASH,Dow Jones Newswires,Neptune Digital Assets Corp. Is Maintained at Buy by H C Wainwright
DASH,2024-01-29,12:01:45,B199E5,Neptune Digital Assets Corp.,99,-0.65,earnings,negative,Neptune Digital Assets Corp.: Comprehensive income (loss,PRESS-RELEASE,DJ Global Press Release Wire,Neptune Digital Assets Announces $6.4 Million Comprehensive Net Income for Q1 2024
DASH,2024-04-23,12:35:00,B199E5,Neptune Digital Assets Corp.,100,0.0,marketing,,Neptune Digital Assets to Present at the Blockchain & Digital Asset Virtual Investor Conference,PRESS-RELEASE,GlobeNewswire,Neptune Digital Assets to Present at the Blockchain & Digital Asset Virtual Investor Conference April 25th
DASH,2024-04-23,12:35:01,B199E5,Neptune Digital Assets Corp.,100,0.0,marketing,,Neptune Digital Assets to Present at the Blockchain & Digital Asset Virtual Investor Conference,PRESS-RELEASE,Hugin GlobeNewswire,Press Release: Neptune Digital Assets to Present at the Blockchain & Digital Asset Virtual Investor Conference April 25th
DASH,2024-04-23,12:35:01,B199E5,Neptune Digital Assets Corp.,100,0.0,marketing,,Neptune Digital Assets to Present at the Blockchain & Digital Asset Virtual Investor Conference,PRESS-RELEASE,Dow Jones Newswires,Press Release: Neptune Digital Assets to Present at the Blockchain & Digital Asset Virtual Investor Conference April 25th
DASH,2024-12-23,16:47:29,B199E5,Neptune Digital Assets Corp.,100,0.94,price-targets,upgrade,Neptune Digital Assets Corp. Price Target Raised to C$2.00/Share From C$1.00 by H C Wainwright,NEWS-FLASH,Dow Jones Newswires,Neptune Digital Assets Corp. Price Target Raised to C$2.00/Share From C$1.00 by H C Wainwright
DASH,2024-12-23,16:47:29,B199E5,Neptune Digital Assets Corp.,100,0.34,analyst-ratings,neutral,Neptune Digital Assets Corp. Is Maintained at Buy by H C Wainwright,NEWS-FLASH,Dow Jones Newswires,Neptune Digital Assets Corp. Is Maintained at Buy by H C Wainwright
DASH,2024-01-29,12:01:45,B199E5,Neptune Digital Assets Corp.,99,-0.65,earnings,negative,Neptune Digital Assets Corp.: Comprehensive income (loss,PRESS-RELEASE,DJ Global Press Release Wire,Neptune Digital Assets Announces $6.4 Million Comprehensive Net Income for Q1 2024
DASH,2024-04-23,12:35:00,B199E5,Neptune Digital Assets Corp.,100,0.0,marketing,,Neptune Digital Assets to Present at the Blockchain & Digital Asset Virtual Investor Conference,PRESS-RELEASE,GlobeNewswire,Neptune Digital Assets to Present at the Blockchain & Digital Asset Virtual Investor Conference April 25th
