ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
DAY,2024-01-10,10:41:18,94208D,Ceridian HCM Holding Inc.,100,0.95,analyst-ratings,positive,Ceridian HCM Initiated at Buy by Stifel,NEWS-FLASH,Dow Jones Newswires,Ceridian HCM Initiated at Buy by Stifel
DAY,2024-01-10,10:41:18,94208D,Ceridian HCM Holding Inc.,100,0.0,price-targets,set,Ceridian HCM Price Target Announced at $75.00/Share by Stifel,NEWS-FLASH,Dow Jones Newswires,Ceridian HCM Price Target Announced at $75.00/Share by Stifel
DAY,2024-01-17,13:00:03,94208D,Ceridian HCM Holding Inc.,100,0.0,earnings,,Ceridian to Announce Fourth Quarter and Full-Year 2023 Financial Results on February 7th,PRESS-RELEASE,GlobeNewswire,Ceridian to Announce Fourth Quarter and Full-Year 2023 Financial Results on February 7th
DAY,2024-01-17,13:00:03,94208D,Ceridian HCM Holding Inc.,100,0.0,earnings,,Ceridian to Announce Fourth Quarter and Full-Year 2023 Financial Results on February 7th,PRESS-RELEASE,GlobeNewswire,Ceridian to Announce Fourth Quarter and Full-Year 2023 Financial Results on February 7th
DAY,2024-01-17,13:00:06,94208D,Ceridian HCM Holding Inc.,100,0.0,earnings,,Ceridian to Announce Fourth Quarter and Full-Year 2023 Financial Results on February 7th,PRESS-RELEASE,Dow Jones Newswires,Press Release: Ceridian to Announce Fourth Quarter and Full-Year 2023 Financial Results on February 7th
DAY,2024-01-17,13:00:06,94208D,Ceridian HCM Holding Inc.,100,0.0,earnings,,Ceridian to Announce Fourth Quarter and Full-Year 2023 Financial Results on February 7th,PRESS-RELEASE,Dow Jones Newswires,Press Release: Ceridian to Announce Fourth Quarter and Full-Year 2023 Financial Results on February 7th
DAY,2024-01-18,13:00:01,94208D,Ceridian HCM Holding Inc.,100,0.62,acquisitions-mergers,,Ceridian to Acquire eloomi,PRESS-RELEASE,GlobeNewswire,"Ceridian to Acquire eloomi, a Market-Leading Learning and Development Platform"
DAY,2024-01-18,13:00:01,94208D,Ceridian HCM Holding Inc.,100,0.62,acquisitions-mergers,,Ceridian To Acquire Eloomi,NEWS-FLASH,Dow Jones Newswires,"Ceridian To Acquire Eloomi, A Market-Leading Learning And Development Platform >CDAY"
DAY,2024-01-18,13:00:01,94208D,Ceridian HCM Holding Inc.,100,0.62,acquisitions-mergers,,Press Release: Ceridian to Acquire eloomi,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Ceridian to Acquire eloomi, a Market-Leading Learning and Development Platform"
DAY,2024-01-18,13:00:01,94208D,Ceridian HCM Holding Inc.,100,0.62,acquisitions-mergers,,Ceridian to Acquire eloomi,PRESS-RELEASE,DJ Global Press Release Wire,"Ceridian to Acquire eloomi, a Market-Leading Learning and Development Platform"
