ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
DDOG,2024-01-03,21:25:07,D6C356,Datadog Inc.,100,-0.48,insider-trading,,"Ceo Pomel Registers 85,637 Of Datadog Inc >DDOG",RNS-SEC144,Dow Jones Newswires,"CEO Pomel Registers 85,637 Of Datadog Inc >DDOG"
DDOG,2024-01-05,21:20:00,D6C356,Datadog Inc.,100,0.52,insider-trading,,"Ceo Pomel Acquires 150,240 Of Datadog Inc",FULL-ARTICLE,Dow Jones Newswires,"CEO Pomel Acquires 150,240 Of Datadog Inc"
DDOG,2024-01-05,21:20:02,D6C356,Datadog Inc.,100,-0.49,insider-trading,,"Ceo Pomel Sells 85,637 Of Datadog Inc",TABULAR-MATERIAL,Dow Jones Newswires,"CEO Pomel Sells 85,637 Of Datadog Inc >DDOG"
DDOG,2024-01-10,21:12:46,D6C356,Datadog Inc.,100,-0.48,insider-trading,,"Dir Le-Quoc Registers 127,105 Of Datadog Inc >DDOG",RNS-SEC144,Dow Jones Newswires,"Officer/Dir Le-Quoc Registers 127,105 Of Datadog Inc >DDOG"
DDOG,2024-01-12,21:25:22,D6C356,Datadog Inc.,100,0.52,insider-trading,,"Dir Le-Quoc Acquires 222,990 Of Datadog Inc",FULL-ARTICLE,Dow Jones Newswires,"Officer/Dir Le-Quoc Acquires 222,990 Of Datadog Inc"
DDOG,2024-01-12,21:25:32,D6C356,Datadog Inc.,100,-0.49,insider-trading,,"Dir Le-Quoc Sells 127,105 Of Datadog Inc",TABULAR-MATERIAL,Dow Jones Newswires,"Officer/Dir Le-Quoc Sells 127,105 Of Datadog Inc >DDOG"
DDOG,2024-01-16,13:39:32,D6C356,Datadog Inc.,100,0.95,analyst-ratings,positive,Datadog Initiated at Outperform by BMO Capital,NEWS-FLASH,Dow Jones Newswires,Datadog Initiated at Outperform by BMO Capital
DDOG,2024-01-16,13:39:32,D6C356,Datadog Inc.,100,0.0,price-targets,set,Datadog Price Target Announced at $140.00/Share by BMO Capital,NEWS-FLASH,Dow Jones Newswires,Datadog Price Target Announced at $140.00/Share by BMO Capital
DDOG,2024-01-16,19:12:32,D6C356,Datadog Inc.,100,0.34,analyst-ratings,neutral,Datadog Is Maintained at Buy by Truist Securities,NEWS-FLASH,Dow Jones Newswires,Datadog Is Maintained at Buy by Truist Securities
DDOG,2024-01-16,19:12:32,D6C356,Datadog Inc.,100,0.78,price-targets,upgrade,Datadog Price Target Raised to $140.00/Share From $120.00 by Truist Securities,NEWS-FLASH,Dow Jones Newswires,Datadog Price Target Raised to $140.00/Share From $120.00 by Truist Securities
DDOG,2024-01-16,21:05:03,D6C356,Datadog Inc.,100,0.0,investor-relations,,Datadog Announces Date of Fourth Quarter and Fiscal Year 2023 Earnings Call,PRESS-RELEASE,PR Newswire,Datadog Announces Date of Fourth Quarter and Fiscal Year 2023 Earnings Call
DDOG,2024-01-16,21:05:03,D6C356,Datadog Inc.,100,0.0,investor-relations,,Datadog Announces Date of Fourth Quarter and Fiscal Year 2023 Earnings Call,PRESS-RELEASE,PR Newswire,Datadog Announces Date of Fourth Quarter and Fiscal Year 2023 Earnings Call
DDOG,2024-01-16,21:05:23,D6C356,Datadog Inc.,100,0.0,investor-relations,,Datadog Announces Date of Fourth Quarter and Fiscal Year 2023 Earnings Call,PRESS-RELEASE,Dow Jones Newswires,Press Release: Datadog Announces Date of Fourth Quarter and Fiscal Year 2023 Earnings Call
DDOG,2024-01-16,21:05:23,D6C356,Datadog Inc.,100,0.0,investor-relations,,Datadog Announces Date of Fourth Quarter and Fiscal Year 2023 Earnings Call,PRESS-RELEASE,Dow Jones Newswires,Press Release: Datadog Announces Date of Fourth Quarter and Fiscal Year 2023 Earnings Call
DDOG,2024-01-17,21:25:13,D6C356,Datadog Inc.,100,-0.48,insider-trading,,"Officer Walters Registers 10,006 Of Datadog Inc >DDOG",RNS-SEC144,Dow Jones Newswires,"Officer Walters Registers 10,006 Of Datadog Inc >DDOG"
DDOG,2024-01-19,21:14:36,D6C356,Datadog Inc.,100,-0.49,insider-trading,,"Officer Walters Sells 10,006 Of Datadog Inc",TABULAR-MATERIAL,Dow Jones Newswires,"Officer Walters Sells 10,006 Of Datadog Inc >DDOG"
