ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
DLTR,2021-01-21,08:27:55,143C52,Dollar Tree Inc.,100,0.0,investor-relations,,"Dollar Tree Inc, Inst Holders, 4Q 2020 (DLTR)",RNS-SEC13F,Dow Jones Newswires,"Dollar Tree Inc, Inst Holders, 4Q 2020 (DLTR)"
DLTR,2021-02-04,15:00:07,143C52,Dollar Tree Inc.,100,0.49,partnerships,,Instacart and Family Dollar Partner to Launch,PRESS-RELEASE,PR Newswire,Instacart and Family Dollar Partner to Launch National Same-day Delivery
DLTR,2021-02-04,15:00:07,143C52,Dollar Tree Inc.,100,0.49,partnerships,,Instacart and Family Dollar Partner to Launch,PRESS-RELEASE,Dow Jones Newswires,Press Release: Instacart and Family Dollar Partner to Launch National Same-day Delivery
DLTR,2021-02-04,15:00:44,143C52,Dollar Tree Inc.,100,0.49,partnerships,,Instacart and Family Dollar Partner to Launch,NEWS-FLASH,Dow Jones Newswires,Instacart and Family Dollar Partner to Launch National Same-day Delivery
DLTR,2021-02-15,12:30:00,143C52,Dollar Tree Inc.,100,0.26,corporate-responsibility,,Family Dollar Donated $2.7 Million to Charitable Partners in 2020,PRESS-RELEASE,Business Wire,Dollar Tree and Family Dollar Donated $2.7 Million to Charitable Partners in 2020
DLTR,2021-02-15,12:30:00,143C52,Dollar Tree Inc.,100,0.49,partnerships,,Dollar Tree Inc.: the Company announced its new partnership with UWSHR in 2020,PRESS-RELEASE,Business Wire,Dollar Tree and Family Dollar Donated $2.7 Million to Charitable Partners in 2020
DLTR,2021-02-16,16:19:38,143C52,Dollar Tree Inc.,100,0.34,analyst-ratings,neutral,Dollar Tree Is Maintained at Overweight by JP Morgan,NEWS-FLASH,Dow Jones Newswires,Dollar Tree Is Maintained at Overweight by JP Morgan
DLTR,2021-02-16,16:19:38,143C52,Dollar Tree Inc.,100,0.46,price-targets,upgrade,Dollar Tree Price Target Raised to $134.00/Share From $130.00 by JP Morgan,NEWS-FLASH,Dow Jones Newswires,Dollar Tree Price Target Raised to $134.00/Share From $130.00 by JP Morgan
DLTR,2021-02-17,12:30:00,143C52,Dollar Tree Inc.,100,0.0,investor-relations,,"Dollar Tree, Inc. to Host Fourth Quarter Earnings Conference Call",PRESS-RELEASE,Business Wire,"Dollar Tree, Inc. to Host Fourth Quarter Earnings Conference Call"
DLTR,2021-02-17,12:30:00,143C52,Dollar Tree Inc.,100,0.0,investor-relations,,Dollar Tree Inc.: At least 5 minutes prior to the conference call,PRESS-RELEASE,Business Wire,"Dollar Tree, Inc. to Host Fourth Quarter Earnings Conference Call"
DLTR,2021-02-17,12:30:54,143C52,Dollar Tree Inc.,100,0.0,investor-relations,,"Dollar Tree, Inc. to Host Fourth Quarter Earnings Conference Call",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Dollar Tree, Inc. to Host Fourth Quarter Earnings Conference Call"
DLTR,2021-02-17,12:30:54,143C52,Dollar Tree Inc.,100,0.0,investor-relations,,Dollar Tree Inc.: At least 5 minutes prior to the conference call,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Dollar Tree, Inc. to Host Fourth Quarter Earnings Conference Call"
DLTR,2021-02-25,15:56:00,143C52,Dollar Tree Inc.,100,-0.98,analyst-ratings,negative,Dollar Tree double downgraded to underperform from buy at BofA Securities,NEWS-FLASH,MarketWatch,MW Dollar Tree double downgraded to underperform from buy at BofA Securities
DLTR,2021-03-03,12:30:00,143C52,Dollar Tree Inc.,100,0.38,revenues,up,Dollar Tree 4Q Same-Store Sales Up 4.9% >DLTR,NEWS-FLASH,Dow Jones Newswires,Dollar Tree 4Q Same-Store Sales Up 4.9% >DLTR
DLTR,2021-03-03,12:30:00,143C52,Dollar Tree Inc.,100,0.0,revenues,,Dollar Tree 4Q Sales $6.77B >DLTR,NEWS-FLASH,Dow Jones Newswires,Dollar Tree 4Q Sales $6.77B >DLTR
DLTR,2021-03-03,12:30:00,143C52,Dollar Tree Inc.,100,0.61,earnings,positive,Dollar Tree 4Q Net $502.8M,NEWS-FLASH,Dow Jones Newswires,Dollar Tree 4Q Net $502.8M >DLTR
DLTR,2021-03-03,12:30:00,143C52,Dollar Tree Inc.,100,0.61,earnings,positive,Dollar Tree 4Q EPS $2.13,NEWS-FLASH,Dow Jones Newswires,Dollar Tree 4Q EPS $2.13 >DLTR
DLTR,2021-03-03,12:30:01,143C52,Dollar Tree Inc.,100,0.61,earnings,positive,Dollar Tree Inc.: Net income in the fourth quarter was $502.8 million,PRESS-RELEASE,Business Wire,"Dollar Tree, Inc. Reports Results for the Fourth Quarter and Fiscal Year 2020"
DLTR,2021-03-03,12:30:01,143C52,Dollar Tree Inc.,100,0.61,earnings,positive,Dollar Tree Inc.: Net income for fiscal 2020 was $1.34 billion,PRESS-RELEASE,Business Wire,"Dollar Tree, Inc. Reports Results for the Fourth Quarter and Fiscal Year 2020"
DLTR,2021-03-03,12:30:01,143C52,Dollar Tree Inc.,99,0.0,revenues,,"Dollar Tree Inc.: Total net sales $6,767.9 $6,315.3",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Dollar Tree, Inc. Reports Results -3-"
