ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
DPZ,2021-01-04,13:13:04,24D81E,Domino's Pizza Inc.,97,0.53,labor-issues,,Domino's Pizza Inc.: As CEO of Domino's Pizza,PRESS-RELEASE,PR Newswire,Former Domino's Pizza China CEO Joins CEO Coaching International
DPZ,2021-01-05,23:08:56,24D81E,Domino's Pizza Inc.,99,0.46,equity-actions,,"Domino's' business, investing in technology",FULL-ARTICLE,Dow Jones Newswires,Former Domino's Pizza CFO Joins Scrubs Startup
DPZ,2021-01-05,23:08:56,24D81E,Domino's Pizza Inc.,99,0.0,equity-actions,,Domino's Pizza Inc.: The company has raised $75 million,FULL-ARTICLE,Dow Jones Newswires,Former Domino's Pizza CFO Joins Scrubs Startup
DPZ,2021-01-06,00:10:03,24D81E,Domino's Pizza Inc.,99,0.46,equity-actions,,"Domino's' business, investing in technology",FULL-ARTICLE,Dow Jones Newswires,Former Domino's Pizza CFO Joins Scrubs Startup
DPZ,2021-01-06,00:10:03,24D81E,Domino's Pizza Inc.,99,0.0,equity-actions,,Domino's Pizza Inc.: The company has raised $75 million,FULL-ARTICLE,Dow Jones Newswires,Former Domino's Pizza CFO Joins Scrubs Startup
DPZ,2021-01-07,12:02:09,24D81E,Domino's Pizza Inc.,100,-0.58,analyst-ratings,negative,Domino's Pizza Cut to Equal-Weight From Overweight by Stephens,NEWS-FLASH,Dow Jones Newswires,Domino's Pizza Cut to Equal-Weight From Overweight by Stephens & Co.
DPZ,2021-01-07,12:02:09,24D81E,Domino's Pizza Inc.,100,-0.82,price-targets,downgrade,Domino's Pizza Price Target Cut to $360.00/Share From $440.00 by Stephens,NEWS-FLASH,Dow Jones Newswires,Domino's Pizza Price Target Cut to $360.00/Share From $440.00 by Stephens & Co.
DPZ,2021-01-07,17:01:50,24D81E,Domino's Pizza Inc.,100,0.0,analyst-ratings,neutral,Domino's Pizza Is Maintained at Neutral by MKM Partners,NEWS-FLASH,Dow Jones Newswires,Domino's Pizza Is Maintained at Neutral by MKM Partners
DPZ,2021-01-07,17:01:50,24D81E,Domino's Pizza Inc.,100,-0.22,price-targets,downgrade,Domino's Pizza Price Target Cut to $440.00/Share From $445.00 by MKM Partners,NEWS-FLASH,Dow Jones Newswires,Domino's Pizza Price Target Cut to $440.00/Share From $445.00 by MKM Partners
DPZ,2021-01-07,22:31:35,24D81E,Domino's Pizza Inc.,99,0.49,partnerships,,"In 2019, Domino's announced a partnership with Nuro",PRESS-RELEASE,PR Newswire,Domino's Pizza(R) Announces ICR Conference Presentation Webcast
DPZ,2021-01-07,22:31:36,24D81E,Domino's Pizza Inc.,99,0.49,partnerships,,"In 2019, Domino's announced a partnership with Nuro",PRESS-RELEASE,Dow Jones Newswires,Press Release: Domino's Pizza(R) Announces ICR Conference Presentation Webcast
DPZ,2021-01-19,17:26:07,24D81E,Domino's Pizza Inc.,100,0.95,analyst-ratings,positive,Domino's Pizza Initiated at Buy by Goldman Sachs,NEWS-FLASH,Dow Jones Newswires,Domino's Pizza Initiated at Buy by Goldman Sachs
DPZ,2021-01-19,17:26:07,24D81E,Domino's Pizza Inc.,100,0.0,price-targets,set,Domino's Pizza Price Target Announced at $425.00/Share by Goldman Sachs,NEWS-FLASH,Dow Jones Newswires,Domino's Pizza Price Target Announced at $425.00/Share by Goldman Sachs
DPZ,2021-01-19,17:27:01,24D81E,Domino's Pizza Inc.,99,0.49,partnerships,,"In 2019, Domino's announced a partnership with Nuro",PRESS-RELEASE,PR Newswire,Domino's Pizza(R) Announces Q4/Year-End 2020 Earnings Webcast
DPZ,2021-01-19,17:27:01,24D81E,Domino's Pizza Inc.,99,0.49,partnerships,,"In 2019, Domino's announced a partnership with Nuro",PRESS-RELEASE,Dow Jones Newswires,Press Release: Domino's Pizza(R) Announces Q4/Year-End 2020 Earnings Webcast
DPZ,2021-01-19,17:55:43,24D81E,Domino's Pizza Inc.,99,0.49,partnerships,,"Domino's Pizza Inc.: In 2019, Domino's announced a partnership with Nuro",PRESS-RELEASE,PR Newswire,"/C O R R E C T I O N -- Domino's Pizza, Inc./"
DPZ,2021-01-21,08:19:22,24D81E,Domino's Pizza Inc.,100,0.0,investor-relations,,"Domino's Pizza Inc, Inst Holders, 4Q 2020 (DPZ)",RNS-SEC13F,Dow Jones Newswires,"Domino's Pizza Inc, Inst Holders, 4Q 2020 (DPZ)"
DPZ,2021-01-29,22:33:02,24D81E,Domino's Pizza Inc.,100,0.0,insider-trading,,Cfo Levy Surrenders 68 Of Domino's Pizza Inc >DPZ,TABULAR-MATERIAL,Dow Jones Newswires,CFO Levy Surrenders 68 Of Domino's Pizza Inc >DPZ
