ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
EBAY,2024-01-09,11:22:36,972356,eBay Inc.,100,0.01,analyst-ratings,neutral,Ebay Initiated at Market Perform by BMO Capital,NEWS-FLASH,Dow Jones Newswires,eBay Initiated at Market Perform by BMO Capital
EBAY,2024-01-09,11:22:36,972356,eBay Inc.,100,0.0,price-targets,set,Ebay Price Target Announced at $49.00/Share by BMO Capital,NEWS-FLASH,Dow Jones Newswires,eBay Price Target Announced at $49.00/Share by BMO Capital
EBAY,2024-01-11,18:45:59,972356,eBay Inc.,100,0.58,products-services,,Ebay Inc. Reaches Agreement with U.S.,PRESS-RELEASE,PR Newswire,eBay Inc. Reaches Agreement with U.S. Attorney's Office for the District of Massachusetts
EBAY,2024-01-11,18:46:30,972356,eBay Inc.,100,0.58,products-services,,Ebay Reaches Agreement With U.S.,NEWS-FLASH,Dow Jones Newswires,EBay Reaches Agreement With U.S. Attorney's Office for District of Massachusetts
EBAY,2024-01-11,18:47:52,972356,eBay Inc.,100,0.58,products-services,,Ebay Inc. Reaches Agreement with U.S.,PRESS-RELEASE,Dow Jones Newswires,Press Release: eBay Inc. Reaches Agreement with U.S. Attorney's Office for the District of Massachusetts
EBAY,2024-01-11,18:48:08,972356,eBay Inc.,100,-0.57,legal,,Ebay: Required to Pay $3 Million Penalty,NEWS-FLASH,Dow Jones Newswires,EBay: Required to Pay $3 Million Penalty >EBAY
EBAY,2024-01-11,18:50:51,972356,eBay Inc.,100,-0.57,legal,,Ebay to Pay $3 Million Penalty,FULL-ARTICLE,Dow Jones Newswires,"EBay to Pay $3 Million Penalty for Employees Sending Live Cockroaches, Fetal Pig to Bloggers -- WSJ"
EBAY,2024-01-11,19:11:30,972356,eBay Inc.,100,-0.57,legal,,Ebay to pay $3 million fine after,FULL-ARTICLE,MarketWatch,"MW EBay to pay $3 million fine after members of its security team sent fetal pig, live spiders to critical bloggers"
EBAY,2024-01-11,20:19:22,972356,eBay Inc.,100,-0.57,legal,,Ebay to Pay $3 Million Penalty,FULL-ARTICLE,Dow Jones Newswires,"EBay to Pay $3 Million Penalty for Employees Sending Live Cockroaches, Fetal Pig to Bloggers -- Update"
EBAY,2024-01-11,20:50:58,972356,eBay Inc.,100,-0.57,legal,,Ebay to pay $3 million fine after,FULL-ARTICLE,MarketWatch,"MW EBay to pay $3 million fine after security team sent pig, spiders to critics"
