ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
ED,2024-01-02,21:00:04,97AAF6,Consolidated Edison Inc.,100,0.0,marketing,,"Chief Financial Officer of Con Edison, will attend the Goldman Sachs Energy, CleanTech & Utilities Conference in Florida",PRESS-RELEASE,PR Newswire,Con Edison Executives to Attend Investor Conferences In January 2024
ED,2024-01-02,21:03:11,97AAF6,Consolidated Edison Inc.,100,0.0,marketing,,"Chief Financial Officer of Con Edison, will attend the Goldman Sachs Energy, CleanTech & Utilities Conference in Florida",PRESS-RELEASE,Dow Jones Newswires,Press Release: Con Edison Executives to Attend Investor Conferences In January 2024
ED,2024-01-03,14:01:33,97AAF6,Consolidated Edison Inc.,100,0.0,price-targets,set,Consolidated Edison started at neutral with $92.50 stock price target at Ladenburg Thalmann,FULL-ARTICLE,MarketWatch,MW Consolidated Edison started at neutral with $92.50 stock price target at Ladenburg Thalmann
ED,2024-01-03,15:06:27,97AAF6,Consolidated Edison Inc.,100,0.01,analyst-ratings,neutral,Consolidated Edison Initiated at Neutral by Ladenburg Thalmann,NEWS-FLASH,Dow Jones Newswires,Consolidated Edison Initiated at Neutral by Ladenburg Thalmann
ED,2024-01-03,15:06:27,97AAF6,Consolidated Edison Inc.,100,0.0,price-targets,set,Consolidated Edison Price Target Announced at $92.50/Share by Ladenburg Thalmann,NEWS-FLASH,Dow Jones Newswires,Consolidated Edison Price Target Announced at $92.50/Share by Ladenburg Thalmann
ED,2024-01-08,21:44:58,97AAF6,Consolidated Edison Inc.,100,0.52,insider-trading,,Cfo Hoglund Buys 150 Of Consolidated Edison Inc >ED,FULL-ARTICLE,Dow Jones Newswires,CFO Hoglund Buys 150 Of Consolidated Edison Inc >ED
ED,2024-01-16,21:00:03,97AAF6,Consolidated Edison Inc.,100,0.0,earnings,,Con Edison to Report 2023 Earnings on February 15,PRESS-RELEASE,PR Newswire,Con Edison to Report 2023 Earnings on February 15
ED,2024-01-16,21:00:03,97AAF6,Consolidated Edison Inc.,100,0.0,earnings,,Con Edison to Report 2023 Earnings on February 15,PRESS-RELEASE,Dow Jones Newswires,Press Release: Con Edison to Report 2023 Earnings on February 15
ED,2024-01-18,21:36:24,97AAF6,Consolidated Edison Inc.,100,0.0,dividends,,Nyse: ED) declared a quarterly dividend of 83 cents a share,PRESS-RELEASE,PR Newswire,CON EDISON DECLARES COMMON STOCK DIVIDEND
ED,2024-01-18,21:36:24,97AAF6,Consolidated Edison Inc.,100,0.62,dividends,up,Consolidated Edison Inc.: Dividend Increases,PRESS-RELEASE,PR Newswire,CON EDISON DECLARES COMMON STOCK DIVIDEND
ED,2024-01-18,21:36:25,97AAF6,Consolidated Edison Inc.,100,0.0,dividends,,Nyse: ED) declared a quarterly dividend of 83 cents a share,PRESS-RELEASE,Dow Jones Newswires,Press Release: CON EDISON DECLARES COMMON STOCK DIVIDEND
ED,2024-01-18,21:36:25,97AAF6,Consolidated Edison Inc.,100,0.62,dividends,up,Consolidated Edison Inc.: Dividend Increases,PRESS-RELEASE,Dow Jones Newswires,Press Release: CON EDISON DECLARES COMMON STOCK DIVIDEND
ED,2024-01-18,21:39:44,97AAF6,Consolidated Edison Inc.,100,0.62,dividends,up,Consolidated Edison Raises Dividend to 83c,NEWS-FLASH,Dow Jones Newswires,Consolidated Edison Raises Dividend to 83c >ED
ED,2024-01-18,22:00:54,97AAF6,Consolidated Edison Inc.,100,0.62,dividends,up,Con Edison Raises Quarterly Dividend to 83 Cents per Share,FULL-ARTICLE,Dow Jones Newswires,Con Edison Raises Quarterly Dividend to 83 Cents per Share
ED,2024-01-22,14:39:25,97AAF6,Consolidated Edison Inc.,100,0.0,analyst-ratings,neutral,Consolidated Edison Is Maintained at Equal-Weight by Barclays,NEWS-FLASH,Dow Jones Newswires,Consolidated Edison Is Maintained at Equal-Weight by Barclays
ED,2024-01-22,14:39:25,97AAF6,Consolidated Edison Inc.,100,-0.4,price-targets,downgrade,Consolidated Edison Price Target Cut to $86.00/Share From $88.00 by Barclays,NEWS-FLASH,Dow Jones Newswires,Consolidated Edison Price Target Cut to $86.00/Share From $88.00 by Barclays
