ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
EG,2024-06-03,11:00:01,32D72C,EnGlobe Corp.,100,0.65,acquisitions-mergers,,Colliers To Acquire Leading Canadian Engineering Firm Englobe,NEWS-FLASH,Dow Jones Newswires,Colliers To Acquire Leading Canadian Engineering Firm Englobe >CIGI
EG,2024-06-03,11:00:01,32D72C,EnGlobe Corp.,100,0.65,acquisitions-mergers,,Colliers to Acquire Leading Canadian Engineering Firm Englobe,PRESS-RELEASE,GlobeNewswire,Colliers to Acquire Leading Canadian Engineering Firm Englobe
EG,2024-06-03,11:00:01,32D72C,EnGlobe Corp.,100,0.65,acquisitions-mergers,,Colliers to Acquire Leading Canadian Engineering Firm Englobe,PRESS-RELEASE,Dow Jones Newswires,Press Release: Colliers to Acquire Leading Canadian Engineering Firm Englobe
EG,2024-06-03,11:00:54,32D72C,EnGlobe Corp.,100,0.18,acquisitions-mergers,,Colliers Intl Group Will Acquire a Significant Controlling Interest in Englobe,NEWS-FLASH,Dow Jones Newswires,Colliers Intl Group Will Acquire a Significant Controlling Interest in Englobe for $475M in Cash Payable at Closing >CIGI
EG,2024-06-03,11:30:13,32D72C,EnGlobe Corp.,98,-0.34,equity-actions,decrease,Agreement to sell its ownership interest in Englobe Corporation,PRESS-RELEASE,GlobeNewswire,ONCAP Announces Sale of Englobe's Engineering Services Business
EG,2024-06-03,11:42:32,32D72C,EnGlobe Corp.,100,0.18,acquisitions-mergers,,Colliers International to Acquire Controlling Stake in Englobe for $475M,FULL-ARTICLE,Dow Jones Newswires,Colliers International to Acquire Controlling Stake in Englobe for $475M
EG,2024-07-30,11:00:31,32D72C,EnGlobe Corp.,100,0.57,acquisitions-mergers,completed,Colliers Completes Acquisition Of Englobe >CIGI,NEWS-FLASH,Dow Jones Newswires,Colliers Completes Acquisition Of Englobe >CIGI
EG,2024-07-30,11:00:31,32D72C,EnGlobe Corp.,100,0.57,acquisitions-mergers,completed,Colliers Completes Acquisition of Englobe,PRESS-RELEASE,GlobeNewswire,Colliers Completes Acquisition of Englobe
EG,2024-07-30,11:00:31,32D72C,EnGlobe Corp.,100,0.57,acquisitions-mergers,completed,Colliers Completes Acquisition of Englobe,PRESS-RELEASE,Dow Jones Newswires,Press Release: Colliers Completes Acquisition of Englobe
EG,2024-06-03,11:00:01,32D72C,EnGlobe Corp.,100,0.65,acquisitions-mergers,,Colliers To Acquire Leading Canadian Engineering Firm Englobe,NEWS-FLASH,Dow Jones Newswires,Colliers To Acquire Leading Canadian Engineering Firm Englobe >CIGI
EG,2024-06-03,11:00:01,32D72C,EnGlobe Corp.,100,0.65,acquisitions-mergers,,Colliers to Acquire Leading Canadian Engineering Firm Englobe,PRESS-RELEASE,GlobeNewswire,Colliers to Acquire Leading Canadian Engineering Firm Englobe
EG,2024-06-03,11:00:01,32D72C,EnGlobe Corp.,100,0.65,acquisitions-mergers,,Colliers to Acquire Leading Canadian Engineering Firm Englobe,PRESS-RELEASE,Dow Jones Newswires,Press Release: Colliers to Acquire Leading Canadian Engineering Firm Englobe
EG,2024-06-03,11:00:54,32D72C,EnGlobe Corp.,100,0.18,acquisitions-mergers,,Colliers Intl Group Will Acquire a Significant Controlling Interest in Englobe,NEWS-FLASH,Dow Jones Newswires,Colliers Intl Group Will Acquire a Significant Controlling Interest in Englobe for $475M in Cash Payable at Closing >CIGI
EG,2024-06-03,11:30:13,32D72C,EnGlobe Corp.,98,-0.34,equity-actions,decrease,Agreement to sell its ownership interest in Englobe Corporation,PRESS-RELEASE,GlobeNewswire,ONCAP Announces Sale of Englobe's Engineering Services Business
EG,2024-06-03,11:42:32,32D72C,EnGlobe Corp.,100,0.18,acquisitions-mergers,,Colliers International to Acquire Controlling Stake in Englobe for $475M,FULL-ARTICLE,Dow Jones Newswires,Colliers International to Acquire Controlling Stake in Englobe for $475M
EG,2024-07-30,11:00:31,32D72C,EnGlobe Corp.,100,0.57,acquisitions-mergers,completed,Colliers Completes Acquisition Of Englobe >CIGI,NEWS-FLASH,Dow Jones Newswires,Colliers Completes Acquisition Of Englobe >CIGI
EG,2024-07-30,11:00:31,32D72C,EnGlobe Corp.,100,0.57,acquisitions-mergers,completed,Colliers Completes Acquisition of Englobe,PRESS-RELEASE,GlobeNewswire,Colliers Completes Acquisition of Englobe
EG,2024-07-30,11:00:31,32D72C,EnGlobe Corp.,100,0.57,acquisitions-mergers,completed,Colliers Completes Acquisition of Englobe,PRESS-RELEASE,Dow Jones Newswires,Press Release: Colliers Completes Acquisition of Englobe
EG,2024-06-03,11:00:01,32D72C,EnGlobe Corp.,100,0.65,acquisitions-mergers,,Colliers To Acquire Leading Canadian Engineering Firm Englobe,NEWS-FLASH,Dow Jones Newswires,Colliers To Acquire Leading Canadian Engineering Firm Englobe >CIGI
EG,2024-06-03,11:00:01,32D72C,EnGlobe Corp.,100,0.65,acquisitions-mergers,,Colliers to Acquire Leading Canadian Engineering Firm Englobe,PRESS-RELEASE,GlobeNewswire,Colliers to Acquire Leading Canadian Engineering Firm Englobe
EG,2024-06-03,11:00:01,32D72C,EnGlobe Corp.,100,0.65,acquisitions-mergers,,Colliers to Acquire Leading Canadian Engineering Firm Englobe,PRESS-RELEASE,Dow Jones Newswires,Press Release: Colliers to Acquire Leading Canadian Engineering Firm Englobe
EG,2024-06-03,11:00:54,32D72C,EnGlobe Corp.,100,0.18,acquisitions-mergers,,Colliers Intl Group Will Acquire a Significant Controlling Interest in Englobe,NEWS-FLASH,Dow Jones Newswires,Colliers Intl Group Will Acquire a Significant Controlling Interest in Englobe for $475M in Cash Payable at Closing >CIGI
EG,2024-06-03,11:30:13,32D72C,EnGlobe Corp.,98,-0.34,equity-actions,decrease,Agreement to sell its ownership interest in Englobe Corporation,PRESS-RELEASE,GlobeNewswire,ONCAP Announces Sale of Englobe's Engineering Services Business
