ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
EIX,2024-01-02,10:58:53,E10D31,Edison International Co.,100,0.0,analyst-ratings,neutral,Edison International Is Maintained at Equal-Weight by Barclays,NEWS-FLASH,Dow Jones Newswires,Edison International Is Maintained at Equal-Weight by Barclays
EIX,2024-01-02,10:58:53,E10D31,Edison International Co.,100,0.68,price-targets,upgrade,Edison International Price Target Raised to $72.00/Share From $67.00 by Barclays,NEWS-FLASH,Dow Jones Newswires,Edison International Price Target Raised to $72.00/Share From $67.00 by Barclays
EIX,2024-01-04,22:23:24,E10D31,Edison International Co.,100,0.52,insider-trading,,"Vp Anderson Acquires 1,044 Of Edison International >EIX",FULL-ARTICLE,Dow Jones Newswires,"VP Anderson Acquires 1,044 Of Edison International >EIX"
EIX,2024-01-04,22:24:24,E10D31,Edison International Co.,100,0.52,insider-trading,,"Vp Choi Acquires 2,079 Of Edison International >EIX",FULL-ARTICLE,Dow Jones Newswires,"VP Choi Acquires 2,079 Of Edison International >EIX"
EIX,2024-01-04,22:26:48,E10D31,Edison International Co.,100,0.52,insider-trading,,"Ceo Pizarro Acquires 24,639 Of Edison International >EIX",FULL-ARTICLE,Dow Jones Newswires,"CEO Pizarro Acquires 24,639 Of Edison International >EIX"
EIX,2024-01-04,22:30:20,E10D31,Edison International Co.,100,0.52,insider-trading,,"Officer Powell Acquires 4,030 Of Edison International >EIX",FULL-ARTICLE,Dow Jones Newswires,"Officer Powell Acquires 4,030 Of Edison International >EIX"
EIX,2024-01-04,22:31:59,E10D31,Edison International Co.,100,0.52,insider-trading,,"Cfo Rigatti Acquires 8,498 Of Edison International >EIX",FULL-ARTICLE,Dow Jones Newswires,"CFO Rigatti Acquires 8,498 Of Edison International >EIX"
EIX,2024-01-04,22:33:47,E10D31,Edison International Co.,100,0.52,insider-trading,,"Vp Umanoff Acquires 4,689 Of Edison International >EIX",FULL-ARTICLE,Dow Jones Newswires,"VP Umanoff Acquires 4,689 Of Edison International >EIX"
EIX,2024-01-04,22:36:08,E10D31,Edison International Co.,100,0.52,insider-trading,,"Vp Murphy Acquires 2,510 Of Edison International >EIX",FULL-ARTICLE,Dow Jones Newswires,"VP Murphy Acquires 2,510 Of Edison International >EIX"
EIX,2024-01-04,22:39:50,E10D31,Edison International Co.,100,0.52,insider-trading,,Vp Schilling Acquires 661 Of Edison International >EIX,FULL-ARTICLE,Dow Jones Newswires,VP Schilling Acquires 661 Of Edison International >EIX
EIX,2024-01-08,16:15:13,E10D31,Edison International Co.,100,0.16,credit-ratings,set,Fitch Rates Southern California Edison's First & Refunding Mortgage Bonds 'A-,NEWS-FLASH,Dow Jones Newswires,Fitch Rates Southern California Edison's First & Refunding Mortgage Bonds 'A-'
EIX,2024-01-08,16:15:13,E10D31,Edison International Co.,100,0.16,credit-ratings,set,Fitch Rates Southern California Edison's First & Refunding Mortgage Bonds 'A-,PRESS-RELEASE,Dow Jones Newswires,Press Release: Fitch Rates Southern California Edison's First & Refunding Mortgage Bonds 'A-'
EIX,2024-01-22,14:40:36,E10D31,Edison International Co.,100,0.0,analyst-ratings,neutral,Edison International Is Maintained at Equal-Weight by Barclays,NEWS-FLASH,Dow Jones Newswires,Edison International Is Maintained at Equal-Weight by Barclays
EIX,2024-01-22,14:40:36,E10D31,Edison International Co.,100,-0.52,price-targets,downgrade,Edison International Price Target Cut to $69.00/Share From $72.00 by Barclays,NEWS-FLASH,Dow Jones Newswires,Edison International Price Target Cut to $69.00/Share From $72.00 by Barclays
EIX,2024-01-22,14:53:35,E10D31,Edison International Co.,100,0.94,analyst-ratings,positive,Edison International Raised to Buy From Neutral by Guggenheim,NEWS-FLASH,Dow Jones Newswires,Edison International Raised to Buy From Neutral by Guggenheim
EIX,2024-01-22,14:53:36,E10D31,Edison International Co.,100,0.8,price-targets,upgrade,Edison International Price Target Raised to $84.00/Share From $66.00 by Guggenheim,NEWS-FLASH,Dow Jones Newswires,Edison International Price Target Raised to $84.00/Share From $66.00 by Guggenheim
