ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
EPAM,2024-01-04,12:14:30,88923D,EPAM Systems Inc.,100,0.94,analyst-ratings,positive,Epam Systems Raised to Outperform From Peer Perform by Wolfe Research,NEWS-FLASH,Dow Jones Newswires,EPAM Systems Raised to Outperform From Peer Perform by Wolfe Research
EPAM,2024-01-04,18:03:11,88923D,EPAM Systems Inc.,100,0.34,analyst-ratings,neutral,Epam Systems Is Maintained at Overweight by Piper Sandler,NEWS-FLASH,Dow Jones Newswires,EPAM Systems Is Maintained at Overweight by Piper Sandler
EPAM,2024-01-04,18:03:11,88923D,EPAM Systems Inc.,100,0.8,price-targets,upgrade,Epam Systems Price Target Raised to $339.00/Share From $265.00 by Piper Sandler,NEWS-FLASH,Dow Jones Newswires,EPAM Systems Price Target Raised to $339.00/Share From $265.00 by Piper Sandler
EPAM,2024-01-10,15:02:04,88923D,EPAM Systems Inc.,99,0.58,indexes,,"In 2021, EPAM was added to the S&P 500",PRESS-RELEASE,PR Newswire,"EPAM Recognized as a 'Best Place to Work' Across the World by Glassdoor, Built In and kununu"
EPAM,2024-01-11,14:38:31,88923D,EPAM Systems Inc.,100,-0.58,analyst-ratings,negative,Epam Systems Cut to Hold From Buy by Jefferies,NEWS-FLASH,Dow Jones Newswires,EPAM Systems Cut to Hold From Buy by Jefferies
EPAM,2024-01-11,14:38:31,88923D,EPAM Systems Inc.,100,0.0,price-targets,set,Epam Systems Price Target Announced at $295.00/Share by Jefferies,NEWS-FLASH,Dow Jones Newswires,EPAM Systems Price Target Announced at $295.00/Share by Jefferies
EPAM,2024-01-11,21:00:03,88923D,EPAM Systems Inc.,100,0.0,investor-relations,,Epam Announces Date for Fourth Quarter 2023 Earnings Release and Conference Call,PRESS-RELEASE,PR Newswire,EPAM Announces Date for Fourth Quarter 2023 Earnings Release and Conference Call
EPAM,2024-01-11,21:00:03,88923D,EPAM Systems Inc.,100,0.58,indexes,,"In 2021, EPAM was added to the S&P 500",PRESS-RELEASE,PR Newswire,EPAM Announces Date for Fourth Quarter 2023 Earnings Release and Conference Call
EPAM,2024-01-11,21:00:06,88923D,EPAM Systems Inc.,100,0.0,investor-relations,,Epam Announces Date for Fourth Quarter 2023 Earnings Release and Conference Call,PRESS-RELEASE,Dow Jones Newswires,Press Release: EPAM Announces Date for Fourth Quarter 2023 Earnings Release and Conference Call
EPAM,2024-01-11,21:00:06,88923D,EPAM Systems Inc.,100,0.58,indexes,,"In 2021, EPAM was added to the S&P 500",PRESS-RELEASE,Dow Jones Newswires,Press Release: EPAM Announces Date for Fourth Quarter 2023 Earnings Release and Conference Call
