ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
EQR,2025-05-22,22:44:13,21707B,EQ Resources Ltd.,100,-0.82,price-targets,downgrade,Eq Resources Target Price Cut 23% to A$0.10/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Target Price Cut 23% to A$0.10/Share by Morgans>EQR.AU
EQR,2025-09-16,23:33:26,21707B,EQ Resources Ltd.,100,-0.86,price-targets,downgrade,Eq Resources Price Target Cut 40% to A$0.06/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Price Target Cut 40% to A$0.06/Share by Morgans
EQR,2025-05-22,22:44:13,21707B,EQ Resources Ltd.,100,-0.82,price-targets,downgrade,Eq Resources Target Price Cut 23% to A$0.10/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Target Price Cut 23% to A$0.10/Share by Morgans>EQR.AU
EQR,2025-09-16,23:33:26,21707B,EQ Resources Ltd.,100,-0.86,price-targets,downgrade,Eq Resources Price Target Cut 40% to A$0.06/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Price Target Cut 40% to A$0.06/Share by Morgans
EQR,2025-05-22,22:44:13,21707B,EQ Resources Ltd.,100,-0.82,price-targets,downgrade,Eq Resources Target Price Cut 23% to A$0.10/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Target Price Cut 23% to A$0.10/Share by Morgans>EQR.AU
EQR,2025-09-16,23:33:26,21707B,EQ Resources Ltd.,100,-0.86,price-targets,downgrade,Eq Resources Price Target Cut 40% to A$0.06/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Price Target Cut 40% to A$0.06/Share by Morgans
EQR,2025-05-22,22:44:13,21707B,EQ Resources Ltd.,100,-0.82,price-targets,downgrade,Eq Resources Target Price Cut 23% to A$0.10/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Target Price Cut 23% to A$0.10/Share by Morgans>EQR.AU
EQR,2025-09-16,23:33:26,21707B,EQ Resources Ltd.,100,-0.86,price-targets,downgrade,Eq Resources Price Target Cut 40% to A$0.06/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Price Target Cut 40% to A$0.06/Share by Morgans
EQR,2025-05-22,22:44:13,21707B,EQ Resources Ltd.,100,-0.82,price-targets,downgrade,Eq Resources Target Price Cut 23% to A$0.10/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Target Price Cut 23% to A$0.10/Share by Morgans>EQR.AU
EQR,2025-09-16,23:33:26,21707B,EQ Resources Ltd.,100,-0.86,price-targets,downgrade,Eq Resources Price Target Cut 40% to A$0.06/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Price Target Cut 40% to A$0.06/Share by Morgans
EQR,2025-05-22,22:44:13,21707B,EQ Resources Ltd.,100,-0.82,price-targets,downgrade,Eq Resources Target Price Cut 23% to A$0.10/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Target Price Cut 23% to A$0.10/Share by Morgans>EQR.AU
EQR,2025-09-16,23:33:26,21707B,EQ Resources Ltd.,100,-0.86,price-targets,downgrade,Eq Resources Price Target Cut 40% to A$0.06/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Price Target Cut 40% to A$0.06/Share by Morgans
EQR,2025-05-22,22:44:13,21707B,EQ Resources Ltd.,100,-0.82,price-targets,downgrade,Eq Resources Target Price Cut 23% to A$0.10/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Target Price Cut 23% to A$0.10/Share by Morgans>EQR.AU
EQR,2025-09-16,23:33:26,21707B,EQ Resources Ltd.,100,-0.86,price-targets,downgrade,Eq Resources Price Target Cut 40% to A$0.06/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Price Target Cut 40% to A$0.06/Share by Morgans
EQR,2025-05-22,22:44:13,21707B,EQ Resources Ltd.,100,-0.82,price-targets,downgrade,Eq Resources Target Price Cut 23% to A$0.10/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Target Price Cut 23% to A$0.10/Share by Morgans>EQR.AU
EQR,2025-09-16,23:33:26,21707B,EQ Resources Ltd.,100,-0.86,price-targets,downgrade,Eq Resources Price Target Cut 40% to A$0.06/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Price Target Cut 40% to A$0.06/Share by Morgans
EQR,2025-05-22,22:44:13,21707B,EQ Resources Ltd.,100,-0.82,price-targets,downgrade,Eq Resources Target Price Cut 23% to A$0.10/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Target Price Cut 23% to A$0.10/Share by Morgans>EQR.AU
EQR,2025-09-16,23:33:26,21707B,EQ Resources Ltd.,100,-0.86,price-targets,downgrade,Eq Resources Price Target Cut 40% to A$0.06/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Price Target Cut 40% to A$0.06/Share by Morgans
EQR,2025-05-22,22:44:13,21707B,EQ Resources Ltd.,100,-0.82,price-targets,downgrade,Eq Resources Target Price Cut 23% to A$0.10/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Target Price Cut 23% to A$0.10/Share by Morgans>EQR.AU
EQR,2025-09-16,23:33:26,21707B,EQ Resources Ltd.,100,-0.86,price-targets,downgrade,Eq Resources Price Target Cut 40% to A$0.06/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Price Target Cut 40% to A$0.06/Share by Morgans
EQR,2025-05-22,22:44:13,21707B,EQ Resources Ltd.,100,-0.82,price-targets,downgrade,Eq Resources Target Price Cut 23% to A$0.10/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Target Price Cut 23% to A$0.10/Share by Morgans>EQR.AU
EQR,2025-09-16,23:33:26,21707B,EQ Resources Ltd.,100,-0.86,price-targets,downgrade,Eq Resources Price Target Cut 40% to A$0.06/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Price Target Cut 40% to A$0.06/Share by Morgans
EQR,2025-05-22,22:44:13,21707B,EQ Resources Ltd.,100,-0.82,price-targets,downgrade,Eq Resources Target Price Cut 23% to A$0.10/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Target Price Cut 23% to A$0.10/Share by Morgans>EQR.AU
EQR,2025-09-16,23:33:26,21707B,EQ Resources Ltd.,100,-0.86,price-targets,downgrade,Eq Resources Price Target Cut 40% to A$0.06/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Price Target Cut 40% to A$0.06/Share by Morgans
EQR,2025-05-22,22:44:13,21707B,EQ Resources Ltd.,100,-0.82,price-targets,downgrade,Eq Resources Target Price Cut 23% to A$0.10/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Target Price Cut 23% to A$0.10/Share by Morgans>EQR.AU
EQR,2025-09-16,23:33:26,21707B,EQ Resources Ltd.,100,-0.86,price-targets,downgrade,Eq Resources Price Target Cut 40% to A$0.06/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Price Target Cut 40% to A$0.06/Share by Morgans
EQR,2025-05-22,22:44:13,21707B,EQ Resources Ltd.,100,-0.82,price-targets,downgrade,Eq Resources Target Price Cut 23% to A$0.10/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Target Price Cut 23% to A$0.10/Share by Morgans>EQR.AU
EQR,2025-09-16,23:33:26,21707B,EQ Resources Ltd.,100,-0.86,price-targets,downgrade,Eq Resources Price Target Cut 40% to A$0.06/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Price Target Cut 40% to A$0.06/Share by Morgans
EQR,2025-05-22,22:44:13,21707B,EQ Resources Ltd.,100,-0.82,price-targets,downgrade,Eq Resources Target Price Cut 23% to A$0.10/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Target Price Cut 23% to A$0.10/Share by Morgans>EQR.AU
EQR,2025-09-16,23:33:26,21707B,EQ Resources Ltd.,100,-0.86,price-targets,downgrade,Eq Resources Price Target Cut 40% to A$0.06/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Price Target Cut 40% to A$0.06/Share by Morgans
EQR,2025-05-22,22:44:13,21707B,EQ Resources Ltd.,100,-0.82,price-targets,downgrade,Eq Resources Target Price Cut 23% to A$0.10/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Target Price Cut 23% to A$0.10/Share by Morgans>EQR.AU
EQR,2025-09-16,23:33:26,21707B,EQ Resources Ltd.,100,-0.86,price-targets,downgrade,Eq Resources Price Target Cut 40% to A$0.06/Share by Morgans,NEWS-FLASH,Dow Jones Newswires,EQ Resources Price Target Cut 40% to A$0.06/Share by Morgans
EQR,2024-01-09,21:30:00,AE4EEB,Equity Residential Corp.,99,0.0,earnings,,"Equity Residential Corp.: the Company will release its fourth quarter 2023 operating results on Tuesday, January 30, 2024",PRESS-RELEASE,Business Wire,Equity Residential Announces Fourth Quarter 2023 Earnings Release Date
EQR,2024-01-09,21:30:00,AE4EEB,Equity Residential Corp.,99,0.0,investor-relations,,Equity Residential Corp.: The conference call,PRESS-RELEASE,Business Wire,Equity Residential Announces Fourth Quarter 2023 Earnings Release Date
EQR,2024-01-09,21:53:32,AE4EEB,Equity Residential Corp.,99,0.0,earnings,,"Equity Residential Corp.: the Company will release its fourth quarter 2023 operating results on Tuesday, January 30, 2024",PRESS-RELEASE,Dow Jones Newswires,Press Release: Equity Residential Announces Fourth Quarter 2023 Earnings Release Date
EQR,2024-01-09,21:53:32,AE4EEB,Equity Residential Corp.,99,0.0,investor-relations,,Equity Residential Corp.: The conference call,PRESS-RELEASE,Dow Jones Newswires,Press Release: Equity Residential Announces Fourth Quarter 2023 Earnings Release Date
EQR,2024-01-10,16:05:49,AE4EEB,Equity Residential Corp.,100,0.0,analyst-ratings,neutral,Equity Residential Is Maintained at Neutral by Mizuho,NEWS-FLASH,Dow Jones Newswires,Equity Residential Is Maintained at Neutral by Mizuho
EQR,2024-01-10,16:05:49,AE4EEB,Equity Residential Corp.,100,0.66,price-targets,upgrade,Equity Residential Price Target Raised to $62.00/Share From $58.00 by Mizuho,NEWS-FLASH,Dow Jones Newswires,Equity Residential Price Target Raised to $62.00/Share From $58.00 by Mizuho
EQR,2024-01-17,21:15:00,AE4EEB,Equity Residential Corp.,100,0.0,dividends,,Equity Residential Reports 2023 Dividend,PRESS-RELEASE,Business Wire,Equity Residential Reports 2023 Dividend Income Tax Treatment
EQR,2024-01-17,21:15:01,AE4EEB,Equity Residential Corp.,100,0.0,dividends,,Equity Residential Reports 2023 Dividend,PRESS-RELEASE,Dow Jones Newswires,Press Release: Equity Residential Reports 2023 Dividend Income Tax Treatment
EQR,2024-01-30,21:15:01,AE4EEB,Equity Residential Corp.,100,0.0,earnings,,Equity Residential Reports Fourth Quarter 2023 Results,PRESS-RELEASE,Business Wire,Equity Residential Reports Fourth Quarter 2023 Results
