ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
EQT,2021-01-08,07:00:10,2848F1,EQTEC PLC,99,0.49,partnerships,,EQTEC PLC: our collaboration with EQTEC and ewerGy,PRESS-RELEASE,LSE Regulatory News Service (RNS),EQTEC PLC Nobilis of Greece MOU & growing ewerGy partnership
EQT,2021-01-08,08:25:38,2848F1,EQTEC PLC,100,0.39,products-services,,Eqtec Signs Memorandum of Understanding to Develop Greek,FULL-ARTICLE,Dow Jones Newswires,EQTEC Signs Memorandum of Understanding to Develop Greek Project
EQT,2021-01-25,08:09:06,2848F1,EQTEC PLC,100,0.0,investor-relations,,Eqtec PLC Notice of EGM,PRESS-RELEASE,LSE Regulatory News Service (RNS),EQTEC PLC Notice of EGM
EQT,2021-02-05,07:00:11,2848F1,EQTEC PLC,99,0.22,acquisitions-mergers,,"EQTEC PLC: the Company, purchased 5,200,000 ordinary shares of 0.001 Euro each (""Shares"") at 1.91",PRESS-RELEASE,LSE Regulatory News Service (RNS),EQTEC PLC Directors' Dealings
EQT,2021-02-05,07:00:11,2848F1,EQTEC PLC,99,0.59,equity-actions,,"EQTEC PLC: the Company, sold 25,000,000 Shares at 1.91 pence",PRESS-RELEASE,LSE Regulatory News Service (RNS),EQTEC PLC Directors' Dealings
EQT,2021-02-09,11:38:29,2848F1,EQTEC PLC,100,0.49,partnerships,,Eqtec PLC Exclusive collaboration agreement,PRESS-RELEASE,LSE Regulatory News Service (RNS),EQTEC PLC Exclusive collaboration agreement with Logik
EQT,2021-02-09,12:02:40,2848F1,EQTEC PLC,100,0.49,partnerships,,Eqtec Signs Partnership,FULL-ARTICLE,Dow Jones Newswires,EQTEC Signs Partnership to Develop Waste-To-Energy Projects in the UK
EQT,2021-02-26,07:00:21,2848F1,EQTEC PLC,99,0.39,products-services,,EQTEC PLC: The acquisition of the Project Site,PRESS-RELEASE,LSE Regulatory News Service (RNS),EQTEC PLC Billingham Project Land Purchase Agreement
EQT,2021-03-11,07:00:21,2848F1,EQTEC PLC,100,0.49,partnerships,,Toyota and EQTEC will work together towards,PRESS-RELEASE,LSE Regulatory News Service (RNS),EQTEC PLC Collaboration Framework Agreement with Toyota
EQT,2021-03-11,08:20:00,2848F1,EQTEC PLC,100,0.39,products-services,,EQTEC PLC: the company said it had signed a collaboration framework agreement with Toyota Motor Manufacturing (UK) Ltd,FULL-ARTICLE,Dow Jones Newswires,EQTEC Shares Rise on Toyota Collaboration Agreement
