ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
ES,2021-01-12,10:09:17,2BAE5F,Eversource Energy Co.,100,0.34,analyst-ratings,neutral,Eversource Energy Is Maintained at Overweight by KeyBanc,NEWS-FLASH,Dow Jones Newswires,Eversource Energy Is Maintained at Overweight by KeyBanc
ES,2021-01-12,10:09:17,2BAE5F,Eversource Energy Co.,100,-0.6,price-targets,downgrade,Eversource Energy Price Target Cut to $93.00/Share From $98.00 by KeyBanc,NEWS-FLASH,Dow Jones Newswires,Eversource Energy Price Target Cut to $93.00/Share From $98.00 by KeyBanc
ES,2021-01-15,14:23:05,2BAE5F,Eversource Energy Co.,100,-0.34,analyst-ratings,neutral,Eversource Energy Is Maintained at Underperform by Credit Suisse,NEWS-FLASH,Dow Jones Newswires,Eversource Energy Is Maintained at Underperform by Credit Suisse
ES,2021-01-15,14:23:05,2BAE5F,Eversource Energy Co.,100,-0.24,price-targets,downgrade,Eversource Energy Price Target Cut to $81.00/Share From $82.00 by Credit Suisse,NEWS-FLASH,Dow Jones Newswires,Eversource Energy Price Target Cut to $81.00/Share From $82.00 by Credit Suisse
ES,2021-01-20,09:11:54,2BAE5F,Eversource Energy Co.,100,0.0,investor-relations,,"Eversource Energy, Inst Holders, 4Q 2020 (ES)",RNS-SEC13F,Dow Jones Newswires,"Eversource Energy, Inst Holders, 4Q 2020 (ES)"
ES,2021-01-20,14:28:12,2BAE5F,Eversource Energy Co.,100,-0.34,analyst-ratings,neutral,Eversource Energy Is Maintained at Underweight by Morgan Stanley,NEWS-FLASH,Dow Jones Newswires,Eversource Energy Is Maintained at Underweight by Morgan Stanley
ES,2021-01-20,14:28:12,2BAE5F,Eversource Energy Co.,100,-0.4,price-targets,downgrade,Eversource Energy Price Target Cut to $81.00/Share From $83.00 by Morgan Stanley,NEWS-FLASH,Dow Jones Newswires,Eversource Energy Price Target Cut to $81.00/Share From $83.00 by Morgan Stanley
ES,2021-01-22,14:44:52,2BAE5F,Eversource Energy Co.,100,-0.34,analyst-ratings,neutral,Eversource Energy Is Maintained at Underweight by Morgan Stanley,NEWS-FLASH,Dow Jones Newswires,Eversource Energy Is Maintained at Underweight by Morgan Stanley
ES,2021-01-22,14:44:52,2BAE5F,Eversource Energy Co.,100,-0.24,price-targets,downgrade,Eversource Energy Price Target Cut to $80.00/Share From $81.00 by Morgan Stanley,NEWS-FLASH,Dow Jones Newswires,Eversource Energy Price Target Cut to $80.00/Share From $81.00 by Morgan Stanley
ES,2021-02-09,21:15:02,2BAE5F,Eversource Energy Co.,100,0.0,dividends,,Eversource Energy Declares Common Dividend,PRESS-RELEASE,Business Wire,Eversource Energy Declares Common Dividend
ES,2021-02-09,21:15:02,2BAE5F,Eversource Energy Co.,100,0.0,dividends,,Eversource Energy Declares Common Dividend,PRESS-RELEASE,Dow Jones Newswires,Press Release: Eversource Energy Declares Common Dividend
ES,2021-02-09,21:26:42,2BAE5F,Eversource Energy Co.,100,0.38,dividends,up,Eversource Energy Raises Dividend to 60.25c Vs. 56.75c,NEWS-FLASH,Dow Jones Newswires,Eversource Energy Raises Dividend to 60.25c Vs. 56.75c >ES
ES,2021-02-10,15:00:01,2BAE5F,Eversource Energy Co.,99,0.0,investor-relations,,Eversource Energy will webcast a conference call with,PRESS-RELEASE,Business Wire,Eversource Energy to Discuss 2020 Results
ES,2021-02-10,15:02:06,2BAE5F,Eversource Energy Co.,99,0.0,investor-relations,,Eversource Energy will webcast a conference call with,PRESS-RELEASE,Dow Jones Newswires,Press Release: Eversource Energy to Discuss 2020 Results
