ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
ESS,2024-06-12,12:46:35,87A6F2,Esstra Industries Inc.,99,-0.57,labor-issues,,Esstra Industries Inc.: The Company also announces the resignation of Virginia Olnick as CEO,PRESS-RELEASE,DJ Global Press Release Wire,"Esstra Industries Welcomes New CEO, Strategic Advisor, and Issues Options"
ESS,2024-10-10,12:46:45,87A6F2,Esstra Industries Inc.,100,0.49,equity-actions,,Miivo Holdings Corp. Announces Private Placement,PRESS-RELEASE,DJ Global Press Release Wire,Miivo Holdings Corp. Announces Private Placement of up to C$1.0 Million
ESS,2024-11-25,13:45:42,87A6F2,Miivo Holdings Corp.,100,0.52,products-services,,Miivo Unveils New Website,PRESS-RELEASE,DJ Global Press Release Wire,MIIVO Unveils New Website and Video Showcasing Vision and Progress
ESS,2024-12-09,13:45:24,87A6F2,Miivo Holdings Corp.,100,0.47,labor-issues,,Miivo Holdings Corp. Appoints Chief Technology Officer and Director,PRESS-RELEASE,DJ Global Press Release Wire,Miivo Holdings Corp. Appoints Chief Technology Officer and Director
ESS,2024-06-12,12:46:35,87A6F2,Esstra Industries Inc.,99,-0.57,labor-issues,,Esstra Industries Inc.: The Company also announces the resignation of Virginia Olnick as CEO,PRESS-RELEASE,DJ Global Press Release Wire,"Esstra Industries Welcomes New CEO, Strategic Advisor, and Issues Options"
ESS,2024-10-10,12:46:45,87A6F2,Esstra Industries Inc.,100,0.49,equity-actions,,Miivo Holdings Corp. Announces Private Placement,PRESS-RELEASE,DJ Global Press Release Wire,Miivo Holdings Corp. Announces Private Placement of up to C$1.0 Million
ESS,2024-11-25,13:45:42,87A6F2,Miivo Holdings Corp.,100,0.52,products-services,,Miivo Unveils New Website,PRESS-RELEASE,DJ Global Press Release Wire,MIIVO Unveils New Website and Video Showcasing Vision and Progress
ESS,2024-12-09,13:45:24,87A6F2,Miivo Holdings Corp.,100,0.47,labor-issues,,Miivo Holdings Corp. Appoints Chief Technology Officer and Director,PRESS-RELEASE,DJ Global Press Release Wire,Miivo Holdings Corp. Appoints Chief Technology Officer and Director
ESS,2024-06-12,12:46:35,87A6F2,Esstra Industries Inc.,99,-0.57,labor-issues,,Esstra Industries Inc.: The Company also announces the resignation of Virginia Olnick as CEO,PRESS-RELEASE,DJ Global Press Release Wire,"Esstra Industries Welcomes New CEO, Strategic Advisor, and Issues Options"
ESS,2024-10-10,12:46:45,87A6F2,Esstra Industries Inc.,100,0.49,equity-actions,,Miivo Holdings Corp. Announces Private Placement,PRESS-RELEASE,DJ Global Press Release Wire,Miivo Holdings Corp. Announces Private Placement of up to C$1.0 Million
ESS,2024-11-25,13:45:42,87A6F2,Miivo Holdings Corp.,100,0.52,products-services,,Miivo Unveils New Website,PRESS-RELEASE,DJ Global Press Release Wire,MIIVO Unveils New Website and Video Showcasing Vision and Progress
ESS,2024-12-09,13:45:24,87A6F2,Miivo Holdings Corp.,100,0.47,labor-issues,,Miivo Holdings Corp. Appoints Chief Technology Officer and Director,PRESS-RELEASE,DJ Global Press Release Wire,Miivo Holdings Corp. Appoints Chief Technology Officer and Director
ESS,2024-06-12,12:46:35,87A6F2,Esstra Industries Inc.,99,-0.57,labor-issues,,Esstra Industries Inc.: The Company also announces the resignation of Virginia Olnick as CEO,PRESS-RELEASE,DJ Global Press Release Wire,"Esstra Industries Welcomes New CEO, Strategic Advisor, and Issues Options"
ESS,2024-10-10,12:46:45,87A6F2,Esstra Industries Inc.,100,0.49,equity-actions,,Miivo Holdings Corp. Announces Private Placement,PRESS-RELEASE,DJ Global Press Release Wire,Miivo Holdings Corp. Announces Private Placement of up to C$1.0 Million
ESS,2024-11-25,13:45:42,87A6F2,Miivo Holdings Corp.,100,0.52,products-services,,Miivo Unveils New Website,PRESS-RELEASE,DJ Global Press Release Wire,MIIVO Unveils New Website and Video Showcasing Vision and Progress
ESS,2024-12-09,13:45:24,87A6F2,Miivo Holdings Corp.,100,0.47,labor-issues,,Miivo Holdings Corp. Appoints Chief Technology Officer and Director,PRESS-RELEASE,DJ Global Press Release Wire,Miivo Holdings Corp. Appoints Chief Technology Officer and Director
ESS,2021-05-12,21:23:51,87A6F2,Esstra Industries Inc.,100,0.47,labor-issues,,Esstra Industries Announces Appointment of New Director,PRESS-RELEASE,DJ Global Press Release Wire,Esstra Industries Announces Appointment of New Director
ESS,2021-05-12,21:23:51,87A6F2,Esstra Industries Inc.,100,-0.65,equity-actions,halt,Esstra Industries Inc.: shares of the Company is halted,PRESS-RELEASE,DJ Global Press Release Wire,Esstra Industries Announces Appointment of New Director
ESS,2021-06-03,20:10:11,87A6F2,Esstra Industries Inc.,100,0.48,equity-actions,resumed,Iiroc Trading Resumption - ESS,PRESS-RELEASE,Canadian News Wire,IIROC Trading Resumption - ESS
ESS,2021-06-03,20:10:12,87A6F2,Esstra Industries Inc.,100,0.48,equity-actions,resumed,Iiroc Trading Resumption - ESS,PRESS-RELEASE,Dow Jones Newswires,Press Release: IIROC Trading Resumption - ESS
ESS,2021-05-12,21:23:51,87A6F2,Esstra Industries Inc.,100,0.47,labor-issues,,Esstra Industries Announces Appointment of New Director,PRESS-RELEASE,DJ Global Press Release Wire,Esstra Industries Announces Appointment of New Director
ESS,2021-05-12,21:23:51,87A6F2,Esstra Industries Inc.,100,-0.65,equity-actions,halt,Esstra Industries Inc.: shares of the Company is halted,PRESS-RELEASE,DJ Global Press Release Wire,Esstra Industries Announces Appointment of New Director
ESS,2021-06-03,20:10:11,87A6F2,Esstra Industries Inc.,100,0.48,equity-actions,resumed,Iiroc Trading Resumption - ESS,PRESS-RELEASE,Canadian News Wire,IIROC Trading Resumption - ESS
ESS,2021-06-03,20:10:12,87A6F2,Esstra Industries Inc.,100,0.48,equity-actions,resumed,Iiroc Trading Resumption - ESS,PRESS-RELEASE,Dow Jones Newswires,Press Release: IIROC Trading Resumption - ESS
ESS,2021-05-12,21:23:51,87A6F2,Esstra Industries Inc.,100,0.47,labor-issues,,Esstra Industries Announces Appointment of New Director,PRESS-RELEASE,DJ Global Press Release Wire,Esstra Industries Announces Appointment of New Director
ESS,2021-05-12,21:23:51,87A6F2,Esstra Industries Inc.,100,-0.65,equity-actions,halt,Esstra Industries Inc.: shares of the Company is halted,PRESS-RELEASE,DJ Global Press Release Wire,Esstra Industries Announces Appointment of New Director
