ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
ETR,2024-01-02,11:03:23,6E7060,Entergy Corp.,100,0.0,analyst-ratings,neutral,Entergy Is Maintained at Equal-Weight by Barclays,NEWS-FLASH,Dow Jones Newswires,Entergy Is Maintained at Equal-Weight by Barclays
ETR,2024-01-02,11:03:23,6E7060,Entergy Corp.,100,0.58,price-targets,upgrade,Entergy Price Target Raised to $104.00/Share From $99.00 by Barclays,NEWS-FLASH,Dow Jones Newswires,Entergy Price Target Raised to $104.00/Share From $99.00 by Barclays
ETR,2024-01-04,21:43:24,6E7060,Entergy Corp.,99,0.46,equity-actions,,Entergy New Orleans recently announced plans to invest $1 billion in,PRESS-RELEASE,PR Newswire,Entergy delivers nearly $500M in economic impact for greater New Orleans region
ETR,2024-01-04,22:16:36,6E7060,Entergy Corp.,99,0.46,equity-actions,,Entergy New Orleans recently announced plans to invest $1 billion in,PRESS-RELEASE,DJ Global Press Release Wire,Entergy Delivers Nearly $500M in Economic Impact for Greater New Orleans Region
ETR,2024-01-23,00:08:23,6E7060,Entergy Corp.,100,0.52,insider-trading,,"Vp Brown Acquires 7,279 Of Entergy Corp >ETR",FULL-ARTICLE,Dow Jones Newswires,"VP Brown Acquires 7,279 Of Entergy Corp >ETR"
ETR,2024-01-23,00:09:15,6E7060,Entergy Corp.,100,0.37,equity-actions,increase,"Holder Chapman Acquires 1,274 Of Entergy Corp",FULL-ARTICLE,Dow Jones Newswires,"Holder Chapman Acquires 1,274 Of Entergy Corp >ETR"
ETR,2024-01-23,00:11:07,6E7060,Entergy Corp.,100,0.52,insider-trading,,"Vp Collins Acquires 3,244 Of Entergy Corp >ETR",FULL-ARTICLE,Dow Jones Newswires,"VP Collins Acquires 3,244 Of Entergy Corp >ETR"
ETR,2024-01-23,00:12:30,6E7060,Entergy Corp.,100,0.52,insider-trading,,"Vp Cook-Nelson Acquires 2,575 Of Entergy Corp >ETR",FULL-ARTICLE,Dow Jones Newswires,"VP Cook-Nelson Acquires 2,575 Of Entergy Corp >ETR"
ETR,2024-01-23,00:13:21,6E7060,Entergy Corp.,100,0.52,insider-trading,,"Officer Fisackerly Acquires 1,498 Of Entergy Corp >ETR",FULL-ARTICLE,Dow Jones Newswires,"Officer Fisackerly Acquires 1,498 Of Entergy Corp >ETR"
ETR,2024-01-23,00:14:02,6E7060,Entergy Corp.,100,0.52,insider-trading,,"Cfo Fontan Acquires 3,328 Of Entergy Corp >ETR",FULL-ARTICLE,Dow Jones Newswires,"CFO Fontan Acquires 3,328 Of Entergy Corp >ETR"
ETR,2024-01-23,00:15:05,6E7060,Entergy Corp.,100,0.52,insider-trading,,"Vp Jackson Acquires 1,188 Of Entergy Corp >ETR",FULL-ARTICLE,Dow Jones Newswires,"VP Jackson Acquires 1,188 Of Entergy Corp >ETR"
