ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
EW,2024-01-02,14:00:01,6137BF,Edwards Lifesciences Corp.,100,0.0,marketing,,"Edwards Lifesciences Corporation (NYSE: EW) today announced it will participate in the J.P. Morgan Healthcare Conference on Tuesday, Jan. 9, 2024",PRESS-RELEASE,Business Wire,Edwards Lifesciences to Present at the 42(nd) Annual J.P. Morgan Healthcare Conference
EW,2024-01-02,14:00:40,6137BF,Edwards Lifesciences Corp.,100,0.0,marketing,,Edwards Lifesciences to Present at the 42nd Annual J.P. Morgan Healthcare Conference,PRESS-RELEASE,Dow Jones Newswires,Press Release: Edwards Lifesciences to Present at the 42nd Annual J.P. Morgan Healthcare Conference
EW,2024-01-02,14:00:40,6137BF,Edwards Lifesciences Corp.,100,0.0,marketing,,"Edwards Lifesciences Corporation (NYSE: EW) today announced it will participate in the J.P. Morgan Healthcare Conference on Tuesday, Jan. 9, 2024",PRESS-RELEASE,Dow Jones Newswires,Press Release: Edwards Lifesciences to Present at the 42nd Annual J.P. Morgan Healthcare Conference
EW,2024-01-04,17:21:31,6137BF,Edwards Lifesciences Corp.,100,-0.58,analyst-ratings,negative,Edwards Lifesciences Cut to In-Line From Outperform by Evercore ISI Group,NEWS-FLASH,Dow Jones Newswires,Edwards Lifesciences Cut to In-Line From Outperform by Evercore ISI Group
EW,2024-01-04,17:21:31,6137BF,Edwards Lifesciences Corp.,100,-0.5,price-targets,downgrade,Edwards Lifesciences Price Target Cut to $77.00/Share From $80.00 by Evercore ISI Group,NEWS-FLASH,Dow Jones Newswires,Edwards Lifesciences Price Target Cut to $77.00/Share From $80.00 by Evercore ISI Group
EW,2024-01-06,00:21:46,6137BF,Edwards Lifesciences Corp.,100,-0.49,insider-trading,,"Chmn Mussallem Sells 29,350 Of Edwards Lifesciences Corp",TABULAR-MATERIAL,Dow Jones Newswires,"Chmn Mussallem Sells 29,350 Of Edwards Lifesciences Corp >EW"
EW,2024-01-12,20:14:34,6137BF,Edwards Lifesciences Corp.,100,0.34,analyst-ratings,neutral,Edwards Lifesciences Is Maintained at Outperform by RBC Capital,NEWS-FLASH,Dow Jones Newswires,Edwards Lifesciences Is Maintained at Outperform by RBC Capital
EW,2024-01-12,20:14:34,6137BF,Edwards Lifesciences Corp.,100,0.42,price-targets,upgrade,Edwards Lifesciences Price Target Raised to $82.00/Share From $80.00 by RBC Capital,NEWS-FLASH,Dow Jones Newswires,Edwards Lifesciences Price Target Raised to $82.00/Share From $80.00 by RBC Capital
EW,2024-01-12,22:37:25,6137BF,Edwards Lifesciences Corp.,100,-0.49,insider-trading,,"Vp Bobo Jr Sells 10,000 Of Edwards Lifesciences Corp",TABULAR-MATERIAL,Dow Jones Newswires,"VP Bobo Jr Sells 10,000 Of Edwards Lifesciences Corp >EW"
EW,2024-01-30,12:05:00,6137BF,Edwards Lifesciences Corp.,100,0.0,investor-relations,,"Edwards Lifesciences to Host Earnings Conference Call on February 6, 2024",PRESS-RELEASE,Business Wire,"Edwards Lifesciences to Host Earnings Conference Call on February 6, 2024"
EW,2024-01-30,12:05:00,6137BF,Edwards Lifesciences Corp.,100,0.0,earnings,,"Edwards Lifesciences (NYSE: EW) plans to announce its operating results for the quarter ended December 31, 2023",PRESS-RELEASE,Business Wire,"Edwards Lifesciences to Host Earnings Conference Call on February 6, 2024"
EW,2024-01-30,12:09:08,6137BF,Edwards Lifesciences Corp.,100,0.0,investor-relations,,"Edwards Lifesciences to Host Earnings Conference Call on February 6, 2024",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Edwards Lifesciences to Host Earnings Conference Call on February 6, 2024"
EW,2024-01-30,12:09:08,6137BF,Edwards Lifesciences Corp.,100,0.0,earnings,,"Edwards Lifesciences (NYSE: EW) plans to announce its operating results for the quarter ended December 31, 2023",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Edwards Lifesciences to Host Earnings Conference Call on February 6, 2024"
EW,2024-02-01,22:53:33,6137BF,Edwards Lifesciences Corp.,100,-0.49,insider-trading,,"Cfo Ullem Sells 7,255 Of Edwards Lifesciences Corp",TABULAR-MATERIAL,Dow Jones Newswires,"CFO Ullem Sells 7,255 Of Edwards Lifesciences Corp >EW"
EW,2024-02-02,12:00:01,6137BF,Edwards Lifesciences Corp.,100,0.57,products-services,granted,Edwards' EVOQUE Valve Replacement System First Transcatheter Therapy to Earn FDA Approval for Tricuspid Valve,PRESS-RELEASE,Business Wire,Edwards' EVOQUE Valve Replacement System First Transcatheter Therapy to Earn FDA Approval for Tricuspid Valve
EW,2024-02-02,12:00:24,6137BF,Edwards Lifesciences Corp.,100,0.57,products-services,granted,Edwards' EVOQUE Valve Replacement System First Transcatheter Therapy to Earn FDA Approval for Tricuspid Valve,PRESS-RELEASE,Dow Jones Newswires,Press Release: Edwards' EVOQUE Valve Replacement System First Transcatheter Therapy to Earn FDA Approval for Tricuspid Valve
EW,2024-02-02,12:00:26,6137BF,Edwards Lifesciences Corp.,100,0.57,products-services,granted,Edwards' EVOQUE Valve Replacement System First Transcatheter Therapy to Earn FDA Approval for Tricuspid Valve,NEWS-FLASH,Dow Jones Newswires,Edwards' EVOQUE Valve Replacement System First Transcatheter Therapy to Earn FDA Approval for Tricuspid Valve
EW,2024-02-02,15:59:40,6137BF,Edwards Lifesciences Corp.,100,0.94,analyst-ratings,positive,Edwards Lifesciences Raised to Overweight From Equal-Weight by Wells Fargo,NEWS-FLASH,Dow Jones Newswires,Edwards Lifesciences Raised to Overweight From Equal-Weight by Wells Fargo
EW,2024-02-02,15:59:40,6137BF,Edwards Lifesciences Corp.,100,0.0,price-targets,set,Edwards Lifesciences Price Target Announced at $94.00/Share by Wells Fargo,NEWS-FLASH,Dow Jones Newswires,Edwards Lifesciences Price Target Announced at $94.00/Share by Wells Fargo
EW,2024-02-05,23:39:25,6137BF,Edwards Lifesciences Corp.,100,-0.49,insider-trading,,"Chmn Mussallem Sells 29,350 Of Edwards Lifesciences Corp",TABULAR-MATERIAL,Dow Jones Newswires,"Chmn Mussallem Sells 29,350 Of Edwards Lifesciences Corp >EW"
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.0,revenues,,Edwards Lifesciences 4Q Sales $1.53B >EW,NEWS-FLASH,Dow Jones Newswires,Edwards Lifesciences 4Q Sales $1.53B >EW
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.61,earnings,positive,Edwards Lifesciences 4Q EPS 61c,NEWS-FLASH,Dow Jones Newswires,Edwards Lifesciences 4Q EPS 61c >EW
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.61,earnings,positive,Edwards Lifesciences 4Q Adj EPS 64c,NEWS-FLASH,Dow Jones Newswires,Edwards Lifesciences 4Q Adj EPS 64c >EW
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.0,earnings,,Edwards Lifesciences Sees FY Adj EPS $2.70,NEWS-FLASH,Dow Jones Newswires,Edwards Lifesciences Sees FY Adj EPS $2.70-Adj EPS $2.80 >EW
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.61,earnings,positive,Edwards Lifesciences 4Q Net $369.9M,NEWS-FLASH,Dow Jones Newswires,Edwards Lifesciences 4Q Net $369.9M >EW
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.0,earnings,,Edwards Lifesciences Sees 1Q Adj EPS 62c,NEWS-FLASH,Dow Jones Newswires,Edwards Lifesciences Sees 1Q Adj EPS 62c-Adj EPS 66c >EW
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.0,revenues,,Edwards Lifesciences Sees FY Sales $6.3B-$6.6B >EW,NEWS-FLASH,Dow Jones Newswires,Edwards Lifesciences Sees FY Sales $6.3B-$6.6B >EW
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.0,revenues,,Edwards Lifesciences Sees 1Q Sales $1.53B-$1.61B >EW,NEWS-FLASH,Dow Jones Newswires,Edwards Lifesciences Sees 1Q Sales $1.53B-$1.61B >EW
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.0,earnings,,Edwards Lifesciences Reports Fourth Quarter Results,PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter Results
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.41,revenues,up,Edwards Lifesciences Corp.: Q4 sales grew 14 percent to $1.53 billion,PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter Results
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.61,earnings,positive,Edwards Lifesciences Corp.: Q4 EPS of $0.61,PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter Results
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.41,revenues,up,Edwards Lifesciences Corp.: 2023 sales of $6.0 billion grew 12 percent,PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter Results
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.51,products-services,complete,Edwards Lifesciences Corp.: Completed enrollment,PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter Results
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.57,products-services,granted,Edwards Lifesciences Corp.: Received early FDA approval for EVOQUE,PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter Results
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.52,products-services,,Edwards Lifesciences Corp.: ongoing European launch of EVOQUE,PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter Results
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.59,equity-actions,,"Edwards Lifesciences Corp.: the fourth quarter, the company repurchased $444 million of stock",PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter Results
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.0,earnings,,Edwards Lifesciences Corp.: Confident in 2024 guidance,PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter Results
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.0,earnings,,Edwards Lifesciences Corp.: 2023 Full Year Results,PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter Results
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.61,earnings,positive,Edwards Lifesciences Corp.: Diluted earnings per share for 2023 were $2.30,PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter Results
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.0,revenues,,Edwards Lifesciences Corp.: the company reported global TAVR sales,PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter Results
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.84,products-services,positive,Edwards Lifesciences Corp.: positive clinical trial results,PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter Results
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.0,equity-actions,,"Edwards Lifesciences Corp.: Selling, general and administrative expenses in the fourth quarter were $480 million",PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter Results
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.59,equity-actions,,Edwards Lifesciences Corp.: the company repurchased $867 million of stock in 2023,PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter Results
EW,2024-02-06,21:15:01,6137BF,Edwards Lifesciences Corp.,100,0.0,investor-relations,,Edwards Lifesciences will be hosting a conference call today at 2:00 p.m. PT,PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter Results
EW,2024-02-06,21:15:02,6137BF,Edwards Lifesciences Corp.,99,0.0,revenues,,"Edwards Lifesciences Corp.: Net sales $1,534.1 $1,348.3",PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter -2-
EW,2024-02-06,21:15:02,6137BF,Edwards Lifesciences Corp.,99,0.0,earnings,,"Edwards Lifesciences Corp.: Gross profit 1,177.2",PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter -2-
EW,2024-02-06,21:15:02,6137BF,Edwards Lifesciences Corp.,99,0.0,earnings,,Edwards Lifesciences Corp.: Operating income,PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter -2-
EW,2024-02-06,21:15:02,6137BF,Edwards Lifesciences Corp.,99,0.0,earnings,,Edwards Lifesciences Corp.: Interest income,PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter -2-
EW,2024-02-06,21:15:02,6137BF,Edwards Lifesciences Corp.,99,0.0,earnings,,Edwards Lifesciences Corp.: Earnings per share,PRESS-RELEASE,Business Wire,Edwards Lifesciences Reports Fourth Quarter -2-
