ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
FANG,2024-01-03,21:36:34,E15736,Diamondback Energy Inc.,100,-0.48,insider-trading,,"Chmn Stice Registers 30,000 Of Diamondback Energy Inc >FANG",RNS-SEC144,Dow Jones Newswires,"Chmn Stice Registers 30,000 Of Diamondback Energy Inc >FANG"
FANG,2024-01-03,23:36:48,E15736,Diamondback Energy Inc.,100,0.0,insider-trading,,"Chmn Stice Gifts 57,800 Of Diamondback Energy Inc >FANG",TABULAR-MATERIAL,Dow Jones Newswires,"Chmn Stice Gifts 57,800 Of Diamondback Energy Inc >FANG"
FANG,2024-01-04,21:22:23,E15736,Diamondback Energy Inc.,100,-0.49,insider-trading,,"Chmn Stice Sells 30,000 Of Diamondback Energy Inc",TABULAR-MATERIAL,Dow Jones Newswires,"Chmn Stice Sells 30,000 Of Diamondback Energy Inc >FANG"
FANG,2024-01-11,11:41:40,E15736,Diamondback Energy Inc.,100,0.34,analyst-ratings,neutral,Diamondback Energy Is Maintained at Overweight by Keybanc,NEWS-FLASH,Dow Jones Newswires,Diamondback Energy Is Maintained at Overweight by Keybanc
FANG,2024-01-11,11:41:40,E15736,Diamondback Energy Inc.,100,-0.68,price-targets,downgrade,Diamondback Energy Price Target Cut to $170.00/Share From $183.00 by Keybanc,NEWS-FLASH,Dow Jones Newswires,Diamondback Energy Price Target Cut to $170.00/Share From $183.00 by Keybanc
FANG,2024-01-11,21:01:10,E15736,Diamondback Energy Inc.,100,0.0,investor-relations,,"Diamondback Energy, Inc., Schedules Fourth Quarter 2023 Conference Call for February 21, 2024",PRESS-RELEASE,GlobeNewswire,"Viper Energy, Inc., a Subsidiary of Diamondback Energy, Inc., Schedules Fourth Quarter 2023 Conference Call for February 21, 2024"
FANG,2024-01-11,21:01:57,E15736,Diamondback Energy Inc.,100,0.0,investor-relations,,"Diamondback Energy, Inc. Schedules Fourth Quarter 2023 Conference Call for February 21, 2024",PRESS-RELEASE,GlobeNewswire,"Diamondback Energy, Inc. Schedules Fourth Quarter 2023 Conference Call for February 21, 2024"
FANG,2024-01-11,21:01:57,E15736,Diamondback Energy Inc.,100,0.0,investor-relations,,Diamondback will host a conference call and webcast for investors and analysts to discuss its results for the fourth quarter of 2023,PRESS-RELEASE,GlobeNewswire,"Diamondback Energy, Inc. Schedules Fourth Quarter 2023 Conference Call for February 21, 2024"
FANG,2024-01-12,14:08:43,E15736,Diamondback Energy Inc.,100,0.34,analyst-ratings,neutral,Diamondback Energy Is Maintained at Buy by Mizuho,NEWS-FLASH,Dow Jones Newswires,Diamondback Energy Is Maintained at Buy by Mizuho
FANG,2024-01-12,14:08:43,E15736,Diamondback Energy Inc.,100,-0.17,price-targets,downgrade,Diamondback Energy Price Target Cut to $177.00/Share From $178.00 by Mizuho,NEWS-FLASH,Dow Jones Newswires,Diamondback Energy Price Target Cut to $177.00/Share From $178.00 by Mizuho
