ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
FDS,2021-01-05,21:35:47,12A3A3,FactSet Research Systems Inc.,100,-0.49,insider-trading,,"Ceo Snow Sells 2,500 Of FactSet Research Systems Inc",TABULAR-MATERIAL,Dow Jones Newswires,"CEO Snow Sells 2,500 Of FactSet Research Systems Inc >FDS"
FDS,2021-01-05,23:05:52,12A3A3,FactSet Research Systems Inc.,100,-0.48,insider-trading,,"Ceo Snow Registers 2,500 Of FactSet Research Systems Inc >FDS",RNS-SEC144,Dow Jones Newswires,"CEO Snow Registers 2,500 Of FactSet Research Systems Inc >FDS"
FDS,2021-01-06,22:18:35,12A3A3,FactSet Research Systems Inc.,100,-0.48,insider-trading,,"Dir Abrams Registers 1,000 Of FactSet Research Systems Inc >FDS",RNS-SEC144,Dow Jones Newswires,"Dir Abrams Registers 1,000 Of FactSet Research Systems Inc >FDS"
FDS,2021-01-07,11:53:23,12A3A3,FactSet Research Systems Inc.,90,0.0,earnings,below-expectations,Bed Bath & Beyond Q3 adj. EPS 8 cents; FactSet consensus 19 cents,NEWS-FLASH,MarketWatch,MW Bed Bath & Beyond Q3 adj. EPS 8 cents; FactSet consensus 19 cents
FDS,2021-01-07,11:53:46,12A3A3,FactSet Research Systems Inc.,90,0.0,revenues,below-expectations,Bed Bath & Beyond Q3 sales $2.618 bln vs. $2.759 bln; FactSet consensus $2.747 bln,NEWS-FLASH,MarketWatch,MW Bed Bath & Beyond Q3 sales $2.618 bln vs. $2.759 bln; FactSet consensus $2.747 bln
FDS,2021-01-07,11:54:59,12A3A3,FactSet Research Systems Inc.,90,0.0,revenues,below-expectations,Bed Bath & Beyond Q3 same-store sales up 2%; FactSet consensus up 4.6%,NEWS-FLASH,MarketWatch,MW Bed Bath & Beyond Q3 same-store sales up 2%; FactSet consensus up 4.6%
FDS,2021-01-07,12:07:22,12A3A3,FactSet Research Systems Inc.,90,0.0,earnings,above-expectations,Walgreens fiscal Q1 adj. EPS $1.22; FactSet consensus $1.03,NEWS-FLASH,MarketWatch,MW Walgreens fiscal Q1 adj. EPS $1.22; FactSet consensus $1.03
FDS,2021-01-07,12:33:24,12A3A3,FactSet Research Systems Inc.,90,0.0,earnings,above-expectations,Conagra Q2 adj. EPS 81 cents; FactSet consensus 74 cents,NEWS-FLASH,MarketWatch,MW Conagra Q2 adj. EPS 81 cents; FactSet consensus 74 cents
FDS,2021-01-07,12:44:33,12A3A3,FactSet Research Systems Inc.,90,0.0,earnings,above-expectations,Constellation Brands Q3 adj. EPS $3.09; FactSet consensus $2.42,NEWS-FLASH,MarketWatch,MW Constellation Brands Q3 adj. EPS $3.09; FactSet consensus $2.42
FDS,2021-01-07,12:45:13,12A3A3,FactSet Research Systems Inc.,90,0.0,revenues,above-expectations,Constellation Brands Q3 sales $2.438 bln vs. $1.999 bln; FactSet consensus $2.234 bln,NEWS-FLASH,MarketWatch,MW Constellation Brands Q3 sales $2.438 bln vs. $1.999 bln; FactSet consensus $2.234 bln
FDS,2021-01-07,22:03:58,12A3A3,FactSet Research Systems Inc.,100,0.52,insider-trading,,"Dir Zimmel Acquires 2,404 Of FactSet Research Systems Inc >FDS",TABULAR-MATERIAL,Dow Jones Newswires,"Dir Zimmel Acquires 2,404 Of FactSet Research Systems Inc >FDS"
FDS,2021-01-07,22:05:10,12A3A3,FactSet Research Systems Inc.,100,-0.49,insider-trading,,Dir Abrams Sells 783 Of FactSet Research Systems Inc,TABULAR-MATERIAL,Dow Jones Newswires,Dir Abrams Sells 783 Of FactSet Research Systems Inc >FDS
FDS,2021-01-11,12:04:44,12A3A3,FactSet Research Systems Inc.,90,0.0,revenues,above-expectations,Gw Pharmaceuticals sees Q4 sales $148 mln; FactSet consensus $141.2 mln,NEWS-FLASH,MarketWatch,MW GW Pharmaceuticals sees Q4 sales $148 mln; FactSet consensus $141.2 mln
FDS,2021-01-11,12:36:00,12A3A3,FactSet Research Systems Inc.,90,0.0,revenues,,Dave & Buster's Q4 FactSet revenue consensus $88.1 mln,NEWS-FLASH,MarketWatch,MW Dave & Buster's Q4 FactSet revenue consensus $88.1 mln
FDS,2021-01-11,12:37:10,12A3A3,FactSet Research Systems Inc.,90,0.0,revenues,above-expectations,Dave & Buster's sees Q4 revenue $98 mln-$102 mln; FactSet consensus $88.1 mln,NEWS-FLASH,MarketWatch,MW Dave & Buster's sees Q4 revenue $98 mln-$102 mln; FactSet consensus $88.1 mln
FDS,2021-01-12,11:02:31,12A3A3,FactSet Research Systems Inc.,90,0.0,revenues,above-expectations,Organigram Q1 rev. C$25.3 mln vs. $28.4 mln a year ago; FactSet consensus C$20.1 mln,NEWS-FLASH,MarketWatch,MW Organigram Q1 rev. C$25.3 mln vs. $28.4 mln a year ago; FactSet consensus C$20.1 mln
FDS,2021-01-12,11:05:34,12A3A3,FactSet Research Systems Inc.,90,0.0,revenues,above-expectations,Organigram Q1 net rev. C$19.3 mln vs. C$25.2 mln a year ago; FactSet consensus C$20.1,NEWS-FLASH,MarketWatch,MW OrganiGram Q1 net rev. C$19.3 mln vs. C$25.2 mln a year ago; FactSet consensus C$20.1 ml
FDS,2021-01-12,11:28:09,12A3A3,FactSet Research Systems Inc.,90,0.0,revenues,above-expectations,Becton Dickinson sees Q1 rev. $5.3 bln; FactSet consensus $4.7 bln,NEWS-FLASH,MarketWatch,MW Becton Dickinson sees Q1 rev. $5.3 bln; FactSet consensus $4.7 bln
FDS,2021-01-12,12:33:37,12A3A3,FactSet Research Systems Inc.,90,0.0,earnings,above-expectations,Albertsons Q3 adj. EPS 66 cents; FactSet consensus 35 cents,NEWS-FLASH,MarketWatch,MW Albertsons Q3 adj. EPS 66 cents; FactSet consensus 35 cents
