ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
FE,2021-01-21,10:30:02,0F44E1,First Energy Metals Ltd.,100,0.55,acquisitions-mergers,,"First Energy Metals to Acquire Augustus Lithium Property in Quebec, Canada",PRESS-RELEASE,Canadian News Wire,"First Energy Metals to Acquire Augustus Lithium Property in Quebec, Canada"
FE,2021-01-21,10:30:02,0F44E1,First Energy Metals Ltd.,100,0.51,exploration,,First Energy Metals Ltd.: Based on the 1955 drilling,PRESS-RELEASE,Canadian News Wire,"First Energy Metals to Acquire Augustus Lithium Property in Quebec, Canada"
FE,2021-01-21,10:30:03,0F44E1,First Energy Metals Ltd.,100,0.55,acquisitions-mergers,,"First Energy Metals to Acquire Augustus Lithium Property in Quebec, Canada",PRESS-RELEASE,Dow Jones Newswires,"Press Release: First Energy Metals to Acquire Augustus Lithium Property in Quebec, Canada"
FE,2021-01-21,10:30:03,0F44E1,First Energy Metals Ltd.,100,0.51,exploration,,First Energy Metals Ltd.: Based on the 1955 drilling,PRESS-RELEASE,Dow Jones Newswires,"Press Release: First Energy Metals to Acquire Augustus Lithium Property in Quebec, Canada"
FE,2021-02-02,10:30:03,0F44E1,First Energy Metals Ltd.,99,0.51,exploration,,First Energy Metals Ltd.: Based on the 1955 drilling,PRESS-RELEASE,Canadian News Wire,"First Energy Metals to Start Exploration Work at Augustus Lithium Property in Quebec, Canada"
FE,2021-02-02,10:30:03,0F44E1,First Energy Metals Ltd.,99,0.51,exploration,,First Energy Metals Ltd.: Based on the 1955 drilling,PRESS-RELEASE,Dow Jones Newswires,"Press Release: First Energy Metals to Start Exploration Work at Augustus Lithium Property in Quebec, Canada"
FE,2021-02-08,10:30:02,0F44E1,First Energy Metals Ltd.,100,0.55,acquisitions-mergers,,First Energy Metals Acquires Subsequent Lithium Property,PRESS-RELEASE,Canadian News Wire,"First Energy Metals Acquires Subsequent Lithium Property Near Augustus Project in Quebec, Canada"
FE,2021-02-08,10:30:02,0F44E1,First Energy Metals Ltd.,100,0.55,acquisitions-mergers,,First Energy Metals Acquires Subsequent Lithium Property,PRESS-RELEASE,Dow Jones Newswires,"Press Release: First Energy Metals Acquires Subsequent Lithium Property Near Augustus Project in Quebec, Canada"
FE,2021-02-11,23:14:20,0F44E1,First Energy Metals Ltd.,99,0.4,equity-actions,completed,First Energy Metals Ltd.: Closing of the proposed private placement,PRESS-RELEASE,Canadian News Wire,First Energy Metals Announces Terms of Private Placement
FE,2021-02-11,23:14:20,0F44E1,First Energy Metals Ltd.,99,0.4,equity-actions,completed,First Energy Metals Ltd.: Closing of the proposed private placement,PRESS-RELEASE,Dow Jones Newswires,Press Release: First Energy Metals Announces Terms of Private Placement
FE,2021-02-11,23:15:12,0F44E1,First Energy Metals Ltd.,99,0.4,equity-actions,completed,First Energy Metals Ltd.: Closing of the proposed private placement,PRESS-RELEASE,Dow Jones Newswires,Press Release: First Energy Metals Announces Terms of Private Placement
FE,2021-03-05,10:30:01,0F44E1,First Energy Metals Ltd.,100,0.4,equity-actions,completed,First Energy Metals Closes Private Placement,PRESS-RELEASE,Canadian News Wire,First Energy Metals Closes Private Placement
FE,2021-03-05,10:30:02,0F44E1,First Energy Metals Ltd.,100,0.4,equity-actions,completed,First Energy Metals Closes Private Placement,PRESS-RELEASE,Dow Jones Newswires,Press Release: First Energy Metals Closes Private Placement
FE,2021-03-12,14:28:27,0F44E1,First Energy Metals Ltd.,100,-0.65,equity-actions,halt,Iiroc Trading Halt - FE,PRESS-RELEASE,Canadian News Wire,IIROC Trading Halt - FE
FE,2021-03-12,15:51:09,0F44E1,First Energy Metals Ltd.,100,0.55,acquisitions-mergers,,First Energy acquired the mining claims comprising the Property from,PRESS-RELEASE,Canadian News Wire,"First Energy Metals Acquires Additional Lithium Exploration Mining Claims Near its Augustus Project in Quebec, Canada"
FE,2021-03-12,15:51:09,0F44E1,First Energy Metals Ltd.,100,0.22,acquisitions-mergers,,"First Energy will acquire its 100% interest in the Property by making cash payments of $250,000",PRESS-RELEASE,Canadian News Wire,"First Energy Metals Acquires Additional Lithium Exploration Mining Claims Near its Augustus Project in Quebec, Canada"
FE,2021-03-12,15:51:09,0F44E1,First Energy Metals Ltd.,100,0.55,acquisitions-mergers,,First Energy acquired the mining claims comprising the Property from,PRESS-RELEASE,Dow Jones Newswires,"Press Release: First Energy Metals Acquires Additional Lithium Exploration Mining Claims Near its Augustus Project in Quebec, Canada"
FE,2021-03-12,15:51:09,0F44E1,First Energy Metals Ltd.,100,0.22,acquisitions-mergers,,"First Energy will acquire its 100% interest in the Property by making cash payments of $250,000",PRESS-RELEASE,Dow Jones Newswires,"Press Release: First Energy Metals Acquires Additional Lithium Exploration Mining Claims Near its Augustus Project in Quebec, Canada"
FE,2021-03-12,15:52:00,0F44E1,First Energy Metals Ltd.,100,0.55,acquisitions-mergers,,First Energy Metals Acquires Additional Lithium Exploration Mining,NEWS-FLASH,Dow Jones Newswires,First Energy Metals Acquires Additional Lithium Exploration Mining Claims Near Augustus Project in Quebec
FE,2021-03-12,16:27:27,0F44E1,First Energy Metals Ltd.,100,0.48,equity-actions,resumed,Iiroc Trade Resumption - FE,PRESS-RELEASE,Canadian News Wire,IIROC Trade Resumption - FE
FE,2021-03-23,13:00:30,0F44E1,First Energy Metals Ltd.,100,0.47,labor-issues,,First Energy Metals Appoints Board Member and Advisory Board Member,PRESS-RELEASE,Canadian News Wire,First Energy Metals Appoints Board Member and Advisory Board Member
FE,2021-03-23,13:00:30,0F44E1,First Energy Metals Ltd.,100,0.0,assets,sale,First Energy Metals Ltd.: These assets were subsequently sold,PRESS-RELEASE,Canadian News Wire,First Energy Metals Appoints Board Member and Advisory Board Member
FE,2021-03-23,13:00:30,0F44E1,First Energy Metals Ltd.,100,0.53,labor-issues,,First Energy Metals Ltd.: As Vice President,PRESS-RELEASE,Canadian News Wire,First Energy Metals Appoints Board Member and Advisory Board Member
FE,2021-03-23,13:00:30,0F44E1,First Energy Metals Ltd.,100,0.51,exploration,,First Energy Metals Ltd.: Mr. Beasley managed and oversaw the drilling program at Piedmont Lithium's North Carolina project for three years,PRESS-RELEASE,Canadian News Wire,First Energy Metals Appoints Board Member and Advisory Board Member
