ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
FICO,2024-01-02,22:11:11,A247F5,Fair Isaac Corp.,100,-0.48,insider-trading,,"Dir Manolis Registers 5,128 Of Fair Isaac Corp >FICO",RNS-SEC144,Dow Jones Newswires,"Dir Manolis Registers 5,128 Of Fair Isaac Corp >FICO"
FICO,2024-01-04,23:43:48,A247F5,Fair Isaac Corp.,100,-0.49,insider-trading,,"Dir Manolis Sells 5,128 Of Fair Isaac Corp",TABULAR-MATERIAL,Dow Jones Newswires,"Dir Manolis Sells 5,128 Of Fair Isaac Corp >FICO"
FICO,2024-01-08,13:00:03,A247F5,Fair Isaac Corp.,99,0.52,products-services,,Fair Isaac Corp.: All new enhancements are available to FICO(R) Platform,PRESS-RELEASE,Business Wire,FICO Supercharges Business Outcomes with Innovations in Simulation Technology on FICO Platform
FICO,2024-01-10,12:38:48,A247F5,Fair Isaac Corp.,100,0.2,analyst-ratings,neutral,Fair Isaac Is Maintained at Outperform by Raymond James,NEWS-FLASH,Dow Jones Newswires,Fair Isaac Is Maintained at Outperform by Raymond James
FICO,2024-01-10,12:38:48,A247F5,Fair Isaac Corp.,100,0.78,price-targets,upgrade,Fair Isaac Price Target Raised to $1214.00/Share From $1029.00 by Raymond James,NEWS-FLASH,Dow Jones Newswires,Fair Isaac Price Target Raised to $1214.00/Share From $1029.00 by Raymond James
FICO,2024-01-11,13:00:01,A247F5,Fair Isaac Corp.,99,0.52,products-services,,Fico first launched the Analytics,PRESS-RELEASE,Business Wire,FICO Brings Analytics Challenge to Delaware State University to Empower the Next Generation of Data Scientists
FICO,2024-01-11,13:00:50,A247F5,Fair Isaac Corp.,99,0.52,products-services,,Fico first launched the Analytics,PRESS-RELEASE,Dow Jones Newswires,Press Release: FICO Brings Analytics Challenge to Delaware State University to Empower the Next Generation of Data Scientists
FICO,2024-01-11,23:05:20,A247F5,Fair Isaac Corp.,100,0.52,insider-trading,,Cfo Weber Acquires 285 Of Fair Isaac Corp >FICO,TABULAR-MATERIAL,Dow Jones Newswires,CFO Weber Acquires 285 Of Fair Isaac Corp >FICO
FICO,2024-01-16,21:15:01,A247F5,Fair Isaac Corp.,100,0.0,earnings,,Fair Isaac Corporation Announces Date for Reporting of First Quarter Fiscal 2024 Financial Results,PRESS-RELEASE,Business Wire,Fair Isaac Corporation Announces Date for Reporting of First Quarter Fiscal 2024 Financial Results
FICO,2024-01-16,21:20:03,A247F5,Fair Isaac Corp.,100,0.0,earnings,,Fair Isaac Corporation Announces Date for Reporting of First Quarter Fiscal 2024 Financial Results,PRESS-RELEASE,Dow Jones Newswires,Press Release: Fair Isaac Corporation Announces Date for Reporting of First Quarter Fiscal 2024 Financial Results
