ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
FIS,2024-01-03,14:03:03,7B0BA6,Fidelity National Information (FIS),100,0.49,partnerships,,Netcents Technology Partners with Payments Technology Company Worldpay,PRESS-RELEASE,DJ Global Press Release Wire,NetCents Technology Partners with Payments Technology Company Worldpay
FIS,2024-01-11,13:00:01,7B0BA6,Fidelity National Information (FIS),99,0.39,products-services,,"Fidelity National Information (FIS): In the third quarter of 2023, FIS signed new client contracts",PRESS-RELEASE,Dow Jones Newswires,Press Release: FIS Drives New Value as Sell-Side and Buy-Side Client Needs Converge
FIS,2024-01-11,13:00:02,7B0BA6,Fidelity National Information (FIS),99,0.39,products-services,,"Fidelity National Information (FIS): In the third quarter of 2023, FIS signed new client contracts",PRESS-RELEASE,Business Wire,FIS Drives New Value as Sell-Side and Buy-Side Client Needs Converge
FIS,2024-01-18,17:11:07,7B0BA6,Fidelity National Information (FIS),100,0.34,analyst-ratings,neutral,Fidelity National Is Maintained at Buy by Mizuho,NEWS-FLASH,Dow Jones Newswires,Fidelity National Is Maintained at Buy by Mizuho
FIS,2024-01-18,17:11:07,7B0BA6,Fidelity National Information (FIS),100,0.78,price-targets,upgrade,Fidelity National Price Target Raised to $73.00/Share From $62.00 by Mizuho,NEWS-FLASH,Dow Jones Newswires,Fidelity National Price Target Raised to $73.00/Share From $62.00 by Mizuho
FIS,2024-01-18,21:28:30,7B0BA6,Fidelity National Information (FIS),100,0.52,insider-trading,,Dir Goldstein Buys 899 Of Fidelity National Information Services Inc >FIS,FULL-ARTICLE,Dow Jones Newswires,Dir Goldstein Buys 899 Of Fidelity National Information Services Inc >FIS
FIS,2024-01-18,21:30:39,7B0BA6,Fidelity National Information (FIS),100,0.52,insider-trading,,Dir Alemany Buys 735 Of Fidelity National Information Services Inc >FIS,FULL-ARTICLE,Dow Jones Newswires,Dir Alemany Buys 735 Of Fidelity National Information Services Inc >FIS
FIS,2024-02-01,11:55:00,7B0BA6,Fidelity National Information (FIS),100,0.5,acquisitions-mergers,completed,Fis Completes Sale of Majority Stake of Worldpay to GTCR,PRESS-RELEASE,Business Wire,FIS Completes Sale of Majority Stake of Worldpay to GTCR
FIS,2024-02-01,11:55:00,7B0BA6,Fidelity National Information (FIS),100,0.5,acquisitions-mergers,completed,Fis Completes Sale of Majority Stake of Worldpay to GTCR,PRESS-RELEASE,Dow Jones Newswires,Press Release: FIS Completes Sale of Majority Stake of Worldpay to GTCR
FIS,2024-02-01,11:55:07,7B0BA6,Fidelity National Information (FIS),100,0.5,acquisitions-mergers,completed,Fis Completes Sale of Majority Stake of Worldpay to GTCR,NEWS-FLASH,Dow Jones Newswires,FIS Completes Sale of Majority Stake of Worldpay to GTCR
FIS,2024-02-01,11:56:00,7B0BA6,Fidelity National Information (FIS),100,0.0,earnings,,"Fis to Report Fourth Quarter 2023 Results on February 26, 2024",PRESS-RELEASE,Business Wire,"FIS to Report Fourth Quarter 2023 Results on February 26, 2024"
FIS,2024-02-01,12:09:22,7B0BA6,Fidelity National Information (FIS),100,0.0,earnings,,"Fis to Report Fourth Quarter 2023 Results on February 26, 2024",PRESS-RELEASE,Dow Jones Newswires,"Press Release: FIS to Report Fourth Quarter 2023 Results on February 26, 2024"
FIS,2024-02-01,12:15:00,7B0BA6,Fidelity National Information (FIS),99,0.46,equity-actions,,Worldpay to Accelerate Investments in Product,PRESS-RELEASE,Business Wire,Worldpay Begins Operating as Independent Company
FIS,2024-02-01,12:15:00,7B0BA6,Fidelity National Information (FIS),99,0.49,partnerships,,Strong partnership with FIS to,PRESS-RELEASE,Business Wire,Worldpay Begins Operating as Independent Company
FIS,2024-02-14,13:00:00,7B0BA6,Fidelity National Information (FIS),99,0.49,partnerships,,Fidelity National Information (FIS): Partnering with Banked is a proof point of FIS' commitment to,PRESS-RELEASE,Business Wire,FIS Widens Access to Open Banking Through Collaboration With Banked
FIS,2024-02-14,13:00:01,7B0BA6,Fidelity National Information (FIS),99,0.49,partnerships,,Fidelity National Information (FIS): Partnering with Banked is a proof point of FIS' commitment to,PRESS-RELEASE,Dow Jones Newswires,Press Release: FIS Widens Access to Open Banking Through Collaboration With Banked
FIS,2024-02-21,08:02:17,7B0BA6,Fidelity National Information (FIS),100,0.0,investor-relations,,"Fidelity National Information, Inst Holders, 4Q 2023 (FIS)",RNS-SEC13F,Dow Jones Newswires,"Fidelity National Information, Inst Holders, 4Q 2023 (FIS)"
FIS,2024-02-23,17:30:01,7B0BA6,Fidelity National Information (FIS),100,0.34,analyst-ratings,neutral,Fidelity National Is Maintained at Overweight by JP Morgan,NEWS-FLASH,Dow Jones Newswires,Fidelity National Is Maintained at Overweight by JP Morgan
FIS,2024-02-23,17:30:01,7B0BA6,Fidelity National Information (FIS),100,0.52,price-targets,upgrade,Fidelity National Price Target Raised to $71.00/Share From $68.00 by JP Morgan,NEWS-FLASH,Dow Jones Newswires,Fidelity National Price Target Raised to $71.00/Share From $68.00 by JP Morgan
FIS,2024-02-23,22:18:35,7B0BA6,Fidelity National Information (FIS),99,0.53,labor-issues,,Fidelity National Information (FIS): the Company's appointment of James Kehoe as Chief Financial Officer,RNS-SEC8K,Dow Jones Newswires,"Fidelity National Files 8K - Director, Officer or Compensation Filing >FIS"
FIS,2024-02-23,22:18:35,7B0BA6,Fidelity National Information (FIS),99,0.0,labor-issues,,Fidelity National Information (FIS): the Company's annual incentive plan,RNS-SEC8K,Dow Jones Newswires,"Fidelity National Files 8K - Director, Officer or Compensation Filing >FIS"
FIS,2024-02-23,22:18:35,7B0BA6,Fidelity National Information (FIS),99,0.0,labor-issues,,Fis 2022 Omnibus Incentive Plan,RNS-SEC8K,Dow Jones Newswires,"Fidelity National Files 8K - Director, Officer or Compensation Filing >FIS"
FIS,2024-02-26,12:00:01,7B0BA6,Fidelity National Information (FIS),100,0.61,earnings,positive,Fidelity National 4Q Adj EPS $1.67,NEWS-FLASH,Dow Jones Newswires,Fidelity National 4Q Adj EPS $1.67 >FIS
FIS,2024-02-26,12:00:01,7B0BA6,Fidelity National Information (FIS),100,0.61,earnings,positive,Fidelity National 4Q EPS 42c,NEWS-FLASH,Dow Jones Newswires,Fidelity National 4Q EPS 42c >FIS
FIS,2024-02-26,12:00:01,7B0BA6,Fidelity National Information (FIS),100,0.61,earnings,positive,Fidelity National 4Q Net $251M,NEWS-FLASH,Dow Jones Newswires,Fidelity National 4Q Net $251M >FIS
