ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
FISV,2021-01-04,21:06:53,190B91,Fiserv Inc.,100,0.0,insider-trading,,"Chmn Yabuki Gifts 3,615 Of Fiserv Inc >FISV",TABULAR-MATERIAL,Dow Jones Newswires,"Chmn Yabuki Gifts 3,615 Of Fiserv Inc >FISV"
FISV,2021-01-04,21:08:41,190B91,Fiserv Inc.,100,0.0,insider-trading,,"Ceo Bisignano Surrenders 30,900 Of Fiserv Inc >FISV",TABULAR-MATERIAL,Dow Jones Newswires,"CEO Bisignano Surrenders 30,900 Of Fiserv Inc >FISV"
FISV,2021-01-11,21:12:24,190B91,Fiserv Inc.,100,-0.49,insider-trading,,"Officer Chiarello Sells 20,000 Of Fiserv Inc",TABULAR-MATERIAL,Dow Jones Newswires,"Officer Chiarello Sells 20,000 Of Fiserv Inc >FISV"
FISV,2021-01-19,13:45:38,190B91,Fiserv Inc.,99,0.52,products-services,,Fiserv Inc.: These new appointments demonstrate the strength of our people platform,PRESS-RELEASE,Business Wire,Fiserv Announces Executive Leadership Appointments
FISV,2021-01-19,13:45:39,190B91,Fiserv Inc.,99,0.53,labor-issues,,Fiserv Announces Executive Leadership Appointments,PRESS-RELEASE,Dow Jones Newswires,Press Release: Fiserv Announces Executive Leadership Appointments
FISV,2021-01-19,13:45:39,190B91,Fiserv Inc.,99,0.52,products-services,,Fiserv Inc.: These new appointments demonstrate the strength of our people platform,PRESS-RELEASE,Dow Jones Newswires,Press Release: Fiserv Announces Executive Leadership Appointments
FISV,2021-01-19,13:45:57,190B91,Fiserv Inc.,100,0.53,labor-issues,,"Fiserv Names Byron Vielehr Chief Digital, Data Officer >FISV",NEWS-FLASH,Dow Jones Newswires,"Fiserv Names Byron Vielehr Chief Digital, Data Officer >FISV"
FISV,2021-01-19,13:46:06,190B91,Fiserv Inc.,100,0.53,labor-issues,,Fiserv Names Neil Wilcox Head of Corporate Social Responsibility >FISV,NEWS-FLASH,Dow Jones Newswires,Fiserv Names Neil Wilcox Head of Corporate Social Responsibility >FISV
FISV,2021-01-21,09:12:35,190B91,Fiserv Inc.,100,0.0,investor-relations,,"Fiserv Inc, Inst Holders, 4Q 2020 (FISV)",RNS-SEC13F,Dow Jones Newswires,"Fiserv Inc, Inst Holders, 4Q 2020 (FISV)"
FISV,2021-01-21,21:01:00,190B91,Fiserv Inc.,100,0.0,earnings,,"Fiserv to Release Fourth Quarter and Full Year Earnings Results on February 9, 2021",PRESS-RELEASE,Business Wire,"Fiserv to Release Fourth Quarter and Full Year Earnings Results on February 9, 2021"
