ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
FOXA,2024-01-04,14:20:11,7BFF81,Fox Corp.,100,0.62,analyst-ratings,positive,Fox Corp. Raised to Peer Perform From Underperform by Wolfe Research,NEWS-FLASH,Dow Jones Newswires,Fox Corp. Raised to Peer Perform From Underperform by Wolfe Research
FOXA,2024-01-04,15:54:00,7BFF81,Fox Corp.,99,0.53,labor-issues,,"Fox Corp.: In 2019, he was elevated to vice president",PRESS-RELEASE,Business Wire,FOX News Media Promotes Scott Wilder to Executive Vice President of Production and Operations
FOXA,2024-01-04,16:02:55,7BFF81,Fox Corp.,99,0.53,labor-issues,,"Fox Corp.: In 2019, he was elevated to vice president",PRESS-RELEASE,Dow Jones Newswires,Press Release: FOX News Media Promotes Scott Wilder to Executive Vice President of Production and Operations
FOXA,2024-01-17,14:43:00,7BFF81,Fox Corp.,100,0.39,products-services,,Sinclair and FOX Reach Agreement to,PRESS-RELEASE,Business Wire,Sinclair and FOX Reach Agreement to Renew All FOX Affiliations Nationwide
FOXA,2024-01-17,14:43:18,7BFF81,Fox Corp.,100,0.39,products-services,,Sinclair and FOX Reach Agreement to,NEWS-FLASH,Dow Jones Newswires,Sinclair and FOX Reach Agreement to Renew All FOX Affiliations Nationwide
FOXA,2024-01-17,14:44:56,7BFF81,Fox Corp.,100,0.39,products-services,,Sinclair and FOX Reach Agreement to,PRESS-RELEASE,Dow Jones Newswires,Press Release: Sinclair and FOX Reach Agreement to Renew All FOX Affiliations Nationwide
FOXA,2024-01-22,16:00:05,7BFF81,Fox Corp.,100,0.53,labor-issues,,Fox CORPORATION NAMES JEFF COLLINS PRESIDENT OF ADVERTISING,PRESS-RELEASE,PR Newswire,"FOX CORPORATION NAMES JEFF COLLINS PRESIDENT OF ADVERTISING SALES, MARIANNE GAMBELLI TO RETIRE"
FOXA,2024-01-22,16:00:42,7BFF81,Fox Corp.,100,0.53,labor-issues,,Fox CORPORATION NAMES JEFF COLLINS PRESIDENT OF ADVERTISING,PRESS-RELEASE,Dow Jones Newswires,"Press Release: FOX CORPORATION NAMES JEFF COLLINS PRESIDENT OF ADVERTISING SALES, MARIANNE GAMBELLI TO RETIRE"
FOXA,2024-01-23,18:00:05,7BFF81,Fox Corp.,100,0.39,products-services,,Nielsen AND FOX SIGN MULTI-YEAR RENEWAL AGREEMENT,PRESS-RELEASE,PR Newswire,NIELSEN AND FOX SIGN MULTI-YEAR RENEWAL AGREEMENT FOR AUDIENCE MEASUREMENT
FOXA,2024-01-23,18:00:05,7BFF81,Fox Corp.,100,0.49,partnerships,,Fox Corp.: our long-standing relationship with FOX,PRESS-RELEASE,PR Newswire,NIELSEN AND FOX SIGN MULTI-YEAR RENEWAL AGREEMENT FOR AUDIENCE MEASUREMENT
FOXA,2024-01-23,18:00:28,7BFF81,Fox Corp.,100,0.39,products-services,,Nielsen AND FOX SIGN MULTI-YEAR RENEWAL AGREEMENT,PRESS-RELEASE,Dow Jones Newswires,Press Release: NIELSEN AND FOX SIGN MULTI-YEAR RENEWAL AGREEMENT FOR AUDIENCE MEASUREMENT
FOXA,2024-01-23,18:00:28,7BFF81,Fox Corp.,100,0.49,partnerships,,Fox Corp.: our long-standing relationship with FOX,PRESS-RELEASE,Dow Jones Newswires,Press Release: NIELSEN AND FOX SIGN MULTI-YEAR RENEWAL AGREEMENT FOR AUDIENCE MEASUREMENT
FOXA,2024-01-23,18:04:57,7BFF81,Fox Corp.,100,0.39,products-services,,Nielsen Signs Multi-Year Renewal Agreement With Fox,NEWS-FLASH,Dow Jones Newswires,Nielsen Signs Multi-Year Renewal Agreement With Fox
FOXA,2024-01-24,17:00:04,7BFF81,Fox Corp.,100,0.0,earnings,,Fox Corp.: Press Release: Fox Corporation Executives to Discuss Second Quarter Fiscal 2024 Financial Results,PRESS-RELEASE,Dow Jones Newswires,Press Release: Fox Corporation Executives to Discuss Second Quarter Fiscal 2024 Financial Results Via Webcast
FOXA,2024-02-06,18:03:16,7BFF81,Fox Corp.,99,0.41,assets,open,"Fox Corp.: The new location, located at 14630 Newbrook Drive, features a modern design, and",PRESS-RELEASE,GlobeNewswire,"Cape Fox FCG Relocates to New Chantilly, VA Location"
FOXA,2024-02-06,18:30:59,7BFF81,Fox Corp.,100,0.4,products-services,,"Fox News, to Receive 2024 Horatio Alger Award",PRESS-RELEASE,PR Newswire,"Bret Baier, Chief Political Anchor at FOX News, to Receive 2024 Horatio Alger Award"
FOXA,2024-02-06,21:38:00,7BFF81,Fox Corp.,91,0.49,partnerships,,"Dis) ESPN, Fox Corp. (FOX), and Warner Bros. Discovery Inc. (WBD) are teaming",FULL-ARTICLE,Dow Jones Newswires,"New Sports Streaming Venture From Disney, Fox, Warner Bros. Is Coming: Report -- MarketWatch"
FOXA,2024-02-06,21:38:00,7BFF81,Fox Corp.,91,0.49,partnerships,,"Dis) ESPN, Fox Corp. (FOX), and Warner Bros. Discovery Inc. (WBD) are teaming",FULL-ARTICLE,MarketWatch,"MW New sports streaming venture from Disney, Fox, Warner Bros. is coming: report"
