ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
FSLR,2024-01-03,20:19:28,061366,First Solar Inc.,100,0.34,analyst-ratings,neutral,First Solar Is Maintained at Buy by Mizuho,NEWS-FLASH,Dow Jones Newswires,First Solar Is Maintained at Buy by Mizuho
FSLR,2024-01-03,20:19:28,061366,First Solar Inc.,100,0.52,price-targets,upgrade,First Solar Price Target Raised to $196.00/Share From $188.00 by Mizuho,NEWS-FLASH,Dow Jones Newswires,First Solar Price Target Raised to $196.00/Share From $188.00 by Mizuho
FSLR,2024-01-04,11:00:00,061366,First Solar Inc.,99,0.49,partnerships,,First Solar Inc.: our strategic partnership with First Solar.,PRESS-RELEASE,Business Wire,First Solar Signs PPA with Cleantech Solar to Power India Manufacturing Facility
FSLR,2024-01-04,11:00:10,061366,First Solar Inc.,99,0.49,partnerships,,First Solar Inc.: our strategic partnership with First Solar.,PRESS-RELEASE,Dow Jones Newswires,Press Release: First Solar Signs PPA with Cleantech Solar to Power India Manufacturing Facility
FSLR,2024-01-08,13:08:54,061366,First Solar Inc.,100,-0.58,analyst-ratings,negative,First Solar Cut to Equal-Weight From Overweight by Wells Fargo,NEWS-FLASH,Dow Jones Newswires,First Solar Cut to Equal-Weight From Overweight by Wells Fargo
FSLR,2024-01-08,13:08:54,061366,First Solar Inc.,100,-0.8,price-targets,downgrade,First Solar Price Target Cut to $187.00/Share From $215.00 by Wells Fargo,NEWS-FLASH,Dow Jones Newswires,First Solar Price Target Cut to $187.00/Share From $215.00 by Wells Fargo
FSLR,2024-01-11,12:30:00,061366,First Solar Inc.,99,0.41,assets,open,"First Solar inaugurated its new facility in Tamil Nadu, India",PRESS-RELEASE,Business Wire,First Solar Inaugurates 3.3 GW Manufacturing Facility in India
FSLR,2024-01-11,12:30:11,061366,First Solar Inc.,99,0.41,assets,open,"First Solar inaugurated its new facility in Tamil Nadu, India",PRESS-RELEASE,Dow Jones Newswires,Press Release: First Solar Inaugurates 3.3 GW Manufacturing Facility in India
FSLR,2024-01-17,21:00:05,061366,First Solar Inc.,99,0.41,assets,open,First Solar Inc.: The new Ice facility in Louisiana,PRESS-RELEASE,PR Newswire,Ice Industries' Tradition of Excellence Reinforced by Additional Contract with First Solar
FSLR,2024-01-17,21:00:05,061366,First Solar Inc.,99,0.44,products-services,,First Solar Inc.: our expansion in Louisiana and Alabama,PRESS-RELEASE,PR Newswire,Ice Industries' Tradition of Excellence Reinforced by Additional Contract with First Solar
