ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
FTNT,2024-01-02,14:00:00,63F892,Fortinet Inc.,100,0.0,earnings,,Fortinet to Announce Fourth Quarter and Full Year 2023 Financial Results,PRESS-RELEASE,GlobeNewswire,Fortinet to Announce Fourth Quarter and Full Year 2023 Financial Results
FTNT,2024-01-02,14:00:00,63F892,Fortinet Inc.,100,0.0,earnings,,Fortinet to Announce Fourth Quarter and Full Year 2023 Financial Results,PRESS-RELEASE,GlobeNewswire,Fortinet to Announce Fourth Quarter and Full Year 2023 Financial Results
FTNT,2024-01-03,14:31:03,63F892,Fortinet Inc.,100,0.5,stock-picks,buy,"Thinking about buying stock in Panbela Therapeutics, Fortinet, Palo Alto Networks, First Wave BioPharma, or Sphere 3D?",PRESS-RELEASE,PR Newswire,"Thinking about buying stock in Panbela Therapeutics, Fortinet, Palo Alto Networks, First Wave BioPharma, or Sphere 3D?"
FTNT,2024-01-09,15:28:06,63F892,Fortinet Inc.,100,-0.58,analyst-ratings,negative,Fortinet Cut to Neutral From Buy by Citigroup,NEWS-FLASH,Dow Jones Newswires,Fortinet Cut to Neutral From Buy by Citigroup
FTNT,2024-01-09,15:28:06,63F892,Fortinet Inc.,100,0.46,price-targets,upgrade,Fortinet Price Target Raised to $62.00/Share From $60.00 by Citigroup,NEWS-FLASH,Dow Jones Newswires,Fortinet Price Target Raised to $62.00/Share From $60.00 by Citigroup
FTNT,2024-01-09,22:00:32,63F892,Fortinet Inc.,100,-0.48,insider-trading,,"Chmn Xie Registers 93,625 Of Fortinet Inc >FTNT",RNS-SEC144,Dow Jones Newswires,"Chmn Xie Registers 93,625 Of Fortinet Inc >FTNT"
FTNT,2024-01-10,14:04:38,63F892,Fortinet Inc.,100,0.0,analyst-ratings,neutral,Fortinet Is Maintained at Neutral by UBS,NEWS-FLASH,Dow Jones Newswires,Fortinet Is Maintained at Neutral by UBS
FTNT,2024-01-10,14:04:38,63F892,Fortinet Inc.,100,0.78,price-targets,upgrade,Fortinet Price Target Raised to $65.00/Share From $55.00 by UBS,NEWS-FLASH,Dow Jones Newswires,Fortinet Price Target Raised to $65.00/Share From $55.00 by UBS
FTNT,2024-01-11,14:00:01,63F892,Fortinet Inc.,99,0.49,partnerships,,Fortinet to collaborate with global leaders and experts to,PRESS-RELEASE,GlobeNewswire,Media Advisory: Fortinet Returns to the World Economic Forum Annual Meeting to Offer Cybersecurity Insights
FTNT,2024-01-11,21:22:58,63F892,Fortinet Inc.,100,-0.49,insider-trading,,"Chmn Xie Sells 93,625 Of Fortinet Inc",TABULAR-MATERIAL,Dow Jones Newswires,"Chmn Xie Sells 93,625 Of Fortinet Inc >FTNT"
FTNT,2024-01-16,14:00:01,63F892,Fortinet Inc.,99,0.49,partnerships,,Continue collaborating closely with Fortinet to,FULL-ARTICLE,Dow Jones Newswires,Fortinet Announces the Industry's First Wi-Fi 7--Enabled Secure Networking Solution
FTNT,2024-01-16,14:00:01,63F892,Fortinet Inc.,99,0.49,partnerships,,Continue collaborating closely with Fortinet to,PRESS-RELEASE,DJ Global Press Release Wire,Fortinet Announces the Industry's First Wi-Fi 7--Enabled Secure Networking Solution
FTNT,2024-01-16,14:00:01,63F892,Fortinet Inc.,99,0.49,partnerships,,Continue collaborating closely with Fortinet to,PRESS-RELEASE,Dow Jones Newswires,Press Release: Fortinet Announces the Industry's First Wi-Fi 7--Enabled Secure Networking Solution
FTNT,2024-01-16,14:00:01,63F892,Fortinet Inc.,99,0.49,partnerships,,Continue collaborating closely with Fortinet to,PRESS-RELEASE,GlobeNewswire,Fortinet Announces the Industry's First Wi-Fi 7--Enabled Secure Networking Solution
FTNT,2024-01-16,14:00:01,63F892,Fortinet Inc.,99,0.49,partnerships,,Continue collaborating closely with Fortinet to,PRESS-RELEASE,Dow Jones Newswires,Press Release: Fortinet Announces the Industry's First Wi-Fi 7--Enabled Secure Networking Solution
FTNT,2024-01-17,09:48:54,63F892,Fortinet Inc.,100,-0.58,analyst-ratings,negative,Fortinet Cut to Equal-Weight From Overweight by Capital One,NEWS-FLASH,Dow Jones Newswires,Fortinet Cut to Equal-Weight From Overweight by Capital One
FTNT,2024-01-18,21:29:23,63F892,Fortinet Inc.,94,0.53,labor-issues,,Fortinet named John Whittle as its chief operating officer,RNS-SEC8K,Dow Jones Newswires,Fortinet Names John Whittle Chief Operating Officer
FTNT,2024-01-18,21:29:23,63F892,Fortinet Inc.,94,-0.49,labor-issues,,Fortinet's Chief Revenue Officer Patrice Perche said he would retire,RNS-SEC8K,Dow Jones Newswires,Fortinet Names John Whittle Chief Operating Officer
FTNT,2024-02-02,21:25:02,63F892,Fortinet Inc.,100,-0.48,insider-trading,,"Pres Xie Registers 38,369 Of Fortinet Inc >FTNT",RNS-SEC144,Dow Jones Newswires,"Pres Xie Registers 38,369 Of Fortinet Inc >FTNT"
FTNT,2024-02-05,21:21:39,63F892,Fortinet Inc.,100,-0.48,insider-trading,,"Vp Perche Registers 16,458 Of Fortinet Inc >FTNT",RNS-SEC144,Dow Jones Newswires,"VP Perche Registers 16,458 Of Fortinet Inc >FTNT"
FTNT,2024-02-05,21:26:00,63F892,Fortinet Inc.,100,-0.49,insider-trading,,"Pres Xie Sells 38,369 Of Fortinet Inc",TABULAR-MATERIAL,Dow Jones Newswires,"Pres Xie Sells 38,369 Of Fortinet Inc >FTNT"
FTNT,2024-02-05,21:31:26,63F892,Fortinet Inc.,100,0.52,insider-trading,,"Coo Whittle Acquires 11,245 Of Fortinet Inc >FTNT",TABULAR-MATERIAL,Dow Jones Newswires,"COO Whittle Acquires 11,245 Of Fortinet Inc >FTNT"
FTNT,2024-02-05,21:32:13,63F892,Fortinet Inc.,100,0.52,insider-trading,,"Chmn Xie Acquires 38,856 Of Fortinet Inc >FTNT",TABULAR-MATERIAL,Dow Jones Newswires,"Chmn Xie Acquires 38,856 Of Fortinet Inc >FTNT"
FTNT,2024-02-05,21:34:09,63F892,Fortinet Inc.,100,0.52,insider-trading,,"Cfo Jensen Acquires 16,864 Of Fortinet Inc >FTNT",TABULAR-MATERIAL,Dow Jones Newswires,"CFO Jensen Acquires 16,864 Of Fortinet Inc >FTNT"
FTNT,2024-02-06,21:05:01,63F892,Fortinet Inc.,100,0.0,earnings,,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results,FULL-ARTICLE,Dow Jones Newswires,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results
FTNT,2024-02-06,21:05:01,63F892,Fortinet Inc.,100,0.0,earnings,,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results,FULL-ARTICLE,Dow Jones Newswires,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results
FTNT,2024-02-06,21:05:01,63F892,Fortinet Inc.,100,0.59,equity-actions,,"During the three months ended December 31, 2023, Fortinet repurchased 16.8 million shares of its common stock",FULL-ARTICLE,Dow Jones Newswires,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results
FTNT,2024-02-06,21:05:01,63F892,Fortinet Inc.,100,0.59,equity-actions,,"2020, Fortinet repurchased 134.6 million shares",FULL-ARTICLE,Dow Jones Newswires,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results
FTNT,2024-02-06,21:05:01,63F892,Fortinet Inc.,100,0.0,earnings,,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results,PRESS-RELEASE,DJ Global Press Release Wire,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results
FTNT,2024-02-06,21:05:01,63F892,Fortinet Inc.,100,0.0,earnings,,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results,PRESS-RELEASE,DJ Global Press Release Wire,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results
FTNT,2024-02-06,21:05:01,63F892,Fortinet Inc.,100,0.41,revenues,up,"Fortinet Inc.: Total revenue of $1.42 billion, up 10.3% year over year",PRESS-RELEASE,DJ Global Press Release Wire,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results
FTNT,2024-02-06,21:05:01,63F892,Fortinet Inc.,100,0.6,earnings,positive,Fortinet Inc.: GAAP operating income of $385 million,PRESS-RELEASE,DJ Global Press Release Wire,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results
FTNT,2024-02-06,21:05:01,63F892,Fortinet Inc.,100,0.6,earnings,positive,Fortinet Inc.: Non-GAAP operating income of $454,PRESS-RELEASE,DJ Global Press Release Wire,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results
FTNT,2024-02-06,21:05:01,63F892,Fortinet Inc.,100,0.0,revenues,,Fortinet Inc.: GAAP operating margin of 27.2%,PRESS-RELEASE,DJ Global Press Release Wire,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results
FTNT,2024-02-06,21:05:01,63F892,Fortinet Inc.,100,0.0,revenues,,Fortinet Inc.: Non-GAAP operating margin of 32.0%,PRESS-RELEASE,DJ Global Press Release Wire,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results
FTNT,2024-02-06,21:05:01,63F892,Fortinet Inc.,100,0.0,earnings,,Fortinet Inc.: GAAP diluted net income per share,PRESS-RELEASE,DJ Global Press Release Wire,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results
FTNT,2024-02-06,21:05:01,63F892,Fortinet Inc.,100,0.0,earnings,,Fortinet Inc.: Non-GAAP diluted net income per share,PRESS-RELEASE,DJ Global Press Release Wire,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results
FTNT,2024-02-06,21:05:01,63F892,Fortinet Inc.,100,0.61,earnings,positive,Fortinet Inc.: GAAP diluted net income per share was $0.40 for the fourth quarter of 2023,PRESS-RELEASE,DJ Global Press Release Wire,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results
FTNT,2024-02-06,21:05:01,63F892,Fortinet Inc.,100,0.61,earnings,positive,Fortinet Inc.: Non-GAAP diluted net income per share was $0.51 for the fourth quarter of 2023,PRESS-RELEASE,DJ Global Press Release Wire,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results
FTNT,2024-02-06,21:05:01,63F892,Fortinet Inc.,100,0.59,equity-actions,,Fortinet repurchased 27.2 million and 36.0 million shares,PRESS-RELEASE,DJ Global Press Release Wire,Fortinet Reports Fourth Quarter and Full Year 2023 Financial Results
