ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
GD,2024-01-04,19:00:04,DCD97F,General Dynamics Corp.,95,0.0,investor-relations,,General Dynamics Corp.: The live webcast of the conference call,PRESS-RELEASE,PR Newswire,General Dynamics to Webcast 2023 Fourth-Quarter and Full-Year Financial Results Conference Call
GD,2024-01-04,19:00:04,DCD97F,General Dynamics Corp.,100,0.0,investor-relations,,General Dynamics Corp.: Press Release: General Dynamics to Webcast 2023 Fourth-Quarter and Full-Year Financial Results Conference Call,PRESS-RELEASE,Dow Jones Newswires,Press Release: General Dynamics to Webcast 2023 Fourth-Quarter and Full-Year Financial Results Conference Call
GD,2024-01-04,19:00:04,DCD97F,General Dynamics Corp.,100,0.0,investor-relations,,General Dynamics Corp.: Press Release: General Dynamics to Webcast 2023 Fourth-Quarter and Full-Year Financial Results Conference Call,PRESS-RELEASE,Dow Jones Newswires,Press Release: General Dynamics to Webcast 2023 Fourth-Quarter and Full-Year Financial Results Conference Call
GD,2024-01-24,12:00:07,DCD97F,General Dynamics Corp.,100,0.61,earnings,positive,General Dynamics Corp.: Fourth-quarter net earnings of $1 billion,PRESS-RELEASE,PR Newswire,General Dynamics Reports Fourth-Quarter and Full-Year 2023 Financial Results
GD,2024-01-24,12:00:07,DCD97F,General Dynamics Corp.,100,0.61,earnings,positive,"General Dynamics Corp.: For the full year, net earnings were $3.3 billion",PRESS-RELEASE,PR Newswire,General Dynamics Reports Fourth-Quarter and Full-Year 2023 Financial Results
GD,2024-01-24,12:00:07,DCD97F,General Dynamics Corp.,100,0.41,revenues,up,General Dynamics Corp.: Revenue of $11.7 billion was up 7.5%,PRESS-RELEASE,PR Newswire,General Dynamics Reports Fourth-Quarter and Full-Year 2023 Financial Results
GD,2024-01-24,12:00:07,DCD97F,General Dynamics Corp.,100,0.41,revenues,up,"General Dynamics Corp.: Full-year revenue was $42.3 billion, a 7.3% increase",PRESS-RELEASE,PR Newswire,General Dynamics Reports Fourth-Quarter and Full-Year 2023 Financial Results
GD,2024-01-24,12:00:07,DCD97F,General Dynamics Corp.,100,0.44,credit,reduction,General Dynamics Corp.: the company reduced debt by $1.2 billion,PRESS-RELEASE,PR Newswire,General Dynamics Reports Fourth-Quarter and Full-Year 2023 Financial Results
GD,2024-01-24,12:00:07,DCD97F,General Dynamics Corp.,100,0.0,products-services,unchanged,General Dynamics Corp.: Orders remained strong,PRESS-RELEASE,PR Newswire,General Dynamics Reports Fourth-Quarter and Full-Year 2023 Financial Results
GD,2024-01-24,12:00:07,DCD97F,General Dynamics Corp.,100,0.0,investor-relations,,General Dynamics Corp.: WEBCAST INFORMATION: General Dynamics will webcast its fourth-quarter and full-year 2023 financial results conference call,PRESS-RELEASE,PR Newswire,General Dynamics Reports Fourth-Quarter and Full-Year 2023 Financial Results
GD,2024-01-24,12:00:07,DCD97F,General Dynamics Corp.,100,0.0,investor-relations,,General Dynamics Corp.: WEBCAST INFORMATION: General Dynamics will webcast its fourth-quarter and full-year 2023 financial results conference call,PRESS-RELEASE,PR Newswire,General Dynamics Reports Fourth-Quarter and Full-Year 2023 Financial Results
GD,2024-01-24,12:00:07,DCD97F,General Dynamics Corp.,100,0.0,revenues,,"General Dynamics Corp.: Revenue $ 11,668 $ 10,851 $",PRESS-RELEASE,PR Newswire,General Dynamics Reports Fourth-Quarter and Full-Year 2023 Financial Results
GD,2024-01-24,12:00:07,DCD97F,General Dynamics Corp.,100,0.0,earnings,,General Dynamics Corp.: Operating earnings,PRESS-RELEASE,PR Newswire,General Dynamics Reports Fourth-Quarter and Full-Year 2023 Financial Results
GD,2024-01-24,12:00:07,DCD97F,General Dynamics Corp.,100,0.0,earnings,,General Dynamics Corp.: Earnings per share,PRESS-RELEASE,PR Newswire,General Dynamics Reports Fourth-Quarter and Full-Year 2023 Financial Results
