ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
GDDY,2024-01-02,22:07:08,0A0D9E,GoDaddy Inc.,100,-0.48,insider-trading,,"Coo Chen Registers 4,000 Of GoDaddy Inc >GDDY",RNS-SEC144,Dow Jones Newswires,"COO Chen Registers 4,000 Of GoDaddy Inc >GDDY"
GDDY,2024-01-04,23:12:35,0A0D9E,GoDaddy Inc.,100,-0.49,insider-trading,,"Coo Chen Sells 4,000 Of GoDaddy Inc",TABULAR-MATERIAL,Dow Jones Newswires,"COO Chen Sells 4,000 Of GoDaddy Inc >GDDY"
GDDY,2024-01-05,23:16:07,0A0D9E,GoDaddy Inc.,100,0.0,insider-trading,,Cfo McCaffrey Surrenders 505 Of GoDaddy Inc >GDDY,TABULAR-MATERIAL,Dow Jones Newswires,CFO McCaffrey Surrenders 505 Of GoDaddy Inc >GDDY
GDDY,2024-01-09,12:21:36,0A0D9E,GoDaddy Inc.,100,0.94,analyst-ratings,positive,Godaddy Raised to Overweight From Neutral by Piper Sandler,NEWS-FLASH,Dow Jones Newswires,GoDaddy Raised to Overweight From Neutral by Piper Sandler
GDDY,2024-01-10,14:07:18,0A0D9E,GoDaddy Inc.,100,0.0,analyst-ratings,neutral,Godaddy Is Maintained at Neutral by UBS,NEWS-FLASH,Dow Jones Newswires,GoDaddy Is Maintained at Neutral by UBS
GDDY,2024-01-10,14:07:19,0A0D9E,GoDaddy Inc.,100,0.8,price-targets,upgrade,Godaddy Price Target Raised to $110.00/Share From $85.00 by UBS,NEWS-FLASH,Dow Jones Newswires,GoDaddy Price Target Raised to $110.00/Share From $85.00 by UBS
GDDY,2024-01-16,13:00:19,0A0D9E,GoDaddy Inc.,100,0.0,earnings,,"Godaddy Inc. to Announce Fourth Quarter and Fiscal Year 2023 Financial Results on Tuesday, February 13, 2024",PRESS-RELEASE,PR Newswire,"GoDaddy Inc. to Announce Fourth Quarter and Fiscal Year 2023 Financial Results on Tuesday, February 13, 2024, and Host Investor Day on Wednesday, March 6, 2024"
GDDY,2024-01-16,13:00:19,0A0D9E,GoDaddy Inc.,100,0.0,earnings,,"Godaddy Inc. to Announce Fourth Quarter and Fiscal Year 2023 Financial Results on Tuesday, February 13, 2024",PRESS-RELEASE,PR Newswire,"GoDaddy Inc. to Announce Fourth Quarter and Fiscal Year 2023 Financial Results on Tuesday, February 13, 2024, and Host Investor Day on Wednesday, March 6, 2024"
GDDY,2024-01-16,13:01:53,0A0D9E,GoDaddy Inc.,100,0.0,earnings,,"Godaddy Inc. to Announce Fourth Quarter and Fiscal Year 2023 Financial Results on Tuesday, February 13, 2024",PRESS-RELEASE,Dow Jones Newswires,"Press Release: GoDaddy Inc. to Announce Fourth Quarter and Fiscal Year 2023 Financial Results on Tuesday, February 13, 2024, and Host Investor Day on Wednesday, March 6, 2024"
GDDY,2024-01-16,13:01:53,0A0D9E,GoDaddy Inc.,100,0.0,earnings,,"Godaddy Inc. to Announce Fourth Quarter and Fiscal Year 2023 Financial Results on Tuesday, February 13, 2024",PRESS-RELEASE,Dow Jones Newswires,"Press Release: GoDaddy Inc. to Announce Fourth Quarter and Fiscal Year 2023 Financial Results on Tuesday, February 13, 2024, and Host Investor Day on Wednesday, March 6, 2024"
GDDY,2024-01-18,10:28:06,0A0D9E,GoDaddy Inc.,100,0.34,analyst-ratings,neutral,Godaddy Is Maintained at Overweight by Barclays,NEWS-FLASH,Dow Jones Newswires,GoDaddy Is Maintained at Overweight by Barclays
GDDY,2024-01-18,10:28:06,0A0D9E,GoDaddy Inc.,100,0.78,price-targets,upgrade,Godaddy Price Target Raised to $125.00/Share From $100.00 by Barclays,NEWS-FLASH,Dow Jones Newswires,GoDaddy Price Target Raised to $125.00/Share From $100.00 by Barclays
GDDY,2024-01-31,13:00:12,0A0D9E,GoDaddy Inc.,99,0.0,investor-relations,,GoDaddy Inc.: the Company's Upcoming Q4 FY23 Earnings Call,PRESS-RELEASE,PR Newswire,STARBOARD DELIVERS LETTER TO GODADDY
GDDY,2024-01-31,13:01:32,0A0D9E,GoDaddy Inc.,99,0.0,investor-relations,,GoDaddy Inc.: the Company's Upcoming Q4 FY23 Earnings Call,PRESS-RELEASE,Dow Jones Newswires,Press Release: STARBOARD DELIVERS LETTER TO GODADDY
GDDY,2024-02-01,21:18:52,0A0D9E,GoDaddy Inc.,100,-0.48,insider-trading,,"Coo Chen Registers 4,000 Of GoDaddy Inc >GDDY",RNS-SEC144,Dow Jones Newswires,"COO Chen Registers 4,000 Of GoDaddy Inc >GDDY"
GDDY,2024-02-05,15:34:24,0A0D9E,GoDaddy Inc.,99,0.49,partnerships,,GoDaddy Inc.: Partnering with ENS presents our customers with a unique opportunity to,PRESS-RELEASE,PR Newswire,GoDaddy and Ethereum Name Service Simplify Connecting Domain Names and Crypto Wallets for Customers
GDDY,2024-02-05,15:34:24,0A0D9E,GoDaddy Inc.,99,0.49,partnerships,,GoDaddy Inc.: Partnering with ENS presents our customers with a unique opportunity to,PRESS-RELEASE,Dow Jones Newswires,Press Release: GoDaddy and Ethereum Name Service Simplify Connecting Domain Names and Crypto Wallets for Customers
GDDY,2024-02-05,23:50:17,0A0D9E,GoDaddy Inc.,100,-0.49,insider-trading,,"Coo Chen Sells 4,000 Of GoDaddy Inc",TABULAR-MATERIAL,Dow Jones Newswires,"COO Chen Sells 4,000 Of GoDaddy Inc >GDDY"
GDDY,2024-02-08,21:15:03,0A0D9E,GoDaddy Inc.,100,0.53,labor-issues,,GoDaddy Inc.: Jared Sine Joins GoDaddy as Chief,PRESS-RELEASE,PR Newswire,Jared Sine Joins GoDaddy as Chief Strategy & Legal Officer
GDDY,2024-02-08,21:15:13,0A0D9E,GoDaddy Inc.,100,0.53,labor-issues,,GoDaddy Inc.: Jared Sine Joins GoDaddy as Chief,PRESS-RELEASE,Dow Jones Newswires,Press Release: Jared Sine Joins GoDaddy as Chief Strategy & Legal Officer
GDDY,2024-02-08,21:53:00,0A0D9E,GoDaddy Inc.,99,0.0,earnings,,GoDaddy Inc.: the Company's Annual Report on Form 10-K for the fiscal year ended December,RNS-SEC8K,Dow Jones Newswires,"GoDaddy Files 8K - Director, Officer or Compensation Filing >GDDY"
GDDY,2024-02-13,21:05:15,0A0D9E,GoDaddy Inc.,100,0.0,revenues,,Godaddy Sees 1Q Rev $1.09B-$1.11B >GDDY,NEWS-FLASH,Dow Jones Newswires,GoDaddy Sees 1Q Rev $1.09B-$1.11B >GDDY
GDDY,2024-02-13,21:05:15,0A0D9E,GoDaddy Inc.,100,0.0,earnings,,Godaddy REPORTS STRONG FOURTH QUARTER AND FULL YEAR 2023 RESULTS,PRESS-RELEASE,PR Newswire,GODADDY REPORTS STRONG FOURTH QUARTER AND FULL YEAR 2023 RESULTS
GDDY,2024-02-13,21:05:15,0A0D9E,GoDaddy Inc.,100,0.36,earnings,,Godaddy REPORTS STRONG FOURTH QUARTER AND FULL YEAR 2023 RESULTS,PRESS-RELEASE,PR Newswire,GODADDY REPORTS STRONG FOURTH QUARTER AND FULL YEAR 2023 RESULTS
GDDY,2024-02-13,21:05:15,0A0D9E,GoDaddy Inc.,100,0.41,revenues,up,"GoDaddy Inc.: Total revenue of $1.1 billion, up 6% year-over-year",PRESS-RELEASE,PR Newswire,GODADDY REPORTS STRONG FOURTH QUARTER AND FULL YEAR 2023 RESULTS
GDDY,2024-02-13,21:05:15,0A0D9E,GoDaddy Inc.,100,0.61,earnings,positive,GoDaddy Inc.: Net Income of $1.4 billion,PRESS-RELEASE,PR Newswire,GODADDY REPORTS STRONG FOURTH QUARTER AND FULL YEAR 2023 RESULTS
GDDY,2024-02-13,21:05:15,0A0D9E,GoDaddy Inc.,100,0.59,equity-actions,,"Through February 1, 2024, GoDaddy repurchased 34.2 million shares of its common stock",PRESS-RELEASE,PR Newswire,GODADDY REPORTS STRONG FOURTH QUARTER AND FULL YEAR 2023 RESULTS
GDDY,2024-02-13,21:05:15,0A0D9E,GoDaddy Inc.,100,0.64,earnings,up,GoDaddy Inc.: our increasing profitability,PRESS-RELEASE,PR Newswire,GODADDY REPORTS STRONG FOURTH QUARTER AND FULL YEAR 2023 RESULTS
GDDY,2024-02-13,21:05:15,0A0D9E,GoDaddy Inc.,100,0.0,revenues,,"Godaddy expects total revenue in the range of $1.085 billion to $1.105 billion, representing year-over-year",PRESS-RELEASE,PR Newswire,GODADDY REPORTS STRONG FOURTH QUARTER AND FULL YEAR 2023 RESULTS
GDDY,2024-02-13,21:05:15,0A0D9E,GoDaddy Inc.,100,0.0,equity-actions,,GoDaddy Inc.: Capital expenditures $35 million,PRESS-RELEASE,PR Newswire,GODADDY REPORTS STRONG FOURTH QUARTER AND FULL YEAR 2023 RESULTS
