ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
GNRC,2021-01-06,21:31:20,304C94,Generac Holdings Inc.,100,-0.49,insider-trading,,"Chmn Jagdfeld Sells 5,000 Of Generac Holdings Inc",TABULAR-MATERIAL,Dow Jones Newswires,"Chmn Jagdfeld Sells 5,000 Of Generac Holdings Inc >GNRC"
GNRC,2021-01-19,17:30:04,304C94,Generac Holdings Inc.,99,0.53,labor-issues,,Generac Power Systems (NYSE: GNRC) has appointed three executives,PRESS-RELEASE,PR Newswire,"Generac Announces New Business Organization, Executive Appointments"
GNRC,2021-01-19,17:30:04,304C94,Generac Holdings Inc.,99,0.49,partnerships,,"Generac Holdings Inc.: Under his leadership, the ET team will collaborate with Generac",PRESS-RELEASE,PR Newswire,"Generac Announces New Business Organization, Executive Appointments"
GNRC,2021-01-19,17:30:04,304C94,Generac Holdings Inc.,99,0.53,labor-issues,,Generac Power Systems (NYSE: GNRC) has appointed three executives,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Generac Announces New Business Organization, Executive Appointments"
GNRC,2021-01-19,17:30:04,304C94,Generac Holdings Inc.,99,0.49,partnerships,,"Generac Holdings Inc.: Under his leadership, the ET team will collaborate with Generac",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Generac Announces New Business Organization, Executive Appointments"
GNRC,2021-01-19,17:32:17,304C94,Generac Holdings Inc.,100,0.53,labor-issues,,Appointed Chief Strategy Officer >GNRC,NEWS-FLASH,Dow Jones Newswires,Generac: Steve Goran Has Been Appointed Chief Strategy Officer >GNRC
GNRC,2021-01-23,08:04:11,304C94,Generac Holdings Inc.,100,0.0,investor-relations,,"Generac Holdings Inc, Inst Holders, 4Q 2020 (GNRC)",RNS-SEC13F,Dow Jones Newswires,"Generac Holdings Inc, Inst Holders, 4Q 2020 (GNRC)"
GNRC,2021-01-28,11:00:01,304C94,Generac Holdings Inc.,100,0.0,earnings,,Generac Announces Fourth Quarter and Full Year 2020 Earnings Release,PRESS-RELEASE,GlobeNewswire,Generac Announces Fourth Quarter and Full Year 2020 Earnings Release Date and Conference Call
GNRC,2021-01-28,11:00:01,304C94,Generac Holdings Inc.,100,0.0,earnings,,Generac Announces Fourth Quarter and Full Year 2020 Earnings Release,PRESS-RELEASE,GlobeNewswire,Generac Announces Fourth Quarter and Full Year 2020 Earnings Release Date and Conference Call
GNRC,2021-01-28,11:00:01,304C94,Generac Holdings Inc.,100,0.0,investor-relations,,Generac management will hold a conference call at 10:00 a.m. EST,PRESS-RELEASE,GlobeNewswire,Generac Announces Fourth Quarter and Full Year 2020 Earnings Release Date and Conference Call
GNRC,2021-01-28,11:03:10,304C94,Generac Holdings Inc.,100,0.0,earnings,,Generac Announces Fourth Quarter and Full Year 2020 Earnings Release,PRESS-RELEASE,Dow Jones Newswires,Press Release: Generac Announces Fourth Quarter and Full Year 2020 Earnings Release Date and Conference Call
GNRC,2021-01-28,11:03:10,304C94,Generac Holdings Inc.,100,0.0,earnings,,Generac Announces Fourth Quarter and Full Year 2020 Earnings Release,PRESS-RELEASE,Dow Jones Newswires,Press Release: Generac Announces Fourth Quarter and Full Year 2020 Earnings Release Date and Conference Call
GNRC,2021-01-28,11:03:10,304C94,Generac Holdings Inc.,100,0.0,investor-relations,,Generac management will hold a conference call at 10:00 a.m. EST,PRESS-RELEASE,Dow Jones Newswires,Press Release: Generac Announces Fourth Quarter and Full Year 2020 Earnings Release Date and Conference Call
GNRC,2021-02-03,21:58:15,304C94,Generac Holdings Inc.,100,-0.49,insider-trading,,"Chmn Jagdfeld Sells 5,000 Of Generac Holdings Inc",TABULAR-MATERIAL,Dow Jones Newswires,"Chmn Jagdfeld Sells 5,000 Of Generac Holdings Inc >GNRC"
GNRC,2021-02-04,14:08:42,304C94,Generac Holdings Inc.,100,0.2,analyst-ratings,neutral,Generac Is Maintained at Buy by Roth Capital,NEWS-FLASH,Dow Jones Newswires,Generac Is Maintained at Buy by Roth Capital
GNRC,2021-02-04,14:08:42,304C94,Generac Holdings Inc.,100,0.8,price-targets,upgrade,Generac Price Target Raised to $340.00/Share From $260.00 by Roth Capital,NEWS-FLASH,Dow Jones Newswires,Generac Price Target Raised to $340.00/Share From $260.00 by Roth Capital
GNRC,2021-02-10,16:00:05,304C94,Generac Holdings Inc.,99,0.0,products-services,,Demand for Generac products,PRESS-RELEASE,PR Newswire,Generac Expands Capacity With New Manufacturing and Distribution Facility
GNRC,2021-02-10,16:00:05,304C94,Generac Holdings Inc.,99,0.0,products-services,,Demand for Generac products,PRESS-RELEASE,Dow Jones Newswires,Press Release: Generac Expands Capacity With New Manufacturing and Distribution Facility
GNRC,2021-02-11,11:00:01,304C94,Generac Holdings Inc.,100,0.64,earnings,up,Generac Reports Record Fourth Quarter and Full-Year 2020 Results,PRESS-RELEASE,GlobeNewswire,Generac Reports Record Fourth Quarter and Full-Year 2020 Results
GNRC,2021-02-11,11:00:01,304C94,Generac Holdings Inc.,100,0.64,earnings,up,Generac Reports Record Fourth Quarter and Full-Year 2020 Results,PRESS-RELEASE,GlobeNewswire,Generac Reports Record Fourth Quarter and Full-Year 2020 Results
GNRC,2021-02-11,11:00:01,304C94,Generac Holdings Inc.,100,0.0,earnings,,Generac Holdings Inc.: 2021 outlook,PRESS-RELEASE,GlobeNewswire,Generac Reports Record Fourth Quarter and Full-Year 2020 Results
GNRC,2021-02-11,11:00:01,304C94,Generac Holdings Inc.,100,0.46,revenues,up,Generac Holdings Inc.: Domestic segment sales increased 37.2% to $645.1 million,PRESS-RELEASE,GlobeNewswire,Generac Reports Record Fourth Quarter and Full-Year 2020 Results
