ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
GPC,2021-01-04,14:01:44,4607EB,Gunpowder Capital Corp.,99,0.0,revenues,,Gunpowder Capital Corp.: The Q4 2020 Gross Revenue,PRESS-RELEASE,DJ Global Press Release Wire,Bluesky Digital Assets Corp. Provides Q4 2020 Gross Revenue Update & Announces Exercise of Stock Options
GPC,2021-01-04,14:01:44,4607EB,Gunpowder Capital Corp.,99,0.65,revenues,up,Gunpowder Capital Corp.: we will have monthly revenue gains,PRESS-RELEASE,DJ Global Press Release Wire,Bluesky Digital Assets Corp. Provides Q4 2020 Gross Revenue Update & Announces Exercise of Stock Options
GPC,2021-01-12,13:00:51,4607EB,Gunpowder Capital Corp.,100,0.49,partnerships,,"Bluesky Digital Assets Corp., Announces Strategic Partnership with WeDig Techsolutions (P) Ltd",PRESS-RELEASE,DJ Global Press Release Wire,"Bluesky Digital Assets Corp., Announces Strategic Partnership with WeDig Techsolutions (P) Ltd."
GPC,2021-01-18,21:31:45,4607EB,Gunpowder Capital Corp.,100,0.49,equity-actions,,"Bluesky Digital Assets Corp., Raises $2,183,000.00 CDN via the Completion of its Oversubscribed Private Placement",PRESS-RELEASE,DJ Global Press Release Wire,"Bluesky Digital Assets Corp., Raises $2,183,000.00 CDN via the Completion of its Oversubscribed Private Placement, Engages North Equities, Grants Stock Options, Announces an Exercise of Stock Options"
GPC,2021-01-20,16:15:49,4607EB,Gunpowder Capital Corp.,100,0.55,acquisitions-mergers,,"Bluesky Digital Assets Corp., Acquires $500,000.00 CDN Worth of New Mining Assets",PRESS-RELEASE,DJ Global Press Release Wire,"Bluesky Digital Assets Corp., Acquires $500,000.00 CDN Worth of New Mining Assets"
GPC,2021-02-22,13:00:45,4607EB,Gunpowder Capital Corp.,99,0.44,products-services,,Gunpowder Capital Corp.: This latest addition of mixed mining hardware technology,PRESS-RELEASE,DJ Global Press Release Wire,"Bluesky Digital Assets Corp., Deploys $500,000.00 CDN Worth of New Mining Assets into Full Production"
GPC,2021-04-01,11:44:59,4607EB,Gunpowder Capital Corp.,99,0.0,equity-actions,,"Gunpowder Capital Corp.: Operational costs to mine the crypto assets amounted to approximately $165,000 CDN",PRESS-RELEASE,DJ Global Press Release Wire,"Bluesky Digital Assets Corp., Releases a Snapshot of its Q1 2021 Performance, Achieves Quarterly Result Record of $1,000,000 CDN in Gross Revenue"
GPC,2021-04-01,11:44:59,4607EB,Gunpowder Capital Corp.,99,0.65,revenues,up,Gunpowder Capital Corp.: Substantial increases to revenue,PRESS-RELEASE,DJ Global Press Release Wire,"Bluesky Digital Assets Corp., Releases a Snapshot of its Q1 2021 Performance, Achieves Quarterly Result Record of $1,000,000 CDN in Gross Revenue"
GPC,2021-04-13,12:01:47,4607EB,Gunpowder Capital Corp.,100,0.57,equity-actions,listing,"Bluesky Digital Assets Corp., Common Shares Will Commence Trading on the OTCQB",PRESS-RELEASE,DJ Global Press Release Wire,"Bluesky Digital Assets Corp., Common Shares Will Commence Trading on the OTCQB in the United States"
GPC,2021-06-11,13:11:39,4607EB,Gunpowder Capital Corp.,100,0.0,earnings,,"Bluesky Digital Assets Corp., Releases its Q1, 2021 Financial Results",PRESS-RELEASE,DJ Global Press Release Wire,"Bluesky Digital Assets Corp., Releases its Q1, 2021 Financial Results"
