ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
HIG,2024-01-05,21:36:32,766047,Hartford Financial Services Group Inc.,100,-0.48,insider-trading,,"Chmn Swift Registers 3,337 Of Hartford Financial Services Group Inc >HIG",RNS-SEC144,Dow Jones Newswires,"Chmn Swift Registers 3,337 Of Hartford Financial Services Group Inc >HIG"
HIG,2024-01-08,12:19:54,766047,Hartford Financial Services Group Inc.,100,-0.58,analyst-ratings,negative,Hartford Financial Cut to Neutral From Overweight by JP Morgan,NEWS-FLASH,Dow Jones Newswires,Hartford Financial Cut to Neutral From Overweight by JP Morgan
HIG,2024-01-08,12:19:54,766047,Hartford Financial Services Group Inc.,100,-0.46,price-targets,downgrade,Hartford Financial Price Target Cut to $91.00/Share From $94.00 by JP Morgan,NEWS-FLASH,Dow Jones Newswires,Hartford Financial Price Target Cut to $91.00/Share From $94.00 by JP Morgan
HIG,2024-01-09,21:07:05,766047,Hartford Financial Services Group Inc.,100,-0.49,insider-trading,,"Chmn Swift Sells 3,337 Of Hartford Financial Services Group Inc",TABULAR-MATERIAL,Dow Jones Newswires,"Chmn Swift Sells 3,337 Of Hartford Financial Services Group Inc >HIG"
HIG,2024-01-12,21:15:46,766047,Hartford Financial Services Group Inc.,100,-0.48,insider-trading,,"Chmn Swift Registers 2,290 Of Hartford Financial Services Group Inc >HIG",RNS-SEC144,Dow Jones Newswires,"Chmn Swift Registers 2,290 Of Hartford Financial Services Group Inc >HIG"
HIG,2024-01-16,21:11:45,766047,Hartford Financial Services Group Inc.,100,-0.49,insider-trading,,"Chmn Swift Sells 2,290 Of Hartford Financial Services Group Inc",TABULAR-MATERIAL,Dow Jones Newswires,"Chmn Swift Sells 2,290 Of Hartford Financial Services Group Inc >HIG"
HIG,2024-01-17,21:12:26,766047,Hartford Financial Services Group Inc.,100,-0.48,insider-trading,,"Chmn Swift Registers 4,633 Of Hartford Financial Services Group Inc >HIG",RNS-SEC144,Dow Jones Newswires,"Chmn Swift Registers 4,633 Of Hartford Financial Services Group Inc >HIG"
HIG,2024-01-18,21:33:34,766047,Hartford Financial Services Group Inc.,100,-0.48,insider-trading,,"Chmn Swift Registers 43,551 Of Hartford Financial Services Group Inc >HIG",RNS-SEC144,Dow Jones Newswires,"Chmn Swift Registers 43,551 Of Hartford Financial Services Group Inc >HIG"
HIG,2024-01-19,21:27:11,766047,Hartford Financial Services Group Inc.,100,-0.49,insider-trading,,"Chmn Swift Sells 48,184 Of Hartford Financial Services Group Inc",TABULAR-MATERIAL,Dow Jones Newswires,"Chmn Swift Sells 48,184 Of Hartford Financial Services Group Inc >HIG"
HIG,2024-01-19,21:27:32,766047,Hartford Financial Services Group Inc.,100,-0.48,insider-trading,,"Chmn Swift Registers 46,818 Of Hartford Financial Services Group Inc >HIG",RNS-SEC144,Dow Jones Newswires,"Chmn Swift Registers 46,818 Of Hartford Financial Services Group Inc >HIG"
