ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
HPE,2024-02-13,06:02:19,C6BFE6,Hokuetsu Corp.,100,0.76,earnings,up,Hokuetsu 9-Mos Net Y7.29B Vs Net Y3.92B,TABULAR-MATERIAL,Dow Jones Newswires,Hokuetsu 9-Mos Net Y7.29B Vs Net Y3.92B
HPE,2024-02-13,06:02:20,C6BFE6,Hokuetsu Corp.,100,0.0,earnings,,Hokuetsu Sees FY Net Y9.00B,TABULAR-MATERIAL,Dow Jones Newswires,Hokuetsu Sees FY Net Y9.00B
HPE,2024-03-15,07:00:10,C6BFE6,Hokuetsu Corp.,100,-0.74,earnings,down,Hokuetsu Cuts FY Net View to Y6.50B,TABULAR-MATERIAL,Dow Jones Newswires,Hokuetsu Cuts FY Net View to Y6.50B
HPE,2024-05-07,23:00:00,C6BFE6,Hokuetsu Corp.,99,0.49,partnerships,,"Hokuetsu Corp.: Announcing a Strategic Alliance with Daio, of",PRESS-RELEASE,Business Wire,"Oasis Calls for CEO Dismissal, Submits Shareholder Proposals for New Directors at Hokuetsu AGM (Securities Code: 3865 JT)"
HPE,2024-05-07,23:00:01,C6BFE6,Hokuetsu Corp.,99,0.49,partnerships,,"Hokuetsu Corp.: Announcing a Strategic Alliance with Daio, of",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Oasis Calls for CEO Dismissal, Submits Shareholder Proposals for New Directors at Hokuetsu AGM (Securities Code: 3865 JT)"
HPE,2024-05-15,04:00:13,C6BFE6,Hokuetsu Corp.,100,0.4,earnings,up,Hokuetsu FY Net Y8.40B Vs Net Y8.33B,TABULAR-MATERIAL,Dow Jones Newswires,Hokuetsu FY Net Y8.40B Vs Net Y8.33B
HPE,2024-05-15,04:00:13,C6BFE6,Hokuetsu Corp.,100,0.0,earnings,,Hokuetsu Sees FY Net Y14.00B,TABULAR-MATERIAL,Dow Jones Newswires,Hokuetsu Sees FY Net Y14.00B
HPE,2024-05-19,23:00:00,C6BFE6,Hokuetsu Corp.,99,0.22,acquisitions-mergers,,Hokuetsu originally bought the Daio stake,PRESS-RELEASE,Business Wire,Oasis Response to Hokuetsu's Announcement on Reducing Daio Paper Stake (Securities Code: 3865 JT)
HPE,2024-05-19,23:00:00,C6BFE6,Hokuetsu Corp.,99,0.22,acquisitions-mergers,,Hokuetsu originally bought the Daio stake,PRESS-RELEASE,Dow Jones Newswires,Press Release: Oasis Response to Hokuetsu's Announcement on Reducing Daio Paper Stake (Securities Code: 3865 JT)
HPE,2024-08-09,06:02:50,C6BFE6,Hokuetsu Corp.,100,-0.68,earnings,down,Hokuetsu 1Q Net Y2.36B Vs Net Y6.32B,TABULAR-MATERIAL,Dow Jones Newswires,Hokuetsu 1Q Net Y2.36B Vs Net Y6.32B
HPE,2024-08-09,06:02:51,C6BFE6,Hokuetsu Corp.,100,0.0,earnings,,Hokuetsu Sees 1H Net Y6.00B,TABULAR-MATERIAL,Dow Jones Newswires,Hokuetsu Sees 1H Net Y6.00B
HPE,2024-11-14,06:00:39,C6BFE6,Hokuetsu Corp.,100,-0.48,earnings,down,Hokuetsu 1H Net Y6.28B Vs Net Y9.40B,TABULAR-MATERIAL,Dow Jones Newswires,Hokuetsu 1H Net Y6.28B Vs Net Y9.40B
HPE,2024-11-14,06:00:40,C6BFE6,Hokuetsu Corp.,100,0.0,earnings,,Hokuetsu Sees FY Net Y16.00B,TABULAR-MATERIAL,Dow Jones Newswires,Hokuetsu Sees FY Net Y16.00B
HPE,2021-02-10,07:01:04,C6BFE6,Hokuetsu Kishu Paper Co. Ltd.,100,0.84,earnings,up,Hokuetsu 9-Mos Net Y7.38B Vs Net Y2.69B,TABULAR-MATERIAL,Dow Jones Newswires,Hokuetsu 9-Mos Net Y7.38B Vs Net Y2.69B
HPE,2021-02-10,07:01:04,C6BFE6,Hokuetsu Kishu Paper Co. Ltd.,100,0.0,earnings,,Hokuetsu Sees FY Net Y7.50B,TABULAR-MATERIAL,Dow Jones Newswires,Hokuetsu Sees FY Net Y7.50B
HPE,2021-05-14,06:15:35,C6BFE6,Hokuetsu Kishu Paper Co. Ltd.,100,0.72,earnings,up,Hokuetsu FY Net Y14.17B Vs Net Y8.07B,TABULAR-MATERIAL,Dow Jones Newswires,Hokuetsu FY Net Y14.17B Vs Net Y8.07B
HPE,2021-05-14,06:15:35,C6BFE6,Hokuetsu Kishu Paper Co. Ltd.,100,0.0,earnings,,Hokuetsu Sees FY Net Y17.00B,TABULAR-MATERIAL,Dow Jones Newswires,Hokuetsu Sees FY Net Y17.00B
HPE,2021-08-10,06:08:49,C6BFE6,Hokuetsu Kishu Paper Co. Ltd.,100,0.84,earnings,up,Hokuetsu 1Q Net Y7.50B Vs Net Y2.49B,TABULAR-MATERIAL,Dow Jones Newswires,Hokuetsu 1Q Net Y7.50B Vs Net Y2.49B
HPE,2021-08-10,06:08:50,C6BFE6,Hokuetsu Kishu Paper Co. Ltd.,100,0.0,earnings,,Hokuetsu Sees 1H Net Y11.00B,TABULAR-MATERIAL,Dow Jones Newswires,Hokuetsu Sees 1H Net Y11.00B
