ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
HSIC,2024-01-03,11:30:00,A7102F,Henry Schein Inc.,100,0.0,marketing,,Henry Schein to Present at J.P. Morgan's Healthcare Investor Conference,PRESS-RELEASE,Business Wire,Henry Schein to Present at J.P. Morgan's Healthcare Investor Conference
HSIC,2024-01-03,11:30:00,A7102F,Henry Schein Inc.,100,0.0,revenues,,Henry Schein Inc.: The Company's sales reached $12.6 billion in 2022,PRESS-RELEASE,Business Wire,Henry Schein to Present at J.P. Morgan's Healthcare Investor Conference
HSIC,2024-01-03,11:30:01,A7102F,Henry Schein Inc.,100,0.0,marketing,,Henry Schein to Present at J.P. Morgan's Healthcare Investor Conference,PRESS-RELEASE,Dow Jones Newswires,Press Release: Henry Schein to Present at J.P. Morgan's Healthcare Investor Conference
HSIC,2024-01-03,11:30:01,A7102F,Henry Schein Inc.,100,0.0,revenues,,Henry Schein Inc.: The Company's sales reached $12.6 billion in 2022,PRESS-RELEASE,Dow Jones Newswires,Press Release: Henry Schein to Present at J.P. Morgan's Healthcare Investor Conference
HSIC,2024-01-11,20:32:00,A7102F,Henry Schein Inc.,100,0.49,partnerships,,Strategic Relationship With Henry Schein as Well as,PRESS-RELEASE,Business Wire,Extremity Medical to Expand Orthopedic Extremity Implant Systems Through Strategic Relationship With Henry Schein as Well as Growth Financings
HSIC,2024-01-18,13:00:00,A7102F,Henry Schein Inc.,99,0.44,products-services,,Henry Schein Inc.: Recent advancements in the Clinician's Choice product,PRESS-RELEASE,Business Wire,Clinician's Choice(R) - Celebrating 30 Years of Clinical Excellence
HSIC,2024-01-23,11:30:00,A7102F,Henry Schein Inc.,99,0.0,revenues,,Henry Schein Inc.: The Company's sales reached $12.6 billion in 2022,PRESS-RELEASE,Business Wire,"Henry Schein to Webcast Fourth Quarter and Full-Year 2023 Conference Call and Introduce Its Full-Year 2024 Guidance on Tuesday, February 27, 2024 at 10:00 A.M. ET"
HSIC,2024-02-07,14:00:04,A7102F,Henry Schein Inc.,99,0.49,partnerships,,Henry Schein Inc.: Teams Up with the National Basketball Athletic Trainers Association to,PRESS-RELEASE,Business Wire,Henry Schein Medical Champions Women Athletic Trainers During National Girls and Women in Sports Day 2024
HSIC,2024-02-07,14:00:04,A7102F,Henry Schein Inc.,99,0.0,revenues,,Henry Schein Inc.: The Company's sales reached $12.6 billion in 2022,PRESS-RELEASE,Business Wire,Henry Schein Medical Champions Women Athletic Trainers During National Girls and Women in Sports Day 2024
HSIC,2024-02-07,14:08:32,A7102F,Henry Schein Inc.,99,0.49,partnerships,,Henry Schein Inc.: Teams Up with the National Basketball Athletic Trainers Association to,PRESS-RELEASE,Dow Jones Newswires,Press Release: Henry Schein Medical Champions Women Athletic Trainers During National Girls and Women in Sports Day 2024
