ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
HUM,2025-01-03,15:52:08,00067A,Humana Inc.,100,-0.49,insider-trading,,"Officer Huval Sells 3,703 Of Humana Inc",FULL-ARTICLE,Dow Jones Newswires,"Officer Huval Sells 3,703 Of Humana Inc >HUM"
HUM,2025-01-06,13:38:43,00067A,Humana Inc.,100,0.0,analyst-ratings,neutral,Humana Is Maintained at Hold by Truist Securities,NEWS-FLASH,Dow Jones Newswires,Humana Is Maintained at Hold by Truist Securities
HUM,2025-01-06,13:38:43,00067A,Humana Inc.,100,0.78,price-targets,upgrade,Humana Price Target Raised to $290.00/Share From $260.00 by Truist Securities,NEWS-FLASH,Dow Jones Newswires,Humana Price Target Raised to $290.00/Share From $260.00 by Truist Securities
HUM,2025-01-09,21:30:01,00067A,Humana Inc.,100,0.0,earnings,,"Humana Inc. to Release Fourth Quarter 2024 Results on February 11, 2025",PRESS-RELEASE,Business Wire,"Humana Inc. to Release Fourth Quarter 2024 Results on February 11, 2025"
HUM,2025-01-09,21:30:01,00067A,Humana Inc.,100,0.0,earnings,,Humana Inc. (NYSE: HUM) will release its financial results for the fourth quarter 2024,PRESS-RELEASE,Business Wire,"Humana Inc. to Release Fourth Quarter 2024 Results on February 11, 2025"
HUM,2025-01-09,22:37:19,00067A,Humana Inc.,100,0.0,earnings,,"Humana Inc. to Release Fourth Quarter 2024 Results on February 11, 2025",PRESS-RELEASE,Dow Jones Newswires,"Press Release: Humana Inc. to Release Fourth Quarter 2024 Results on February 11, 2025"
HUM,2025-01-09,22:37:19,00067A,Humana Inc.,100,0.0,earnings,,Humana Inc. (NYSE: HUM) will release its financial results for the fourth quarter 2024,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Humana Inc. to Release Fourth Quarter 2024 Results on February 11, 2025"
HUM,2025-01-10,16:48:52,00067A,Humana Inc.,100,0.52,insider-trading,,"Ceo Rechtin Acquires 1,204 Of Humana Inc >HUM",FULL-ARTICLE,Dow Jones Newswires,"CEO Rechtin Acquires 1,204 Of Humana Inc >HUM"
HUM,2025-01-10,22:44:00,00067A,Humana Inc.,99,0.0,earnings,,"Humana Inc.: On January 18, 2024, the Company announced its financial results for the fourth quarter and full year 2023",PRESS-RELEASE,Business Wire,"HUMANA INVESTIGATION INITIATED by Former Louisiana Attorney General: Kahn Swick & Foti, LLC Investigates the Officers and Directors of Humana Inc. - HUM"
HUM,2025-01-10,22:44:00,00067A,Humana Inc.,99,0.0,earnings,,"Humana Inc.: On January 18, 2024, the Company announced its financial results for the fourth quarter and full year 2023",PRESS-RELEASE,Business Wire,"HUMANA INVESTIGATION INITIATED by Former Louisiana Attorney General: Kahn Swick & Foti, LLC Investigates the Officers and Directors of Humana Inc. - HUM"
HUM,2025-01-15,17:20:03,00067A,Humana Inc.,100,0.0,analyst-ratings,neutral,Humana Is Maintained at Neutral by Piper Sandler,NEWS-FLASH,Dow Jones Newswires,Humana Is Maintained at Neutral by Piper Sandler
HUM,2025-01-15,17:20:04,00067A,Humana Inc.,100,0.64,price-targets,upgrade,Humana Price Target Raised to $288.00/Share From $270.00 by Piper Sandler,NEWS-FLASH,Dow Jones Newswires,Humana Price Target Raised to $288.00/Share From $270.00 by Piper Sandler
HUM,2025-01-22,12:22:58,00067A,Humana Inc.,100,0.0,analyst-ratings,neutral,Humana Is Maintained at Equal-Weight by Barclays,NEWS-FLASH,Dow Jones Newswires,Humana Is Maintained at Equal-Weight by Barclays
HUM,2025-01-22,12:22:58,00067A,Humana Inc.,100,0.3,price-targets,upgrade,Humana Price Target Raised to $255.00/Share From $253.00 by Barclays,NEWS-FLASH,Dow Jones Newswires,Humana Price Target Raised to $255.00/Share From $253.00 by Barclays
HUM,2025-01-22,13:00:06,00067A,Humana Inc.,100,0.49,partnerships,,Humana Inc.: Mercy Teams Up with Humana to,PRESS-RELEASE,PR Newswire,Mercy Teams Up with Humana to Increase Access to Primary Care for Patients 65+
HUM,2025-01-24,22:20:03,00067A,Humana Inc.,99,0.0,earnings,,"Humana Inc.: On January 18, 2024, the Company announced its financial results for the fourth quarter and full year 2023",PRESS-RELEASE,PR Newswire,"HUMANA INVESTIGATION INITIATED BY FORMER LOUISIANA ATTORNEY GENERAL: Kahn Swick & Foti, LLC Investigates the Officers and Directors of Humana Inc. - HUM"
HUM,2025-01-24,22:20:03,00067A,Humana Inc.,99,0.0,earnings,,"Humana Inc.: On January 18, 2024, the Company announced its financial results for the fourth quarter and full year 2023",PRESS-RELEASE,PR Newswire,"HUMANA INVESTIGATION INITIATED BY FORMER LOUISIANA ATTORNEY GENERAL: Kahn Swick & Foti, LLC Investigates the Officers and Directors of Humana Inc. - HUM"
HUM,2025-01-24,22:20:03,00067A,Humana Inc.,99,0.0,earnings,,"Humana Inc.: On January 18, 2024, the Company announced its financial results for the fourth quarter and full year 2023",PRESS-RELEASE,Dow Jones Newswires,"Press Release: HUMANA INVESTIGATION INITIATED BY FORMER LOUISIANA ATTORNEY GENERAL: Kahn Swick & Foti, LLC Investigates the Officers and Directors of Humana Inc. - HUM"
HUM,2025-01-24,22:20:03,00067A,Humana Inc.,99,0.0,earnings,,"Humana Inc.: On January 18, 2024, the Company announced its financial results for the fourth quarter and full year 2023",PRESS-RELEASE,Dow Jones Newswires,"Press Release: HUMANA INVESTIGATION INITIATED BY FORMER LOUISIANA ATTORNEY GENERAL: Kahn Swick & Foti, LLC Investigates the Officers and Directors of Humana Inc. - HUM"
HUM,2025-02-10,22:04:00,00067A,Humana Inc.,100,0.0,earnings,,Humana Reports Earnings Tuesday,FULL-ARTICLE,Dow Jones Newswires,Humana Reports Earnings Tuesday. Medicare Advantage Is the Problem. -- Barrons.com
HUM,2025-02-10,22:04:00,00067A,Humana Inc.,100,0.0,revenues,,Analysts expect Humana to report sales of $28.8 billion for the fourth quarter,FULL-ARTICLE,Dow Jones Newswires,Humana Reports Earnings Tuesday. Medicare Advantage Is the Problem. -- Barrons.com
