ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
IDXX,2024-01-17,15:28:24,B7EB38,IDEXX Laboratories Inc.,100,0.34,analyst-ratings,neutral,Idexx Labs Is Maintained at Buy by Goldman Sachs,NEWS-FLASH,Dow Jones Newswires,IDEXX Labs Is Maintained at Buy by Goldman Sachs
IDXX,2024-01-17,15:28:24,B7EB38,IDEXX Laboratories Inc.,100,0.8,price-targets,upgrade,Idexx Labs Price Target Raised to $650.00/Share From $500.00 by Goldman Sachs,NEWS-FLASH,Dow Jones Newswires,IDEXX Labs Price Target Raised to $650.00/Share From $500.00 by Goldman Sachs
IDXX,2024-01-23,20:30:00,B7EB38,IDEXX Laboratories Inc.,100,0.0,earnings,,Idexx Laboratories to Release 2023 Fourth Quarter and Full Year Financial Results,PRESS-RELEASE,Business Wire,IDEXX Laboratories to Release 2023 Fourth Quarter and Full Year Financial Results
IDXX,2024-01-23,20:30:00,B7EB38,IDEXX Laboratories Inc.,100,0.0,earnings,,Idexx Laboratories to Release 2023 Fourth Quarter and Full Year Financial Results,PRESS-RELEASE,Business Wire,IDEXX Laboratories to Release 2023 Fourth Quarter and Full Year Financial Results
IDXX,2024-01-23,20:30:00,B7EB38,IDEXX Laboratories Inc.,100,0.0,investor-relations,,IDEXX Laboratories Inc.: Individuals can access a live webcast of the conference call,PRESS-RELEASE,Business Wire,IDEXX Laboratories to Release 2023 Fourth Quarter and Full Year Financial Results
IDXX,2024-01-23,20:40:42,B7EB38,IDEXX Laboratories Inc.,100,0.0,earnings,,Idexx Laboratories to Release 2023 Fourth Quarter and Full Year Financial Results,PRESS-RELEASE,Dow Jones Newswires,Press Release: IDEXX Laboratories to Release 2023 Fourth Quarter and Full Year Financial Results
IDXX,2024-01-23,20:40:42,B7EB38,IDEXX Laboratories Inc.,100,0.0,earnings,,Idexx Laboratories to Release 2023 Fourth Quarter and Full Year Financial Results,PRESS-RELEASE,Dow Jones Newswires,Press Release: IDEXX Laboratories to Release 2023 Fourth Quarter and Full Year Financial Results
IDXX,2024-01-23,20:40:42,B7EB38,IDEXX Laboratories Inc.,100,0.0,investor-relations,,IDEXX Laboratories Inc.: Individuals can access a live webcast of the conference call,PRESS-RELEASE,Dow Jones Newswires,Press Release: IDEXX Laboratories to Release 2023 Fourth Quarter and Full Year Financial Results
IDXX,2024-01-30,10:46:33,B7EB38,IDEXX Laboratories Inc.,100,-0.58,analyst-ratings,negative,Idexx Labs Cut to Neutral From Overweight by Piper Sandler,NEWS-FLASH,Dow Jones Newswires,IDEXX Labs Cut to Neutral From Overweight by Piper Sandler
IDXX,2024-01-30,10:46:33,B7EB38,IDEXX Laboratories Inc.,100,0.0,price-targets,set,Idexx Labs Price Target Announced at $525.00/Share by Piper Sandler,NEWS-FLASH,Dow Jones Newswires,IDEXX Labs Price Target Announced at $525.00/Share by Piper Sandler
IDXX,2024-02-05,11:30:00,B7EB38,IDEXX Laboratories Inc.,100,0.61,earnings,positive,Idexx Labs 4Q EPS $2.32,NEWS-FLASH,Dow Jones Newswires,IDEXX Labs 4Q EPS $2.32 >IDXX
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,100,0.0,earnings,,Idexx Announces Fourth Quarter and Full Year Results,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,100,0.0,earnings,,Idexx Announces Fourth Quarter and Full Year Results,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,100,0.41,revenues,up,"IDEXX Laboratories Inc.: The Company reports revenues of $902 million for the fourth quarter of 2023, an increase of 9% compared to the prior year",PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,97,0.0,earnings,,IDEXX Laboratories Inc.: Income from operations,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year -3-
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,100,0.61,earnings,positive,IDEXX Laboratories Inc.: Delivers fourth quarter EPS of $2.32,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,100,0.61,earnings,positive,IDEXX Laboratories Inc.: Estimates 2024 EPS of $10.84 - $11.33,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,100,0.0,revenues,,IDEXX Laboratories Inc.: Revenue for the full year,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,100,0.61,earnings,positive,"IDEXX Laboratories Inc.: For the full year 2023, EPS of $10.06",PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,100,0.0,revenues,,IDEXX Laboratories Inc.: The Company's 2024 revenue guidance,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,100,-0.24,revenues,down,IDEXX Laboratories Inc.: LPD revenue declined 2%,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,100,0.4,earnings,up,IDEXX Laboratories Inc.: Gross profits increased 9%,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,100,0.0,revenues,,IDEXX Laboratories Inc.: Operating margin was 27.2% in the quarter,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,100,-0.16,equity-actions,up,IDEXX Laboratories Inc.: Operating expenses grew 9%,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,100,0.61,earnings,positive,Idexx Labs 4Q Net $194.5M,NEWS-FLASH,Dow Jones Newswires,IDEXX Labs 4Q Net $194.5M >IDXX
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,99,0.41,revenues,up,IDEXX Laboratories Inc.: Revenue growth rate impact 0%,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year -2-
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,99,0.0,investor-relations,,"Idexx Laboratories, Inc. will host a conference call today at 8:30 a.m. (Eastern)",PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year -2-
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,100,0.0,revenues,,Idexx Labs 4Q Rev $901.6M >IDXX,NEWS-FLASH,Dow Jones Newswires,IDEXX Labs 4Q Rev $901.6M >IDXX
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,97,-0.49,equity-actions,up,IDEXX Laboratories Inc.: Comparable operating expense growth,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year -3-
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,97,0.61,earnings,positive,IDEXX Laboratories Inc.: Earnings per share (diluted) $ 2.32 $ 2.05,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year -3-
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,97,0.7,earnings,up,IDEXX Laboratories Inc.: Projected 2024 comparable EPS growth,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year -3-
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,97,0.46,equity-actions,,IDEXX Laboratories Inc.: the Company's investments in property and equipment,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year -3-
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,99,0.0,earnings,,IDEXX Laboratories Inc.: Adjusted EBITDA,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year -4-
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,99,0.0,earnings,,"IDEXX Laboratories Inc.: the Company's Quarterly Report on Form 10-Q for the quarter ended September 30, 2023",PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year -4-
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,99,0.0,revenues,,"IDEXX Laboratories Inc.: Revenue: Revenue $901,601 $828,568",PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year -4-
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,99,0.61,earnings,positive,"IDEXX Laboratories Inc.: Gross profit 526,167",PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year -4-
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,99,0.0,earnings,,IDEXX Laboratories Inc.: Income from operations,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year -4-
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,99,0.61,earnings,positive,IDEXX Laboratories Inc.: Earnings per share: Basic $ 2.34 $ 2.08 $,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year -4-
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,99,0.61,earnings,positive,IDEXX Laboratories Inc.: Earnings per share: Diluted $ 2.32 $ 2.05 $,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year -4-
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,95,0.0,assets,,"IDEXX Laboratories Inc.: Total assets $ 3,259,925 $ 2,746,765",PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year -6-
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,95,0.0,revenues,,IDEXX Laboratories Inc.: Selected Days sales,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year -6-
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,95,0.0,earnings,,IDEXX Laboratories Inc.: Income from operations,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year -6-
IDXX,2024-02-05,11:30:01,B7EB38,IDEXX Laboratories Inc.,93,0.59,equity-actions,,IDEXX Laboratories Inc.: Shares repurchased,PRESS-RELEASE,Business Wire,IDEXX Announces Fourth Quarter and Full Year -7-
IDXX,2024-02-05,11:30:20,B7EB38,IDEXX Laboratories Inc.,100,0.0,earnings,,Idexx Announces Fourth Quarter and Full Year Results,PRESS-RELEASE,Dow Jones Newswires,Press Release: IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:20,B7EB38,IDEXX Laboratories Inc.,100,0.0,earnings,,Idexx Announces Fourth Quarter and Full Year Results,PRESS-RELEASE,Dow Jones Newswires,Press Release: IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:20,B7EB38,IDEXX Laboratories Inc.,100,0.41,revenues,up,"IDEXX Laboratories Inc.: The Company reports revenues of $902 million for the fourth quarter of 2023, an increase of 9% compared to the prior year",PRESS-RELEASE,Dow Jones Newswires,Press Release: IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:20,B7EB38,IDEXX Laboratories Inc.,100,0.61,earnings,positive,IDEXX Laboratories Inc.: Delivers fourth quarter EPS of $2.32,PRESS-RELEASE,Dow Jones Newswires,Press Release: IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:20,B7EB38,IDEXX Laboratories Inc.,100,0.61,earnings,positive,IDEXX Laboratories Inc.: Estimates 2024 EPS of $10.84 - $11.33,PRESS-RELEASE,Dow Jones Newswires,Press Release: IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:20,B7EB38,IDEXX Laboratories Inc.,100,0.0,revenues,,IDEXX Laboratories Inc.: Revenue for the full year,PRESS-RELEASE,Dow Jones Newswires,Press Release: IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:20,B7EB38,IDEXX Laboratories Inc.,100,0.61,earnings,positive,"IDEXX Laboratories Inc.: For the full year 2023, EPS of $10.06",PRESS-RELEASE,Dow Jones Newswires,Press Release: IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:20,B7EB38,IDEXX Laboratories Inc.,100,0.0,revenues,,IDEXX Laboratories Inc.: The Company's 2024 revenue guidance,PRESS-RELEASE,Dow Jones Newswires,Press Release: IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:20,B7EB38,IDEXX Laboratories Inc.,100,-0.24,revenues,down,IDEXX Laboratories Inc.: LPD revenue declined 2%,PRESS-RELEASE,Dow Jones Newswires,Press Release: IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:20,B7EB38,IDEXX Laboratories Inc.,100,0.4,earnings,up,IDEXX Laboratories Inc.: Gross profits increased 9%,PRESS-RELEASE,Dow Jones Newswires,Press Release: IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:20,B7EB38,IDEXX Laboratories Inc.,100,0.0,revenues,,IDEXX Laboratories Inc.: Operating margin was 27.2% in the quarter,PRESS-RELEASE,Dow Jones Newswires,Press Release: IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:20,B7EB38,IDEXX Laboratories Inc.,100,-0.16,equity-actions,up,IDEXX Laboratories Inc.: Operating expenses grew 9%,PRESS-RELEASE,Dow Jones Newswires,Press Release: IDEXX Announces Fourth Quarter and Full Year Results
IDXX,2024-02-05,11:30:20,B7EB38,IDEXX Laboratories Inc.,99,0.41,revenues,up,IDEXX Laboratories Inc.: Revenue growth rate impact 0%,PRESS-RELEASE,Dow Jones Newswires,Press Release: IDEXX Announces Fourth Quarter and -2-
IDXX,2024-02-05,11:30:20,B7EB38,IDEXX Laboratories Inc.,99,0.0,investor-relations,,"Idexx Laboratories, Inc. will host a conference call today at 8:30 a.m. (Eastern)",PRESS-RELEASE,Dow Jones Newswires,Press Release: IDEXX Announces Fourth Quarter and -2-
