ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
IP,2024-01-04,16:12:31,8E0E32,International Paper Co.,100,0.34,analyst-ratings,neutral,International Paper Is Maintained at Buy by Truist Securities,NEWS-FLASH,Dow Jones Newswires,International Paper Is Maintained at Buy by Truist Securities
IP,2024-01-04,16:12:31,8E0E32,International Paper Co.,100,0.78,price-targets,upgrade,International Paper Price Target Raised to $46.00/Share From $40.00 by Truist Securities,NEWS-FLASH,Dow Jones Newswires,International Paper Price Target Raised to $46.00/Share From $40.00 by Truist Securities
IP,2024-01-09,21:30:04,8E0E32,International Paper Co.,100,0.0,dividends,,International Paper Declares Quarterly Dividend,PRESS-RELEASE,PR Newswire,International Paper Declares Quarterly Dividend
IP,2024-01-09,21:30:04,8E0E32,International Paper Co.,100,0.0,dividends,,International Paper Declares Quarterly Dividend,PRESS-RELEASE,Dow Jones Newswires,Press Release: International Paper Declares Quarterly Dividend
IP,2024-01-22,18:03:38,8E0E32,International Paper Co.,100,0.49,partnerships,,International Paper Partners With Wreaths Across America,PRESS-RELEASE,DJ Global Press Release Wire,International Paper Partners With Wreaths Across America To Remember Fallen Veterans
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,earnings,,International Paper Reports Full-Year and Fourth Quarter 2023 Results,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth Quarter 2023 Results
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,earnings,,International Paper Reports Full-Year and Fourth Quarter 2023 Results,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth Quarter 2023 Results
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,-0.65,earnings,negative,International Paper Co.: Full-year net earnings (loss) of $288 million,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth Quarter 2023 Results
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.61,products-services,increase,International Paper Co.: We see demand growth across,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth Quarter 2023 Results
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,earnings,,International Paper Co.: Diluted Net EPS,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth Quarter 2023 Results
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.6,earnings,positive,International Paper Co.: Adjusted Operating Earnings,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth Quarter 2023 Results
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,revenues,,"International Paper Co.: Net Sales $ 4,601 $ 4,613 $",PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth Quarter 2023 Results
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,earnings,,International Paper Reports Full-Year,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -2-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.48,equity-actions,down,International Paper Co.: Input costs were lower,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -2-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.47,equity-actions,,International Paper Co.: Restructuring,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -2-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,investor-relations,,International Paper full-year and fourth quarter earnings call,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -2-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,investor-relations,,International Paper full-year and fourth quarter earnings call,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -2-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,-0.65,earnings,negative,International Paper 4Q Loss/Shr 82c,NEWS-FLASH,Dow Jones Newswires,International Paper 4Q Loss/Shr 82c >IP
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,earnings,,International Paper Reports Full-Year,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -3-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,revenues,,"International Paper Co.: Net Sales $ 4,601 $ 5,133 $",PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -3-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,earnings,,International Paper Co.: Basic Earnings Per Common Share,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -3-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,earnings,,International Paper Co.: Diluted Earnings Per Common Share,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -3-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,revenues,,International Paper 4Q Sales $4.6B >IP,NEWS-FLASH,Dow Jones Newswires,International Paper 4Q Sales $4.6B >IP
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,earnings,,International Paper Reports Full-Year,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -4-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.22,acquisitions-mergers,,International Paper Co.: our investment in Sylvamo Corporation,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -4-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.6,earnings,positive,International Paper Co.: Adjusted Operating Earnings per Share $ 0.41 $ 0.87 $,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -4-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,earnings,,International Paper Co.: Diluted Earnings per Common Share,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -4-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.61,earnings,positive,International Paper 4Q Adj EPS 41c,NEWS-FLASH,Dow Jones Newswires,International Paper 4Q Adj EPS 41c >IP
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,earnings,,International Paper Reports Full-Year,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -5-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,earnings,,International Paper Co.: Since diluted earnings per share,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -5-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,revenues,,"International Paper Co.: Net Sales $ 4,601 $ 5,133 $",PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -5-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,-0.65,earnings,negative,International Paper Co.: Operating Profit (Loss) by Business Segment Three Months,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -5-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.22,acquisitions-mergers,,International Paper Co.: our investment in Sylvamo Corporation,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -5-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,-0.65,earnings,negative,International Paper 4Q Loss $284M,NEWS-FLASH,Dow Jones Newswires,International Paper 4Q Loss $284M >IP
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,earnings,,International Paper Reports Full-Year,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -6-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,assets,,"International Paper Co.: Total Assets $ 23,261 $ 23,940",PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -6-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.46,equity-actions,,International Paper Co.: Investment Activities Invested in capital,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -6-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,0.0,earnings,,International Paper Reports Full-Year,PRESS-RELEASE,PR Newswire,International Paper Reports Full-Year and Fourth -7-
IP,2024-02-01,11:45:09,8E0E32,International Paper Co.,100,-0.63,earnings,negative,International Paper 4Q Cont Ops Loss/Shr 82c,NEWS-FLASH,Dow Jones Newswires,International Paper 4Q Cont Ops Loss/Shr 82c >IP
IP,2024-02-01,11:45:10,8E0E32,International Paper Co.,99,0.48,equity-actions,down,International Paper Co.: Input costs were lower,PRESS-RELEASE,Dow Jones Newswires,Press Release: International Paper Reports -2-
IP,2024-02-01,11:45:10,8E0E32,International Paper Co.,99,0.47,equity-actions,,International Paper Co.: Restructuring,PRESS-RELEASE,Dow Jones Newswires,Press Release: International Paper Reports -2-
IP,2024-02-01,11:45:10,8E0E32,International Paper Co.,99,0.0,investor-relations,,International Paper full-year and fourth quarter earnings call,PRESS-RELEASE,Dow Jones Newswires,Press Release: International Paper Reports -2-
IP,2024-02-01,11:45:10,8E0E32,International Paper Co.,99,0.0,investor-relations,,International Paper full-year and fourth quarter earnings call,PRESS-RELEASE,Dow Jones Newswires,Press Release: International Paper Reports -2-
IP,2024-02-01,11:45:10,8E0E32,International Paper Co.,99,0.0,revenues,,"International Paper Co.: Net Sales $ 4,601 $ 5,133 $",PRESS-RELEASE,Dow Jones Newswires,Press Release: International Paper Reports -3-
IP,2024-02-01,11:45:10,8E0E32,International Paper Co.,99,0.0,earnings,,International Paper Co.: Basic Earnings Per Common Share,PRESS-RELEASE,Dow Jones Newswires,Press Release: International Paper Reports -3-
IP,2024-02-01,11:45:10,8E0E32,International Paper Co.,99,0.0,earnings,,International Paper Co.: Diluted Earnings Per Common Share,PRESS-RELEASE,Dow Jones Newswires,Press Release: International Paper Reports -3-
IP,2024-02-01,11:45:10,8E0E32,International Paper Co.,99,0.0,earnings,,International Paper Co.: Since diluted earnings per share,PRESS-RELEASE,Dow Jones Newswires,Press Release: International Paper Reports -5-
IP,2024-02-01,11:45:10,8E0E32,International Paper Co.,99,0.0,revenues,,"International Paper Co.: Net Sales $ 4,601 $ 5,133 $",PRESS-RELEASE,Dow Jones Newswires,Press Release: International Paper Reports -5-
IP,2024-02-01,11:45:10,8E0E32,International Paper Co.,99,-0.65,earnings,negative,International Paper Co.: Operating Profit (Loss) by Business Segment Three Months,PRESS-RELEASE,Dow Jones Newswires,Press Release: International Paper Reports -5-
IP,2024-02-01,11:45:10,8E0E32,International Paper Co.,99,0.22,acquisitions-mergers,,International Paper Co.: our investment in Sylvamo Corporation,PRESS-RELEASE,Dow Jones Newswires,Press Release: International Paper Reports -5-
IP,2024-02-01,11:45:10,8E0E32,International Paper Co.,92,0.0,assets,,"International Paper Co.: Total Assets $ 23,261 $ 23,940",PRESS-RELEASE,Dow Jones Newswires,Press Release: International Paper Reports -6-
IP,2024-02-01,11:45:10,8E0E32,International Paper Co.,92,0.46,equity-actions,,International Paper Co.: Investment Activities Invested in capital,PRESS-RELEASE,Dow Jones Newswires,Press Release: International Paper Reports -6-
IP,2024-02-01,12:07:01,8E0E32,International Paper Co.,94,0.0,earnings,,"International Paper Co.: the ""Company"") issued a press release announcing its financial results for the full-year",RNS-SEC8K,Dow Jones Newswires,International Paper Files 8K - Operations And Financial Condition >IP
IP,2024-02-01,12:07:34,8E0E32,International Paper Co.,100,0.64,earnings,up,International Paper's loss narrowed in the fourth quarter,FULL-ARTICLE,Dow Jones Newswires,"International Paper Loss Narrows, Sales Fall on Lower Prices"
IP,2024-02-02,14:31:50,8E0E32,International Paper Co.,100,0.0,analyst-ratings,neutral,International Paper Is Maintained at Equal-Weight by Wells Fargo,NEWS-FLASH,Dow Jones Newswires,International Paper Is Maintained at Equal-Weight by Wells Fargo
IP,2024-02-02,14:31:50,8E0E32,International Paper Co.,100,-0.8,price-targets,downgrade,International Paper Price Target Cut to $35.00/Share From $39.00 by Wells Fargo,NEWS-FLASH,Dow Jones Newswires,International Paper Price Target Cut to $35.00/Share From $39.00 by Wells Fargo
IP,2024-02-02,20:04:51,8E0E32,International Paper Co.,100,0.34,analyst-ratings,neutral,International Paper Is Maintained at Buy by Truist Securities,NEWS-FLASH,Dow Jones Newswires,International Paper Is Maintained at Buy by Truist Securities
IP,2024-02-02,20:04:51,8E0E32,International Paper Co.,100,-0.8,price-targets,downgrade,International Paper Price Target Cut to $40.00/Share From $46.00 by Truist Securities,NEWS-FLASH,Dow Jones Newswires,International Paper Price Target Cut to $40.00/Share From $46.00 by Truist Securities
IP,2024-02-05,14:54:01,8E0E32,International Paper Co.,100,0.0,insider-trading,,Vp Ellis Surrenders 660 Of International Paper Co >IP,FULL-ARTICLE,Dow Jones Newswires,VP Ellis Surrenders 660 Of International Paper Co >IP
IP,2024-02-05,14:54:17,8E0E32,International Paper Co.,100,0.0,insider-trading,,Vp Goughnour Surrenders 443 Of International Paper Co >IP,FULL-ARTICLE,Dow Jones Newswires,VP Goughnour Surrenders 443 Of International Paper Co >IP
IP,2024-02-05,14:55:32,8E0E32,International Paper Co.,100,0.0,insider-trading,,Vp Gregg Surrenders 567 Of International Paper Co >IP,FULL-ARTICLE,Dow Jones Newswires,VP Gregg Surrenders 567 Of International Paper Co >IP
IP,2024-02-05,14:56:33,8E0E32,International Paper Co.,100,0.0,insider-trading,,"Vp Hamic Surrenders 1,319 Of International Paper Co >IP",FULL-ARTICLE,Dow Jones Newswires,"VP Hamic Surrenders 1,319 Of International Paper Co >IP"
IP,2024-02-05,14:56:55,8E0E32,International Paper Co.,100,0.0,insider-trading,,Vp Magness Surrenders 567 Of International Paper Co >IP,FULL-ARTICLE,Dow Jones Newswires,VP Magness Surrenders 567 Of International Paper Co >IP
IP,2024-02-05,14:58:20,8E0E32,International Paper Co.,100,0.0,insider-trading,,"Cfo Nicholls Surrenders 1,537 Of International Paper Co >IP",FULL-ARTICLE,Dow Jones Newswires,"CFO Nicholls Surrenders 1,537 Of International Paper Co >IP"
IP,2024-02-05,14:59:16,8E0E32,International Paper Co.,100,0.0,insider-trading,,Vp Royalty Jr Surrenders 660 Of International Paper Co >IP,FULL-ARTICLE,Dow Jones Newswires,VP Royalty Jr Surrenders 660 Of International Paper Co >IP
IP,2024-02-05,15:00:04,8E0E32,International Paper Co.,100,0.0,insider-trading,,Vp Saab Surrenders 789 Of International Paper Co >IP,FULL-ARTICLE,Dow Jones Newswires,VP Saab Surrenders 789 Of International Paper Co >IP
IP,2024-02-05,15:00:44,8E0E32,International Paper Co.,100,0.0,insider-trading,,Vp Sosnina Surrenders 519 Of International Paper Co >IP,FULL-ARTICLE,Dow Jones Newswires,VP Sosnina Surrenders 519 Of International Paper Co >IP
IP,2024-02-05,15:01:42,8E0E32,International Paper Co.,100,0.0,insider-trading,,"Chmn Sutton Surrenders 5,278 Of International Paper Co >IP",FULL-ARTICLE,Dow Jones Newswires,"Chmn Sutton Surrenders 5,278 Of International Paper Co >IP"
IP,2024-02-05,22:47:59,8E0E32,International Paper Co.,100,0.0,insider-trading,,Vp Plath Surrenders 772 Of International Paper Co >IP,FULL-ARTICLE,Dow Jones Newswires,VP Plath Surrenders 772 Of International Paper Co >IP
IP,2024-02-14,17:16:12,8E0E32,International Paper Co.,100,0.52,insider-trading,,"Vp Ellis Acquires 8,752 Of International Paper Co >IP",FULL-ARTICLE,Dow Jones Newswires,"VP Ellis Acquires 8,752 Of International Paper Co >IP"
IP,2024-02-14,17:23:57,8E0E32,International Paper Co.,100,0.52,insider-trading,,"Vp Gregg Acquires 5,554 Of International Paper Co >IP",FULL-ARTICLE,Dow Jones Newswires,"VP Gregg Acquires 5,554 Of International Paper Co >IP"
IP,2024-02-14,18:14:54,8E0E32,International Paper Co.,100,0.52,insider-trading,,"Vp Hamic Acquires 10,431 Of International Paper Co >IP",FULL-ARTICLE,Dow Jones Newswires,"VP Hamic Acquires 10,431 Of International Paper Co >IP"
IP,2024-02-14,18:18:38,8E0E32,International Paper Co.,100,0.52,insider-trading,,"Vp Magness Acquires 4,574 Of International Paper Co >IP",FULL-ARTICLE,Dow Jones Newswires,"VP Magness Acquires 4,574 Of International Paper Co >IP"
IP,2024-02-14,18:24:08,8E0E32,International Paper Co.,100,0.52,insider-trading,,"Cfo Nicholls Acquires 32,653 Of International Paper Co >IP",FULL-ARTICLE,Dow Jones Newswires,"CFO Nicholls Acquires 32,653 Of International Paper Co >IP"
IP,2024-02-14,18:28:25,8E0E32,International Paper Co.,100,0.52,insider-trading,,"Vp Plath Acquires 13,981 Of International Paper Co >IP",FULL-ARTICLE,Dow Jones Newswires,"VP Plath Acquires 13,981 Of International Paper Co >IP"
IP,2024-02-14,18:31:02,8E0E32,International Paper Co.,100,0.52,insider-trading,,"Vp Royalty Jr Acquires 10,372 Of International Paper Co >IP",FULL-ARTICLE,Dow Jones Newswires,"VP Royalty Jr Acquires 10,372 Of International Paper Co >IP"
IP,2024-02-14,18:34:51,8E0E32,International Paper Co.,100,0.52,insider-trading,,"Vp Saab Acquires 3,559 Of International Paper Co >IP",FULL-ARTICLE,Dow Jones Newswires,"VP Saab Acquires 3,559 Of International Paper Co >IP"
IP,2024-02-14,18:39:11,8E0E32,International Paper Co.,100,0.52,insider-trading,,"Chmn Sutton Acquires 109,439 Of International Paper Co >IP",FULL-ARTICLE,Dow Jones Newswires,"Chmn Sutton Acquires 109,439 Of International Paper Co >IP"
IP,2024-02-14,18:44:30,8E0E32,International Paper Co.,100,0.52,insider-trading,,"Vp Goughnour Acquires 7,462 Of International Paper Co >IP",FULL-ARTICLE,Dow Jones Newswires,"VP Goughnour Acquires 7,462 Of International Paper Co >IP"
IP,2024-02-16,22:16:13,8E0E32,International Paper Co.,100,-0.51,labor-issues,,Macpherson Resigns From International Paper Board,RNS-SEC8K,Dow Jones Newswires,Donald G. Macpherson Resigns From International Paper Board
IP,2024-02-21,08:00:48,8E0E32,International Paper Co.,100,0.0,investor-relations,,"International Paper Company, Inst Holders, 4Q 2023 (IP)",RNS-SEC13F,Dow Jones Newswires,"International Paper Company, Inst Holders, 4Q 2023 (IP)"
IP,2024-02-23,16:18:48,8E0E32,International Paper Co.,100,-0.49,insider-trading,,Dir Sullivan Sells 600 Of International Paper Co,FULL-ARTICLE,Dow Jones Newswires,Dir Sullivan Sells 600 Of International Paper Co >IP
IP,2024-02-28,21:49:18,8E0E32,International Paper Co.,100,-0.48,insider-trading,,"Vp Royalty Jr Registers 5,800 Of International Paper Co >IP",RNS-SEC144,Dow Jones Newswires,"VP Royalty Jr Registers 5,800 Of International Paper Co >IP"
IP,2024-02-29,15:18:59,8E0E32,International Paper Co.,100,-0.49,insider-trading,,Dir Sullivan Sells 600 Of International Paper Co,FULL-ARTICLE,Dow Jones Newswires,Dir Sullivan Sells 600 Of International Paper Co >IP
IP,2024-03-01,17:05:09,8E0E32,International Paper Co.,100,-0.49,insider-trading,,"Vp Royalty Jr Sells 5,800 Of International Paper Co",TABULAR-MATERIAL,Dow Jones Newswires,"VP Royalty Jr Sells 5,800 Of International Paper Co >IP"
IP,2024-03-06,18:32:34,8E0E32,International Paper Co.,99,0.26,corporate-responsibility,,International Paper Co.: Donating to,PRESS-RELEASE,DJ Global Press Release Wire,IP Fights Hungers and Disaster Relief in Mexico
IP,2024-03-18,17:00:05,8E0E32,International Paper Co.,100,-0.49,insider-trading,,Dir Sullivan Sells 600 Of International Paper Co,FULL-ARTICLE,Dow Jones Newswires,Dir Sullivan Sells 600 Of International Paper Co >IP
IP,2024-03-19,13:20:01,8E0E32,International Paper Co.,99,0.0,labor-issues,,International Paper Co.: the Company's Annual Incentive Plan,RNS-SEC8K,Dow Jones Newswires,"International Paper Files 8K - Director, Officer or Compensation Filing >IP"
IP,2024-03-19,13:20:02,8E0E32,International Paper Co.,93,0.53,labor-issues,,"International Paper Co.: On March 19, 2024, the Company issued a press release announcing the appointment of Mr. Silvernail as the chief executive officer",RNS-SEC8K,Dow Jones Newswires,International Paper Files 8K - Other Events >IP
IP,2024-03-19,15:19:22,8E0E32,International Paper Co.,92,0.53,labor-issues,,International Paper's naming of Andrew Silvernail as its next chief executive officer,FULL-ARTICLE,Dow Jones Newswires,International Paper CEO Change Could Precede Asset Sales -- Market Talk
IP,2024-03-20,08:49:00,8E0E32,International Paper Co.,100,0.94,analyst-ratings,positive,International Paper Raised to Buy From Neutral by Citigroup,NEWS-FLASH,Dow Jones Newswires,International Paper Raised to Buy From Neutral by Citigroup
IP,2024-03-20,08:49:00,8E0E32,International Paper Co.,100,0.8,price-targets,upgrade,International Paper Price Target Raised to $46.00/Share From $36.00 by Citigroup,NEWS-FLASH,Dow Jones Newswires,International Paper Price Target Raised to $46.00/Share From $36.00 by Citigroup
IP,2024-03-21,13:32:08,8E0E32,International Paper Co.,99,0.49,partnerships,,"International Paper Co.: Yet, today, our relationship with fire has changed with an overemphasis on putting",PRESS-RELEASE,DJ Global Press Release Wire,"On International Day of Forests, IP Shows How Landowners Use Controlled Burns To Promote Healthy Forests That Withstand Wildfires, Help Wildlife"
IP,2024-03-21,13:32:08,8E0E32,International Paper Co.,99,0.0,products-services,,International Paper Co.: Pulp production,PRESS-RELEASE,DJ Global Press Release Wire,"On International Day of Forests, IP Shows How Landowners Use Controlled Burns To Promote Healthy Forests That Withstand Wildfires, Help Wildlife"
IP,2024-03-26,17:59:31,8E0E32,International Paper Co.,99,0.55,acquisitions-mergers,interest,International Paper Confirms Proposal to Acquire DS Smith plc,PRESS-RELEASE,LSE Regulatory News Service (RNS),International Paper Company Statement re Possible Offer
