ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
IT,2021-01-06,15:15:24,F57F6F,Gartner Inc.,100,0.94,analyst-ratings,positive,Gartner Raised to Overweight From Equal-Weight by Morgan Stanley,NEWS-FLASH,Dow Jones Newswires,Gartner Raised to Overweight From Equal-Weight by Morgan Stanley
IT,2021-01-06,15:15:24,F57F6F,Gartner Inc.,100,0.78,price-targets,upgrade,Gartner Price Target Raised to $187.00/Share From $150.00 by Morgan Stanley,NEWS-FLASH,Dow Jones Newswires,Gartner Price Target Raised to $187.00/Share From $150.00 by Morgan Stanley
IT,2021-01-06,21:51:46,F57F6F,Gartner Inc.,100,0.0,insider-trading,,"Dir Grabe Gifts 75,116 Of Gartner Inc >IT",TABULAR-MATERIAL,Dow Jones Newswires,"Dir Grabe Gifts 75,116 Of Gartner Inc >IT"
IT,2021-01-07,13:00:13,F57F6F,Gartner Inc.,100,0.53,labor-issues,,"Gartner Inc.: Greg Early Joins IT Partners, Inc. as Executive Vice President",PRESS-RELEASE,PR Newswire,"Greg Early Joins IT Partners, Inc. as Executive Vice President and Chief Growth Officer"
IT,2021-01-12,21:00:26,F57F6F,Gartner Inc.,99,0.62,acquisitions-mergers,,Gartner Inc.: The acquisition of RecoveryPlanner further strengthens Agility's position as,PRESS-RELEASE,Business Wire,"Agility Recovery Acquires RecoveryPlanner, a Gartner Leader for Business Continuity Management Program Solutions"
IT,2021-01-13,13:57:03,F57F6F,Gartner Inc.,99,0.62,acquisitions-mergers,,Gartner Inc.: The acquisition of RecoveryPlanner further strengthens Agility's position as,PRESS-RELEASE,PR Newswire,"(PR) Agility Recovery Acquires RecoveryPlanner, a Gartner Leader for Business Continuity Management Program Solutions"
IT,2021-01-21,18:00:10,F57F6F,Gartner Inc.,93,0.65,revenues,up,Gartner Inc.: Sales Ops gain,PRESS-RELEASE,PR Newswire,Revenue Grid is first to market with a complete set of Guided Selling capabilities as predicted by Forrester and Gartner creating the next big category in sales tech
IT,2021-01-23,08:23:50,F57F6F,Gartner Inc.,100,0.0,investor-relations,,"Gartner Inc, Inst Holders, 4Q 2020 (IT)",RNS-SEC13F,Dow Jones Newswires,"Gartner Inc, Inst Holders, 4Q 2020 (IT)"
IT,2021-01-26,13:00:01,F57F6F,Gartner Inc.,100,0.0,earnings,,"Gartner to Report Fourth Quarter and Full Year 2020 Financial Results on February 9, 2021",PRESS-RELEASE,Business Wire,"Gartner to Report Fourth Quarter and Full Year 2020 Financial Results on February 9, 2021"
IT,2021-01-26,13:00:01,F57F6F,Gartner Inc.,100,0.0,earnings,,"Gartner to Report Fourth Quarter and Full Year 2020 Financial Results on February 9, 2021",PRESS-RELEASE,Business Wire,"Gartner to Report Fourth Quarter and Full Year 2020 Financial Results on February 9, 2021"
IT,2021-01-28,13:00:00,F57F6F,Gartner Inc.,100,0.0,marketing,,Gartner to Present at the Goldman Sachs Technology and Internet Conference,PRESS-RELEASE,Business Wire,Gartner to Present at the Goldman Sachs Technology and Internet Conference
IT,2021-02-01,14:00:02,F57F6F,Gartner Inc.,99,0.18,acquisitions-mergers,,Gartner Inc.: has made major investments in our,PRESS-RELEASE,GlobeNewswire,Flexera Recognized by Customers in Gartner Peer Insights
IT,2021-02-02,19:26:38,F57F6F,Gartner Inc.,99,0.0,products-services,,Gartner Inc.: Building sophisticated solutions,PRESS-RELEASE,PR Newswire,Episerver (Optimizely) Named a Leader in 2021 Gartner Magic Quadrant for Digital Experience Platforms
IT,2021-02-09,11:00:00,F57F6F,Gartner Inc.,100,0.61,earnings,positive,4Q EPS $1.33 >IT,NEWS-FLASH,Dow Jones Newswires,Gartner 4Q EPS $1.33 >IT
IT,2021-02-09,11:00:00,F57F6F,Gartner Inc.,100,0.61,earnings,positive,Gartner 4Q Net $120M,NEWS-FLASH,Dow Jones Newswires,Gartner 4Q Net $120M >IT
IT,2021-02-09,11:00:00,F57F6F,Gartner Inc.,100,0.0,revenues,,Gartner 4Q Rev $1.11B >IT,NEWS-FLASH,Dow Jones Newswires,Gartner 4Q Rev $1.11B >IT
IT,2021-02-09,11:00:01,F57F6F,Gartner Inc.,100,0.0,earnings,,Gartner Reports Fourth Quarter 2020 Financial Results,PRESS-RELEASE,Business Wire,Gartner Reports Fourth Quarter 2020 Financial Results
IT,2021-02-09,11:00:01,F57F6F,Gartner Inc.,100,0.0,revenues,,Gartner Inc.: Revenues: $1.1 billion,PRESS-RELEASE,Business Wire,Gartner Reports Fourth Quarter 2020 Financial Results
IT,2021-02-09,11:00:01,F57F6F,Gartner Inc.,100,0.61,earnings,positive,Gartner Inc.: Net income: $120 million,PRESS-RELEASE,Business Wire,Gartner Reports Fourth Quarter 2020 Financial Results
IT,2021-02-09,11:00:01,F57F6F,Gartner Inc.,100,0.0,earnings,,Gartner Inc.: adjusted EBITDA,PRESS-RELEASE,Business Wire,Gartner Reports Fourth Quarter 2020 Financial Results
IT,2021-02-09,11:00:01,F57F6F,Gartner Inc.,100,0.72,earnings,up,"Gartner Inc.: Diluted EPS: $1.33, +77%",PRESS-RELEASE,Business Wire,Gartner Reports Fourth Quarter 2020 Financial Results
IT,2021-02-09,11:00:01,F57F6F,Gartner Inc.,100,0.5,earnings,up,"Gartner Inc.: adjusted EPS: $1.59, +35%",PRESS-RELEASE,Business Wire,Gartner Reports Fourth Quarter 2020 Financial Results
IT,2021-02-09,11:00:01,F57F6F,Gartner Inc.,100,0.59,equity-actions,,Gartner Inc.: Repurchased 0.6 million common shares for $100 million,PRESS-RELEASE,Business Wire,Gartner Reports Fourth Quarter 2020 Financial Results
IT,2021-02-09,11:00:01,F57F6F,Gartner Inc.,100,0.0,investor-relations,,Gartner Inc.: CONFERENCE CALL INFORMATION,PRESS-RELEASE,Business Wire,Gartner Reports Fourth Quarter 2020 Financial Results
IT,2021-02-09,11:00:01,F57F6F,Gartner Inc.,100,-0.68,revenues,down,Gartner Inc.: Global Technology Sales Contract,PRESS-RELEASE,Business Wire,Gartner Reports Fourth Quarter 2020 Financial Results
IT,2021-02-09,11:00:01,F57F6F,Gartner Inc.,100,0.0,investor-relations,,Gartner Inc.: ANNUAL MEETING OF STOCKHOLDERS,PRESS-RELEASE,Business Wire,Gartner Reports Fourth Quarter 2020 Financial Results
IT,2021-02-09,11:00:01,F57F6F,Gartner Inc.,99,0.0,earnings,,Gartner Inc.: Adjusted EBITDA,PRESS-RELEASE,Business Wire,Gartner Reports Fourth Quarter 2020 Financial -2-
IT,2021-02-09,11:00:01,F57F6F,Gartner Inc.,99,0.0,earnings,,Gartner Inc.: Adjusted Net Income,PRESS-RELEASE,Business Wire,Gartner Reports Fourth Quarter 2020 Financial -2-
IT,2021-02-09,11:00:01,F57F6F,Gartner Inc.,99,0.0,earnings,,Gartner Inc.: Adjusted EPS,PRESS-RELEASE,Business Wire,Gartner Reports Fourth Quarter 2020 Financial -2-
