ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
ITW,2021-01-12,10:35:37,353DBB,Illinois Tool Works Inc.,100,0.94,analyst-ratings,positive,Illinois Tool Works Raised to Outperform From Neutral by Credit Suisse,NEWS-FLASH,Dow Jones Newswires,Illinois Tool Works Raised to Outperform From Neutral by Credit Suisse
ITW,2021-01-14,14:00:03,353DBB,Illinois Tool Works Inc.,99,0.0,earnings,,"Illinois Tool Works Inc. (NYSE: ITW) will issue its fourth quarter and full year 2020 results on Friday, February 5, 2021 at 7:00 a.m. CST",PRESS-RELEASE,GlobeNewswire,ITW Schedules Fourth Quarter and Full Year 2020 Earnings Webcast
ITW,2021-01-14,14:00:03,353DBB,Illinois Tool Works Inc.,99,0.0,earnings,,"Illinois Tool Works Inc. (NYSE: ITW) will issue its fourth quarter and full year 2020 results on Friday, February 5, 2021 at 7:00 a.m. CST",PRESS-RELEASE,GlobeNewswire,ITW Schedules Fourth Quarter and Full Year 2020 Earnings Webcast
ITW,2021-01-14,14:00:03,353DBB,Illinois Tool Works Inc.,99,0.0,earnings,,"Illinois Tool Works Inc. (NYSE: ITW) will issue its fourth quarter and full year 2020 results on Friday, February 5, 2021 at 7:00 a.m. CST",PRESS-RELEASE,Dow Jones Newswires,Press Release: ITW Schedules Fourth Quarter and Full Year 2020 Earnings Webcast
ITW,2021-01-14,14:00:03,353DBB,Illinois Tool Works Inc.,99,0.0,earnings,,"Illinois Tool Works Inc. (NYSE: ITW) will issue its fourth quarter and full year 2020 results on Friday, February 5, 2021 at 7:00 a.m. CST",PRESS-RELEASE,Dow Jones Newswires,Press Release: ITW Schedules Fourth Quarter and Full Year 2020 Earnings Webcast
ITW,2021-01-19,12:17:56,353DBB,Illinois Tool Works Inc.,100,0.62,analyst-ratings,positive,Illinois Tool Works Raised to Neutral From Sell by Goldman Sachs,NEWS-FLASH,Dow Jones Newswires,Illinois Tool Works Raised to Neutral From Sell by Goldman Sachs
ITW,2021-01-19,12:17:56,353DBB,Illinois Tool Works Inc.,100,0.78,price-targets,upgrade,Illinois Tool Works Price Target Raised to $217.00/Share From $195.00 by Goldman Sachs,NEWS-FLASH,Dow Jones Newswires,Illinois Tool Works Price Target Raised to $217.00/Share From $195.00 by Goldman Sachs
ITW,2021-01-19,13:00:01,353DBB,Illinois Tool Works Inc.,100,0.57,acquisitions-mergers,completed,Itw to Acquire MTS,PRESS-RELEASE,GlobeNewswire,ITW to Acquire MTS Test & Simulation Business From Amphenol
ITW,2021-01-19,13:00:01,353DBB,Illinois Tool Works Inc.,100,0.57,acquisitions-mergers,completed,To completing the acquisition of MTS,PRESS-RELEASE,Dow Jones Newswires,Press Release: ITW to Acquire MTS Test & Simulation Business From Amphenol
ITW,2021-01-19,13:00:40,353DBB,Illinois Tool Works Inc.,100,0.57,acquisitions-mergers,completed,Itw To Acquire MTS,PRESS-RELEASE,Business Wire,ITW To Acquire MTS Test & Simulation Business From Amphenol
ITW,2021-01-19,13:00:40,353DBB,Illinois Tool Works Inc.,100,0.57,acquisitions-mergers,completed,To completing the acquisition of MTS,PRESS-RELEASE,Dow Jones Newswires,Press Release: ITW To Acquire MTS Test & Simulation Business From Amphenol
ITW,2021-01-19,13:00:40,353DBB,Illinois Tool Works Inc.,100,0.55,acquisitions-mergers,,Itw to Acquire MTS Test & Simulation Business From Amphenol,NEWS-FLASH,Dow Jones Newswires,ITW to Acquire MTS Test & Simulation Business From Amphenol
ITW,2021-01-19,13:21:45,353DBB,Illinois Tool Works Inc.,100,0.62,acquisitions-mergers,,Illinois Tool Works To Acquire MTS,FULL-ARTICLE,Dow Jones Newswires,Illinois Tool Works To Acquire MTS Test & Simulation Business
ITW,2021-01-19,13:36:45,353DBB,Illinois Tool Works Inc.,100,0.62,acquisitions-mergers,,Illinois Tool Works To Acquire MTS,FULL-ARTICLE,Dow Jones Newswires,Illinois Tool Works To Acquire MTS Test & Simulation Business
ITW,2021-01-21,08:23:45,353DBB,Illinois Tool Works Inc.,100,0.0,investor-relations,,"Illinois Tool Works Inc, Inst Holders, 4Q 2020 (ITW)",RNS-SEC13F,Dow Jones Newswires,"Illinois Tool Works Inc, Inst Holders, 4Q 2020 (ITW)"
ITW,2021-02-05,13:00:01,353DBB,Illinois Tool Works Inc.,100,0.0,earnings,,Itw Reports Fourth Quarter and Full Year 2020 Results,PRESS-RELEASE,GlobeNewswire,ITW Reports Fourth Quarter and Full Year 2020 Results
ITW,2021-02-05,13:00:01,353DBB,Illinois Tool Works Inc.,100,0.0,earnings,,Itw Reports Fourth Quarter and Full Year 2020 Results,PRESS-RELEASE,GlobeNewswire,ITW Reports Fourth Quarter and Full Year 2020 Results
ITW,2021-02-05,13:00:01,353DBB,Illinois Tool Works Inc.,100,0.0,earnings,,Illinois Tool Works Inc.: Provides 2021 Guidance,PRESS-RELEASE,GlobeNewswire,ITW Reports Fourth Quarter and Full Year 2020 Results
ITW,2021-02-05,13:00:01,353DBB,Illinois Tool Works Inc.,100,0.41,revenues,up,Illinois Tool Works Inc.: Fourth-quarter revenue of $3.5 billion increased 0.2 percent versus prior year,PRESS-RELEASE,GlobeNewswire,ITW Reports Fourth Quarter and Full Year 2020 Results
ITW,2021-02-05,13:00:01,353DBB,Illinois Tool Works Inc.,100,0.4,earnings,up,Illinois Tool Works Inc.: GAAP EPS increased two percent to $2.02,PRESS-RELEASE,GlobeNewswire,ITW Reports Fourth Quarter and Full Year 2020 Results
ITW,2021-02-05,13:00:01,353DBB,Illinois Tool Works Inc.,100,0.38,earnings,up,Illinois Tool Works Inc.: Operating income increased seven percent to $883 million,PRESS-RELEASE,GlobeNewswire,ITW Reports Fourth Quarter and Full Year 2020 Results
ITW,2021-02-05,13:00:01,353DBB,Illinois Tool Works Inc.,100,0.0,revenues,,Illinois Tool Works Inc.: Operating margin was 25.4 percent,PRESS-RELEASE,GlobeNewswire,ITW Reports Fourth Quarter and Full Year 2020 Results
ITW,2021-02-05,13:00:01,353DBB,Illinois Tool Works Inc.,100,-0.24,revenues,down,Illinois Tool Works Inc.: Full year revenue of $12.6 billion declined 10.9 percent,PRESS-RELEASE,GlobeNewswire,ITW Reports Fourth Quarter and Full Year 2020 Results
ITW,2021-02-05,13:00:01,353DBB,Illinois Tool Works Inc.,100,0.59,equity-actions,,Illinois Tool Works Inc.: The company plans to repurchase approximately $1 billion of its shares in 2021,PRESS-RELEASE,GlobeNewswire,ITW Reports Fourth Quarter and Full Year 2020 Results
ITW,2021-02-05,13:00:01,353DBB,Illinois Tool Works Inc.,100,0.0,earnings,,Illinois Tool Works Inc.: The company initiated full-year GAAP EPS,PRESS-RELEASE,GlobeNewswire,ITW Reports Fourth Quarter and Full Year 2020 Results
ITW,2021-02-05,13:00:01,353DBB,Illinois Tool Works Inc.,100,0.0,revenues,,"Illinois Tool Works Inc.: Operating Revenue $3,475 $3,469",PRESS-RELEASE,GlobeNewswire,ITW Reports Fourth Quarter and Full Year 2020 Results
ITW,2021-02-05,13:00:01,353DBB,Illinois Tool Works Inc.,100,0.61,earnings,positive,Illinois Tool Works Inc.: Net Income $ 642 $ 641 $,PRESS-RELEASE,GlobeNewswire,ITW Reports Fourth Quarter and Full Year 2020 Results
ITW,2021-02-05,13:00:01,353DBB,Illinois Tool Works Inc.,100,0.61,earnings,positive,Illinois Tool Works Inc.: Net Income Per Share: Basic $ 2.03 $ 2.00 $,PRESS-RELEASE,GlobeNewswire,ITW Reports Fourth Quarter and Full Year 2020 Results
ITW,2021-02-05,13:00:01,353DBB,Illinois Tool Works Inc.,100,0.0,dividends,,Illinois Tool Works Inc.: Cash Dividends,PRESS-RELEASE,GlobeNewswire,ITW Reports Fourth Quarter and Full Year 2020 Results
ITW,2021-02-05,13:00:01,353DBB,Illinois Tool Works Inc.,98,0.0,earnings,,Illinois Tool Works Inc.: Operating income,PRESS-RELEASE,GlobeNewswire,ITW Reports Fourth Quarter and Full Year 2020 -3-
ITW,2021-02-05,13:00:01,353DBB,Illinois Tool Works Inc.,98,0.61,earnings,positive,Illinois Tool Works Inc.: Net income $642 $641,PRESS-RELEASE,GlobeNewswire,ITW Reports Fourth Quarter and Full Year 2020 -3-
ITW,2021-02-05,13:00:01,353DBB,Illinois Tool Works Inc.,100,0.61,earnings,positive,Illinois Tool Works 4Q EPS $2.02,NEWS-FLASH,Dow Jones Newswires,Illinois Tool Works 4Q EPS $2.02 >ITW
ITW,2021-02-05,13:00:01,353DBB,Illinois Tool Works Inc.,100,0.61,earnings,positive,Illinois Tool Works 4Q Net $642M,NEWS-FLASH,Dow Jones Newswires,Illinois Tool Works 4Q Net $642M >ITW
