ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
J,2021-01-05,11:55:28,15ABD0,Jacobs Engineering Group Inc.,100,-0.58,analyst-ratings,negative,Jacobs Engineering Cut to Neutral From Outperform by Baird,NEWS-FLASH,Dow Jones Newswires,Jacobs Engineering Cut to Neutral From Outperform by Baird
J,2021-01-05,11:55:28,15ABD0,Jacobs Engineering Group Inc.,100,0.0,price-targets,set,Jacobs Engineering Price Target Announced at $118.00/Share by Baird,NEWS-FLASH,Dow Jones Newswires,Jacobs Engineering Price Target Announced at $118.00/Share by Baird
J,2021-01-14,12:30:07,15ABD0,Jacobs Engineering Group Inc.,100,0.0,investor-relations,,Jacobs to Hold Its Fiscal First Quarter 2021 Earnings Conference Call,PRESS-RELEASE,Dow Jones Newswires,Press Release: Jacobs to Hold Its Fiscal First Quarter 2021 Earnings Conference Call and Webcast
J,2021-01-14,12:30:07,15ABD0,Jacobs Engineering Group Inc.,100,0.0,earnings,,Jacobs (NYSE:J) plans to release its fiscal first quarter 2021 earnings results,PRESS-RELEASE,Dow Jones Newswires,Press Release: Jacobs to Hold Its Fiscal First Quarter 2021 Earnings Conference Call and Webcast
J,2021-01-14,12:45:02,15ABD0,Jacobs Engineering Group Inc.,100,0.39,products-services,,Jacobs Awarded Contract with,PRESS-RELEASE,PR Newswire,Jacobs Awarded Contract with the Naval Facilities Engineering and Expeditionary Warfare Center
J,2021-01-14,12:45:02,15ABD0,Jacobs Engineering Group Inc.,100,0.39,products-services,,Jacobs Awarded Contract with,PRESS-RELEASE,Dow Jones Newswires,Press Release: Jacobs Awarded Contract with the Naval Facilities Engineering and Expeditionary Warfare Center
J,2021-01-14,12:45:08,15ABD0,Jacobs Engineering Group Inc.,100,0.39,products-services,,Jacobs Awarded Contract With,NEWS-FLASH,Dow Jones Newswires,Jacobs Awarded Contract With the Naval Facilities Engineering and Expeditionary Warfare Center
J,2021-01-15,00:07:56,15ABD0,Jacobs Engineering Group Inc.,100,0.0,insider-trading,,Vp Zaccaro Surrenders 147 Of Jacobs Engineering Group Inc >J,FULL-ARTICLE,Dow Jones Newswires,VP Zaccaro Surrenders 147 Of Jacobs Engineering Group Inc >J
J,2021-01-21,00:07:30,15ABD0,Jacobs Engineering Group Inc.,100,0.0,insider-trading,,Vp Tyler Surrenders 484 Of Jacobs Engineering Group Inc >J,FULL-ARTICLE,Dow Jones Newswires,VP Tyler Surrenders 484 Of Jacobs Engineering Group Inc >J
J,2021-01-21,09:00:02,15ABD0,Jacobs Engineering Group Inc.,100,0.0,products-services,,Jacobs Develops a New Service,PRESS-RELEASE,PR Newswire,Jacobs Develops a New Service to Improve Home-to-School Travel Experience for Special Education Needs Children and Young People
J,2021-01-21,09:00:02,15ABD0,Jacobs Engineering Group Inc.,100,0.52,products-services,,Jacobs Engineering Group Inc.: We are launching Travel Service Optimization in the U.K.,PRESS-RELEASE,PR Newswire,Jacobs Develops a New Service to Improve Home-to-School Travel Experience for Special Education Needs Children and Young People
