ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
KEYS,2021-01-21,08:05:30,48C185,Keystone Law Group PLC,100,0.75,earnings,above-expectations,Keystone Law Sees FY 2021 Adjusted Pretax Profit Ahead of Views,FULL-ARTICLE,Dow Jones Newswires,Keystone Law Sees FY 2021 Adjusted Pretax Profit Ahead of Views
KEYS,2021-04-29,06:00:13,48C185,Keystone Law Group PLC,100,0.0,earnings,,Keystone Law Group PLC Full year results,PRESS-RELEASE,LSE Regulatory News Service (RNS),Keystone Law Group PLC Full year results
KEYS,2021-04-29,06:00:13,48C185,Keystone Law Group PLC,100,0.41,revenues,up,Keystone Law Group PLC: Revenue growth of 10.9% to GBP55.0 million,PRESS-RELEASE,LSE Regulatory News Service (RNS),Keystone Law Group PLC Full year results
KEYS,2021-04-29,06:00:13,48C185,Keystone Law Group PLC,100,0.64,earnings,up,"Keystone Law Group PLC: Basic EPS of 13.8 pence, up",PRESS-RELEASE,LSE Regulatory News Service (RNS),Keystone Law Group PLC Full year results
KEYS,2021-04-29,06:00:13,48C185,Keystone Law Group PLC,100,0.64,earnings,up,"Keystone Law Group PLC: Adjusted EPS of 15.6 pence, up",PRESS-RELEASE,LSE Regulatory News Service (RNS),Keystone Law Group PLC Full year results
KEYS,2021-04-29,06:00:13,48C185,Keystone Law Group PLC,100,0.0,earnings,,Keystone Law's results for the year ended 31 January 2021,PRESS-RELEASE,LSE Regulatory News Service (RNS),Keystone Law Group PLC Full year results
KEYS,2021-04-29,06:00:13,48C185,Keystone Law Group PLC,100,0.68,equity-actions,,Keystone Law Group PLC: our IPO in 2017,PRESS-RELEASE,LSE Regulatory News Service (RNS),Keystone Law Group PLC Full year results
KEYS,2021-04-29,06:00:13,48C185,Keystone Law Group PLC,99,0.41,revenues,up,"Keystone Law Group PLC: The business has continued to grow, with revenue up 10.9% to GBP55m",PRESS-RELEASE,LSE Regulatory News Service (RNS),Keystone Law Group PLC Full year results -2-
KEYS,2021-04-29,06:00:13,48C185,Keystone Law Group PLC,99,0.4,products-services,,Keystone Law Group PLC: we won what is arguably the most prestigious award,PRESS-RELEASE,LSE Regulatory News Service (RNS),Keystone Law Group PLC Full year results -2-
KEYS,2021-04-29,06:00:13,48C185,Keystone Law Group PLC,99,0.41,revenues,up,Keystone Law Group PLC: Revenue growth: 10.9%,PRESS-RELEASE,LSE Regulatory News Service (RNS),Keystone Law Group PLC Full year results -3-
KEYS,2021-04-29,06:00:13,48C185,Keystone Law Group PLC,99,0.0,assets,,Keystone Law Group PLC: Net Assets: GBP16.6m,PRESS-RELEASE,LSE Regulatory News Service (RNS),Keystone Law Group PLC Full year results -3-
KEYS,2021-04-29,06:00:13,48C185,Keystone Law Group PLC,99,0.61,earnings,positive,Keystone Law Group PLC: Gross Profit,PRESS-RELEASE,LSE Regulatory News Service (RNS),Keystone Law Group PLC Full year results -3-
KEYS,2021-04-29,06:00:13,48C185,Keystone Law Group PLC,99,-0.13,equity-actions,up,Keystone Law Group PLC: Administrative expenses have increased by 6.7% to GBP7.7m,PRESS-RELEASE,LSE Regulatory News Service (RNS),Keystone Law Group PLC Full year results -3-
KEYS,2021-04-29,06:00:13,48C185,Keystone Law Group PLC,99,0.59,earnings,positive,Keystone Law Group PLC: Profit before tax,PRESS-RELEASE,LSE Regulatory News Service (RNS),Keystone Law Group PLC Full year results -4-
