ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
KMB,2024-05-24,12:47:15,02AABB,Exxaro Resources Ltd.,100,0.0,investor-relations,,Exxaro Resources Ltd.: null) Results Of The 23rd Annual General Meeting Of Shareholders,PRESS-RELEASE,JSE News,(null) Results Of The 23rd Annual General Meeting Of Shareholders Of Exxaro.
KMB,2024-06-25,05:05:26,02AABB,Exxaro Resources Ltd.,99,0.0,equity-actions,,Exxaro Resources Ltd.: we expect the capital expenditure for 1H24,PRESS-RELEASE,JSE News,Exxaro Resources Ltd Finance Director's Pre-Close Message: Six-month Period Ending 30 June 2024
KMB,2024-06-25,05:05:26,02AABB,Exxaro Resources Ltd.,99,0.0,products-services,,Exxaro Resources Ltd.: Thermal Coal production,PRESS-RELEASE,JSE News,Exxaro Resources Ltd Finance Director's Pre-Close Message: Six-month Period Ending 30 June 2024
KMB,2024-06-25,05:05:26,02AABB,Exxaro Resources Ltd.,99,0.0,products-services,,Exxaro Resources Ltd.: Coal production,PRESS-RELEASE,JSE News,Exxaro Resources Ltd Finance Director's Pre-Close Message: Six-month Period Ending 30 June 2024
KMB,2024-06-25,05:05:26,02AABB,Exxaro Resources Ltd.,99,0.0,investor-relations,,Exxaro Resources Ltd.: TELECONFERENCE CALL DETAILS,PRESS-RELEASE,JSE News,Exxaro Resources Ltd Finance Director's Pre-Close -2-
KMB,2024-08-08,12:22:11,02AABB,Exxaro Resources Ltd.,99,0.0,earnings,,Exxaro Resources Ltd.: Headline earnings per share,PRESS-RELEASE,JSE News,Exxaro Resources Ltd Exx - Trading Statement For The Six Month Period Ended 30 June 2024
KMB,2024-08-08,12:22:11,02AABB,Exxaro Resources Ltd.,99,-0.68,revenues,down,Exxaro Resources Ltd.: This is attributable to lower sales,PRESS-RELEASE,JSE News,Exxaro Resources Ltd Exx - Trading Statement For The Six Month Period Ended 30 June 2024
KMB,2024-08-08,12:22:11,02AABB,Exxaro Resources Ltd.,99,0.0,earnings,,Exxaro will release its reviewed condensed financial results for the six-month period,PRESS-RELEASE,JSE News,Exxaro Resources Ltd Exx - Trading Statement For The Six Month Period Ended 30 June 2024
KMB,2024-08-15,05:05:21,02AABB,Exxaro Resources Ltd.,100,0.0,earnings,,Exxaro Resources Ltd Reviewed Interim Financial Results For The Six Months Period,PRESS-RELEASE,JSE News,Exxaro Resources Ltd Reviewed Interim Financial Results For The Six Months Period Ended 30 June 2024 And Interim Dividend Declaration
KMB,2024-08-15,05:05:21,02AABB,Exxaro Resources Ltd.,100,0.61,earnings,positive,Exxaro Resources Ltd.: Attributable earnings of 1 523 cents,PRESS-RELEASE,JSE News,Exxaro Resources Ltd Reviewed Interim Financial Results For The Six Months Period Ended 30 June 2024 And Interim Dividend Declaration
