ticker,rpa_date_utc,rpa_time_utc,rp_entity_id,entity_name,relevance,event_sentiment_score,group,sub_type,event_text,news_type,source_name,headline
KR,2024-03-21,11:59:19,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:22,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:19,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:22,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:19,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:22,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:19,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:22,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:19,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:22,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:19,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:22,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:19,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:22,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:19,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:22,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:19,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:22,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:19,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:22,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:19,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:22,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:19,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:22,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:19,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:22,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:19,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:22,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:19,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:22,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:19,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Canadian News Wire,Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-03-21,11:59:22,411137,KR Investment Ltd.,100,-0.65,equity-actions,halt,Trading Halt - KR.H,PRESS-RELEASE,Dow Jones Newswires,Press Release: Canadian Investment Regulatory Organization Trading Halt - KR.H
KR,2024-01-09,13:00:15,95DC1F,Kroger Co.,99,0.53,labor-issues,,Kroger Co.: Aitken joined Kroger as CEO,PRESS-RELEASE,PR Newswire,Kroger executive Stuart Aitken joins Cincinnati Children's Board of Trustees
KR,2024-01-11,12:30:00,95DC1F,Kroger Co.,100,0.49,partnerships,,Midocean Partners and Kroger Establish Strategic Collaboration to,PRESS-RELEASE,Business Wire,MidOcean Partners and Kroger Establish Strategic Collaboration to Bring More Emerging Brands to Customers Across America
KR,2024-01-15,06:30:00,95DC1F,Kroger Co.,99,0.63,acquisitions-mergers,,Kroger-Albertsons merger would,FULL-ARTICLE,Dow Jones Newswires,Kroger and Albertsons Want to Join Forces. They're Still Waiting for a Green Light. -- Barrons.com
KR,2024-01-15,06:30:00,95DC1F,Kroger Co.,99,-0.68,revenues,down,Kroger's revenue fell from a year,FULL-ARTICLE,Dow Jones Newswires,Kroger and Albertsons Want to Join Forces. They're Still Waiting for a Green Light. -- Barrons.com
KR,2024-01-15,18:48:58,95DC1F,Kroger Co.,99,0.63,acquisitions-mergers,,Proposed merger between Kroger and Albertsons Cos,PRESS-RELEASE,PR Newswire,"Kroger, Albertsons and C&S Statement on Merger Timeline to Close"
KR,2024-01-15,18:48:58,95DC1F,Kroger Co.,99,0.63,acquisitions-mergers,,Proposed merger between Kroger and Albertsons Cos,PRESS-RELEASE,Dow Jones Newswires,"Press Release: Kroger, Albertsons and C&S Statement on Merger Timeline to Close"
KR,2024-01-15,19:07:36,95DC1F,Kroger Co.,100,0.63,acquisitions-mergers,,Kroger: Merger With Albertsons,NEWS-FLASH,Dow Jones Newswires,Kroger: Merger With Albertsons and Divestiture to C&S Will Result in Best Outcomes >KR ACI
KR,2024-01-15,19:07:41,95DC1F,Kroger Co.,100,0.39,products-services,,Kroger Anticipates Deal Closing,NEWS-FLASH,Dow Jones Newswires,Kroger Anticipates Deal Closing in 1H of Fiscal 2024 >KR
KR,2024-01-15,19:30:24,95DC1F,Kroger Co.,96,0.0,earnings,,Kroger reported its third quarter results at the end of November.,FULL-ARTICLE,Dow Jones Newswires,"Closing of Kroger, Albertsons, C&S Deal Postponed"
KR,2024-01-15,19:30:24,95DC1F,Kroger Co.,96,0.46,equity-actions,,Kroger said it plans to invest $500 million to,FULL-ARTICLE,Dow Jones Newswires,"Closing of Kroger, Albertsons, C&S Deal Postponed"
KR,2024-01-15,19:45:24,95DC1F,Kroger Co.,96,0.0,earnings,,Kroger reported its third quarter results at the end of November.,FULL-ARTICLE,Dow Jones Newswires,"Closing of Kroger, Albertsons, C&S Deal Postponed"
KR,2024-01-15,19:45:24,95DC1F,Kroger Co.,96,0.46,equity-actions,,Kroger said it plans to invest $500 million to,FULL-ARTICLE,Dow Jones Newswires,"Closing of Kroger, Albertsons, C&S Deal Postponed"
KR,2024-01-16,12:34:16,95DC1F,Kroger Co.,95,0.62,acquisitions-mergers,,Kroger's $25 billion takeover of rival Albertsons,FULL-ARTICLE,Dow Jones Newswires,Washington State Sues to Block Kroger's $25 Billion Albertsons Bid -- WSJ
KR,2024-01-19,21:15:03,95DC1F,Kroger Co.,100,0.0,dividends,,The Kroger Co.'s (NYSE: KR) Board of Directors today declared a quarterly dividend of 29 cents per share,PRESS-RELEASE,PR Newswire,Kroger's Board of Directors Declares Quarterly Dividend
KR,2024-01-19,21:15:04,95DC1F,Kroger Co.,100,0.0,dividends,,The Kroger Co.'s (NYSE: KR) Board of Directors today declared a quarterly dividend of 29 cents per share,PRESS-RELEASE,Dow Jones Newswires,Press Release: Kroger's Board of Directors Declares Quarterly Dividend
KR,2024-02-02,16:00:04,95DC1F,Kroger Co.,99,0.49,partnerships,,Kroger's lasting collaboration with Feeding America,PRESS-RELEASE,PR Newswire,The Kroger Co. Zero Hunger | Zero Waste Foundation Awards $1M Retail Agency Capacity Grant to Feeding America(R)
